mesh_row,mesh_col,pixel_x,pixel_y,gain_y0x0,gain_y0x1,gain_y1x0,gain_y1x1
0,0,0.000000,0.000000,3111,4067,4122,2542
0,1,167.937500,0.000000,2893,3639,3676,2386
0,2,335.875000,0.000000,2602,3113,3137,2176
0,3,503.812500,0.000000,2343,2690,2698,1991
0,4,671.750000,0.000000,2110,2344,2347,1834
0,5,839.687500,0.000000,1898,2052,2046,1685
0,6,1007.625000,0.000000,1722,1830,1819,1568
0,7,1175.562500,0.000000,1621,1714,1702,1507
0,8,1343.500000,0.000000,1608,1693,1680,1501
0,9,1511.437500,0.000000,1681,1785,1772,1551
0,10,1679.375000,0.000000,1831,1972,1963,1651
0,11,1847.312500,0.000000,2050,2260,2252,1798
0,12,2015.250000,0.000000,2275,2580,2579,1935
0,13,2183.187500,0.000000,2531,2977,2986,2102
0,14,2351.125000,0.000000,2795,3441,3461,2287
0,15,2519.062500,0.000000,3055,3942,3977,2482
0,16,2687.000000,0.000000,3251,4357,4398,2627
1,0,0.000000,126.583333,3015,3871,3931,2482
1,1,167.937500,126.583333,2776,3419,3466,2317
1,2,335.875000,126.583333,2468,2894,2924,2094
1,3,503.812500,126.583333,2205,2482,2497,1907
1,4,671.750000,126.583333,1956,2132,2138,1733
1,5,839.687500,126.583333,1732,1838,1837,1572
1,6,1007.625000,126.583333,1567,1634,1630,1454
1,7,1175.562500,126.583333,1466,1525,1518,1387
1,8,1343.500000,126.583333,1457,1510,1505,1383
1,9,1511.437500,126.583333,1531,1598,1592,1435
1,10,1679.375000,126.583333,1690,1788,1782,1549
1,11,1847.312500,126.583333,1914,2079,2076,1708
1,12,2015.250000,126.583333,2164,2419,2423,1865
1,13,2183.187500,126.583333,2422,2804,2817,2038
1,14,2351.125000,126.583333,2691,3257,3284,2224
1,15,2519.062500,126.583333,2968,3770,3808,2425
1,16,2687.000000,126.583333,3175,4200,4244,2578
2,0,0.000000,253.166667,2897,3635,3699,2409
2,1,167.937500,253.166667,2628,3159,3207,2227
2,2,335.875000,253.166667,2308,2640,2672,1997
2,3,503.812500,253.166667,2034,2245,2262,1802
2,4,671.750000,253.166667,1763,1880,1887,1602
2,5,839.687500,253.166667,1535,1595,1598,1429
2,6,1007.625000,253.166667,1373,1408,1407,1306
2,7,1175.562500,253.166667,1286,1312,1308,1238
2,8,1343.500000,253.166667,1275,1301,1297,1235
2,9,1511.437500,253.166667,1347,1380,1377,1288
2,10,1679.375000,253.166667,1501,1560,1559,1408
2,11,1847.312500,253.166667,1727,1836,1837,1576
2,12,2015.250000,253.166667,2003,2195,2203,1765
2,13,2183.187500,253.166667,2282,2593,2611,1955
2,14,2351.125000,253.166667,2564,3038,3070,2150
2,15,2519.062500,253.166667,2855,3555,3601,2355
2,16,2687.000000,253.166667,3084,4009,4060,2521
3,0,0.000000,379.750000,2792,3446,3511,2349
3,1,167.937500,379.750000,2504,2956,3009,2151
3,2,335.875000,379.750000,2177,2448,2481,1920
3,3,503.812500,379.750000,1888,2046,2067,1710
3,4,671.750000,379.750000,1601,1679,1689,1488
3,5,839.687500,379.750000,1377,1409,1414,1312
3,6,1007.625000,379.750000,1224,1238,1238,1188
3,7,1175.562500,379.750000,1148,1154,1153,1123
3,8,1343.500000,379.750000,1136,1145,1145,1119
3,9,1511.437500,379.750000,1200,1212,1211,1168
3,10,1679.375000,379.750000,1342,1367,1368,1278
3,11,1847.312500,379.750000,1566,1629,1633,1452
3,12,2015.250000,379.750000,1853,1995,2006,1667
3,13,2183.187500,379.750000,2153,2407,2425,1882
3,14,2351.125000,379.750000,2449,2858,2892,2088
3,15,2519.062500,379.750000,2755,3371,3418,2297
3,16,2687.000000,379.750000,3006,3859,3910,2477
4,0,0.000000,506.333333,2721,3322,3392,2305
4,1,167.937500,506.333333,2425,2829,2885,2102
4,2,335.875000,506.333333,2096,2337,2372,1871
4,3,503.812500,506.333333,1789,1920,1940,1646
4,4,671.750000,506.333333,1504,1562,1574,1419
4,5,839.687500,506.333333,1284,1307,1313,1246
4,6,1007.625000,506.333333,1139,1143,1146,1118
4,7,1175.562500,506.333333,1068,1068,1069,1059
4,8,1343.500000,506.333333,1057,1058,1058,1052
4,9,1511.437500,506.333333,1107,1108,1108,1090
4,10,1679.375000,506.333333,1234,1243,1246,1191
4,11,1847.312500,506.333333,1448,1490,1496,1365
4,12,2015.250000,506.333333,1733,1841,1852,1589
4,13,2183.187500,506.333333,2048,2266,2286,1820
4,14,2351.125000,506.333333,2355,2722,2756,2039
4,15,2519.062500,506.333333,2669,3224,3278,2252
4,16,2687.000000,506.333333,2939,3726,3781,2438
5,0,0.000000,632.916667,2694,3272,3346,2287
5,1,167.937500,632.916667,2398,2789,2848,2084
