tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,49672,3662230 ns
after_local_cswitch,0,16,0,0,49672,3662230 ns
after_local_cswitch,0,0,0,0,49672,3662230 ns
after_local_cswitch,0,16,0,0,49672,3662230 ns
after_local_cswitch,0,0,0,0,49672,3662230 ns
after_local_cswitch,0,16,0,0,49672,3662230 ns
after_local_cswitch,0,0,1,0,71099,3662240 ns
after_local_cswitch,0,1,0,0,24293,3662240 ns
after_local_cswitch,0,16,1,0,71099,3662240 ns
after_local_cswitch,0,17,0,0,49672,3662240 ns
after_local_cswitch,0,0,1,0,71099,3662240 ns
after_local_cswitch,0,1,0,0,24293,3662240 ns
after_local_cswitch,0,16,1,0,71099,3662240 ns
after_local_cswitch,0,17,0,0,49672,3662240 ns
after_local_cswitch,0,0,1,0,71099,3662240 ns
after_local_cswitch,0,1,0,0,24293,3662240 ns
after_local_cswitch,0,16,1,0,71099,3662240 ns
after_local_cswitch,0,17,0,0,49672,3662240 ns
after_local_cswitch,0,0,2,0,226677,3662250 ns
after_local_cswitch,0,1,1,0,105208,3662250 ns
after_local_cswitch,0,2,0,0,-114579,3662250 ns
after_local_cswitch,0,16,2,0,226677,3662250 ns
after_local_cswitch,0,17,1,0,71099,3662250 ns
after_local_cswitch,0,18,0,0,49672,3662250 ns
after_local_cswitch,0,0,2,0,226677,3662250 ns
after_local_cswitch,0,1,1,0,105208,3662250 ns
after_local_cswitch,0,2,0,0,-114579,3662250 ns
after_local_cswitch,0,16,2,0,226677,3662250 ns
after_local_cswitch,0,17,1,0,71099,3662250 ns
after_local_cswitch,0,18,0,0,49672,3662250 ns
after_local_cswitch,0,0,2,0,226677,3662250 ns
after_local_cswitch,0,1,1,0,105208,3662250 ns
after_local_cswitch,0,2,0,0,-114579,3662250 ns
after_local_cswitch,0,16,2,0,226677,3662250 ns
after_local_cswitch,0,17,1,0,71099,3662250 ns
after_local_cswitch,0,18,0,0,49672,3662250 ns
after_local_cswitch,0,0,3,0,-206965,3662260 ns
after_local_cswitch,0,1,2,0,-18200,3662260 ns
after_local_cswitch,0,2,1,0,-58941,3662260 ns
after_local_cswitch,0,3,0,0,-979,3662260 ns
after_local_cswitch,0,16,3,0,-206965,3662260 ns
after_local_cswitch,0,17,2,0,226677,3662260 ns
after_local_cswitch,0,18,1,0,71099,3662260 ns
after_local_cswitch,0,19,0,0,49672,3662260 ns
after_local_cswitch,0,0,3,0,-206965,3662260 ns
after_local_cswitch,0,1,2,0,-18200,3662260 ns
after_local_cswitch,0,2,1,0,-58941,3662260 ns
after_local_cswitch,0,3,0,0,-979,3662260 ns
after_local_cswitch,0,16,3,0,-206965,3662260 ns
after_local_cswitch,0,17,2,0,226677,3662260 ns
after_local_cswitch,0,18,1,0,71099,3662260 ns
after_local_cswitch,0,19,0,0,49672,3662260 ns
after_local_cswitch,0,0,3,0,-206965,3662260 ns
after_local_cswitch,0,1,2,0,-18200,3662260 ns
after_local_cswitch,0,2,1,0,-58941,3662260 ns
after_local_cswitch,0,3,0,0,-979,3662260 ns
after_local_cswitch,0,16,3,0,-206965,3662260 ns
after_local_cswitch,0,17,2,0,226677,3662260 ns
after_local_cswitch,0,18,1,0,71099,3662260 ns
after_local_cswitch,0,19,0,0,49672,3662260 ns
after_local_cswitch,0,0,4,0,16792,3662270 ns
after_local_cswitch,0,1,3,0,69016,3662270 ns
after_local_cswitch,0,2,2,0,-20553,3662270 ns
after_local_cswitch,0,3,1,0,214474,3662270 ns
after_local_cswitch,0,4,0,0,161099,3662270 ns
after_local_cswitch,0,16,4,0,16792,3662270 ns
after_local_cswitch,0,17,3,0,-206965,3662270 ns
after_local_cswitch,0,18,2,0,226677,3662270 ns
after_local_cswitch,0,19,1,0,71099,3662270 ns
after_local_cswitch,0,20,0,0,49672,3662270 ns
after_local_cswitch,0,0,4,0,16792,3662270 ns
after_local_cswitch,0,1,3,0,69016,3662270 ns
after_local_cswitch,0,2,2,0,-20553,3662270 ns
after_local_cswitch,0,3,1,0,214474,3662270 ns
after_local_cswitch,0,4,0,0,161099,3662270 ns
after_local_cswitch,0,16,4,0,16792,3662270 ns
after_local_cswitch,0,17,3,0,-206965,3662270 ns
after_local_cswitch,0,18,2,0,226677,3662270 ns
after_local_cswitch,0,19,1,0,71099,3662270 ns
after_local_cswitch,0,20,0,0,49672,3662270 ns
after_local_cswitch,0,0,4,0,16792,3662270 ns
after_local_cswitch,0,1,3,0,69016,3662270 ns
