context,out_tile,word_addr,seq_word,raw0,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,-2,-2,1,0,-2,0,0,-1,0,-1,0,0,0,0,-1
0,0,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1
0,0,3,3,0,0,1,0,1,0,-1,0,0,0,2,0,0,0,0,0
0,0,4,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
0,0,5,5,0,0,0,1,0,0,0,-1,0,0,0,0,-1,1,-1,0
0,0,6,6,1,0,2,-1,0,-1,-1,0,-2,0,0,-1,-1,0,0,0
0,0,7,7,0,2,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0
0,0,8,8,-2,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0
0,0,9,9,0,0,0,-1,0,-1,1,0,-1,2,0,0,0,0,0,0
0,0,10,10,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,0
0,0,11,11,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,0,0,-1
0,0,12,12,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,-1,1,-1
0,0,13,13,-1,-1,0,0,0,0,0,0,0,1,0,-1,-1,1,0,0
0,0,14,14,1,0,1,0,-1,0,0,0,0,0,0,0,1,-1,-1,0
0,0,15,15,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
0,0,16,16,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1
0,0,17,17,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0
0,0,18,18,0,0,1,0,0,-1,0,0,1,0,0,1,1,-1,1,0
0,0,19,19,1,0,0,0,2,0,1,1,0,-1,1,1,1,0,1,-2
0,0,20,20,2,0,2,0,0,0,2,0,2,-1,0,-1,0,0,0,0
0,0,21,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,22,22,1,0,0,0,-2,0,1,0,0,-1,0,0,0,0,-1,1
0,0,23,23,0,0,0,0,-1,1,1,0,0,0,0,-1,-1,0,-1,0
0,0,24,24,0,0,0,-1,0,-1,1,-2,0,0,0,0,0,0,0,0
0,0,25,25,-1,-2,0,0,0,0,-1,2,0,-1,0,0,0,2,0,0
0,0,26,26,0,0,0,-1,2,-1,0,0,-1,0,0,-3,0,0,1,0
0,0,27,27,-1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
0,0,28,28,1,-2,0,0,0,-1,0,0,0,0,0,2,0,1,0,0
0,0,29,29,1,0,1,0,-1,-2,-1,0,-1,-1,0,-2,0,0,0,0
0,0,30,30,2,0,-1,-1,0,0,-1,-1,0,0,0,2,1,0,0,0
0,0,31,31,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,-1
0,0,32,32,0,2,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
0,0,33,33,1,0,1,0,0,0,0,1,0,-1,0,-1,0,-1,0,1
0,0,34,34,0,0,0,0,-2,0,0,0,0,0,0,1,1,1,0,0
0,0,35,35,0,-1,0,1,0,0,-1,0,-1,0,0,1,0,-1,-2,0
0,0,36,36,0,0,0,1,0,0,1,1,1,0,0,-1,-1,0,0,-2
0,0,37,37,0,1,0,1,-1,1,0,0,0,0,0,0,0,-1,-2,0
0,0,38,38,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,2
0,0,39,39,-1,0,0,1,-1,0,1,-2,0,0,0,0,0,0,1,0
0,0,40,40,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0
0,0,41,41,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0
0,0,42,42,0,-1,2,0,0,-1,0,1,0,0,0,0,0,0,0,0
0,0,43,43,-2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
0,0,44,44,1,1,0,0,0,-1,0,-2,0,0,0,0,0,1,0,-2
0,0,45,45,0,0,1,0,1,0,0,-1,0,0,1,0,1,-1,1,0
0,0,46,46,0,0,2,0,0,0,0,0,0,-1,-1,0,0,-1,0,0
0,0,47,47,1,0,0,0,0,0,1,-1,-1,0,0,0,0,1,-1,0
0,0,48,48,0,0,0,0,-1,0,1,1,1,0,1,0,0,0,0,0
