idx,word_addr,lane,value
0,0,0,-1
1,0,1,-1
2,0,2,-1
3,0,3,-1
4,0,4,-1
5,0,5,-1
6,0,6,-1
7,0,7,-1
8,0,8,-1
9,0,9,-1
10,0,10,-1
11,0,11,-1
12,0,12,-1
13,0,13,-1
14,0,14,-1
15,0,15,-1
16,1,0,0
17,1,1,-2
18,1,2,-2
19,1,3,1
20,1,4,0
21,1,5,-2
22,1,6,0
23,1,7,0
24,1,8,-1
25,1,9,0
26,1,10,-1
27,1,11,0
28,1,12,0
29,1,13,0
30,1,14,0
31,1,15,-1
32,2,0,-1
33,2,1,0
34,2,2,0
35,2,3,0
36,2,4,0
37,2,5,0
38,2,6,0
39,2,7,0
40,2,8,0
41,2,9,0
42,2,10,0
43,2,11,0
44,2,12,-1
45,2,13,0
46,2,14,-1
47,2,15,-1
48,3,0,0
49,3,1,0
50,3,2,1
51,3,3,0
52,3,4,1
53,3,5,0
54,3,6,-1
55,3,7,0
56,3,8,0
57,3,9,0
58,3,10,2
59,3,11,0
60,3,12,0
61,3,13,0
62,3,14,0
63,3,15,0
64,4,0,0
65,4,1,0
66,4,2,0
67,4,3,0
68,4,4,0
69,4,5,0
70,4,6,-1
71,4,7,0
72,4,8,0
73,4,9,0
74,4,10,0
75,4,11,0
76,4,12,0
77,4,13,0
78,4,14,1
79,4,15,0
80,5,0,0
81,5,1,0
82,5,2,0
83,5,3,1
84,5,4,0
85,5,5,0
86,5,6,0
87,5,7,-1
88,5,8,0
89,5,9,0
90,5,10,0
91,5,11,0
92,5,12,-1
93,5,13,1
94,5,14,-1
95,5,15,0
96,6,0,1
97,6,1,0
98,6,2,2
99,6,3,-1
100,6,4,0
101,6,5,-1
102,6,6,-1
103,6,7,0
104,6,8,-2
105,6,9,0
106,6,10,0
107,6,11,-1
108,6,12,-1
109,6,13,0
110,6,14,0
111,6,15,0
112,7,0,0
113,7,1,2
114,7,2,0
115,7,3,0
116,7,4,1
117,7,5,0
118,7,6,0
119,7,7,0
120,7,8,-1
121,7,9,0
122,7,10,-1
123,7,11,0
124,7,12,0
125,7,13,1
126,7,14,0
127,7,15,0
128,8,0,-2
129,8,1,0
130,8,2,0
131,8,3,0
132,8,4,1
133,8,5,0
134,8,6,0
135,8,7,0
136,8,8,0
137,8,9,0
138,8,10,-1
139,8,11,0
140,8,12,0
141,8,13,1
142,8,14,0
143,8,15,0
144,9,0,0
145,9,1,0
146,9,2,0
147,9,3,-1
148,9,4,0
149,9,5,-1
150,9,6,1
151,9,7,0
152,9,8,-1
153,9,9,2
154,9,10,0
155,9,11,0
156,9,12,0
157,9,13,0
158,9,14,0
159,9,15,0
160,10,0,0
161,10,1,0
162,10,2,-1
163,10,3,-1
164,10,4,-1
165,10,5,0
166,10,6,0
167,10,7,0
168,10,8,0
169,10,9,0
170,10,10,0
171,10,11,0
172,10,12,1
173,10,13,1
174,10,14,0
175,10,15,0
176,11,0,0
177,11,1,0
178,11,2,0
179,11,3,1
180,11,4,0
181,11,5,0
182,11,6,-1
183,11,7,0
184,11,8,0
185,11,9,0
186,11,10,0
187,11,11,-1
188,11,12,-1
189,11,13,0
190,11,14,0
191,11,15,-1
192,12,0,0
193,12,1,-1
194,12,2,0
195,12,3,0
196,12,4,0
197,12,5,0
198,12,6,-1
199,12,7,1
200,12,8,0
201,12,9,0
202,12,10,-1
203,12,11,0
204,12,12,0
205,12,13,-1
