write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
0,0,0,0,52494,99684,-4459,-90180,-23843,-93914,-23853,54637,21612,-18902,-50001,45487,44749,-1504,-55076,21079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10787,-15288,58044,-64082,-1170,-44706,20241,-48597,-26027,-32064,-80953,-1903,20362,-9737,-3912,73635
2,0,1,1,12257,13543,-4047,18622,-8855,90025,71697,-35672,61830,75866,79610,3978,3766,24777,-13225,44689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55839,8977,-57860,-16800,-5069,-24170,-76127,6822,58619,110989,62610,-41477,-52275,-44376,-42156,78112
4,0,2,2,-99967,29660,80247,7116,-61564,26773,-56453,42915,27219,-33470,29641,-24436,33254,-791,-119300,-68374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20987,-72625,27848,12514,-41787,-12017,-39288,-16543,76088,-46848,14820,-57512,-2206,-75786,35950,-42776
6,0,3,3,34233,22298,-10423,14643,-39553,-59535,-45069,34786,-11493,-31250,-5908,-58256,-36971,-21832,91906,-14851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47338,-23942,-41635,-43122,51786,-5707,21453,-13005,-12752,-10815,-8021,53158,29804,-74293,20210,-23083
8,0,4,4,72648,-9527,-86721,-64719,-6153,5526,-24543,-18671,-63907,-36844,10842,34309,6765,-14435,18005,46576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13469,6099,-43018,-44487,87398,317,-88451,35025,51056,4710,-59640,-36922,9825,-9023,1781,54047
10,0,5,5,-38611,-23040,39214,58995,-158,48008,-15750,9190,-12815,54704,-7969,-26463,28602,8526,53100,-20332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19778,-39289,-8596,-17636,-65795,-63298,-12928,65864,27592,77184,-33431,861,52075,-18366,25555,-48212
12,0,6,6,-34909,23278,-41056,28012,2788,25350,24644,-9501,-26308,45034,4986,19778,15371,-29949,27484,-20429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25577,59095,10816,-12780,-72292,20548,101271,48582,7995,-11322,-49587,-50388,-29396,10407,-64551,11311
14,0,7,7,3785,-17383,3134,-39501,-104359,-8133,21784,-58091,24984,27303,-19159,-15963,4388,-2216,77923,-4832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52762,-17945,337,-30805,-60703,1147,4732,-48188,33960,-10464,30340,-33869,-25574,-63162,26661,67610
16,0,8,8,-28,20152,28680,-23452,-2856,-26699,11800,3019,-59001,-98310,-50744,55792,15728,94671,14970,33390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38627,1890,-34861,49185,-61704,12337,-81291,28100,-54776,-29267,-54320,-4014,19258,35021,-56666,27563
18,0,9,9,-28887,-7697,15928,88368,23206,5668,17638,-36050,18067,-12387,38480,29374,-18700,-1680,34518,6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14075,9407,-8765,-37825,-245,-30007,61340,36491,-9940,98402,-14081,-7550,27514,63768,42393,-13740
20,0,10,10,-64752,38706,37105,-26851,3424,19615,-16729,-19322,65674,-88132,25528,33878,29327,59740,66597,-31427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24166,-23564,-5269,38895,-65490,-27737,-19003,-71946,19304,-18709,-22427,33125,36180,-3357,5039,-60096
22,0,11,11,24332,87602,11452,-42587,9116,56445,8146,42813,20060,38944,67657,10348,63627,38144,78682,101512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48489,-59872,-64428,-47512,-11632,-94054,-9275,-43760,64487,31667,20756,-57626,4583,-51770,-5547,57697
24,0,12,12,-9715,-37490,6126,-53558,-60880,-26924,-8563,-17391,57700,-30286,-32420,-7374,39892,-61713,-53746,61585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4365,3788,-4824,-6130,85136,-3206,-43332,-62002,-5761,-41579,-52460,81427,43871,-60182,13429,718
26,0,13,13,87598,15419,40889,-41240,4344,-26604,17276,-21195,149886,16762,-19946,-32567,-753,19365,23518,-15873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12653,-81038,-47932,-37931,93656,-40562,22121,-38465,-11181,-39433,-6357,-28397,33591,-61396,-16366,63819
28,0,14,14,-28021,26128,21506,5581,-3458,10654,-45816,1531,33314,-35968,47539,-39568,-32398,15300,11356,-64226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46294,-36061,57455,17416,-10469,-37537,-41697,-9688,-102996,-48690,24378,68047,15500,33206,37312,-35574
