tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,-2378,0
before_raw_cswitch_A,0,0,1,-7075,0
before_raw_cswitch_A,0,0,2,-10148,0
before_raw_cswitch_A,0,0,3,111420,0
before_raw_cswitch_A,0,0,4,-57355,0
before_raw_cswitch_A,0,0,5,23634,0
before_raw_cswitch_A,0,0,6,-54737,0
before_raw_cswitch_A,0,0,7,-27094,0
before_raw_cswitch_A,0,0,8,-153192,0
before_raw_cswitch_A,0,0,9,14602,0
before_raw_cswitch_A,0,0,10,186462,0
before_raw_cswitch_A,0,0,11,-7519,0
before_raw_cswitch_A,0,0,12,-3743,0
before_raw_cswitch_A,0,0,13,89644,0
before_raw_cswitch_A,0,0,14,-100941,0
before_raw_cswitch_A,0,0,15,-100826,0
before_raw_cswitch_A,0,0,16,141070,0
before_raw_cswitch_A,0,0,17,41396,0
before_raw_cswitch_A,0,0,18,-70121,0
before_raw_cswitch_A,0,0,19,53240,0
before_raw_cswitch_A,0,0,20,-39362,0
before_raw_cswitch_A,0,0,21,22823,0
before_raw_cswitch_A,0,0,22,-29032,0
before_raw_cswitch_A,0,0,23,68817,0
before_raw_cswitch_A,0,0,24,-14085,0
before_raw_cswitch_A,0,0,25,100140,0
before_raw_cswitch_A,0,0,26,-81499,0
before_raw_cswitch_A,0,0,27,23793,0
before_raw_cswitch_A,0,0,28,51654,0
before_raw_cswitch_A,0,0,29,20472,0
before_raw_cswitch_A,0,0,30,-84414,0
before_raw_cswitch_A,0,0,31,110743,0
before_raw_cswitch_A,0,0,32,-75589,0
before_raw_cswitch_A,0,0,33,32773,0
before_raw_cswitch_A,0,0,34,-39025,0
before_raw_cswitch_A,0,0,35,105712,0
before_raw_cswitch_A,0,0,36,26052,0
before_raw_cswitch_A,0,0,37,32417,0
before_raw_cswitch_A,0,0,38,-30311,0
before_raw_cswitch_A,0,0,39,-24919,0
before_raw_cswitch_A,0,0,40,168937,0
before_raw_cswitch_A,0,0,41,-64934,0
before_raw_cswitch_A,0,0,42,-180394,0
before_raw_cswitch_A,0,0,43,-157980,0
before_raw_cswitch_A,0,0,44,-100536,0
before_raw_cswitch_A,0,0,45,16939,0
before_raw_cswitch_A,0,0,46,-116395,0
before_raw_cswitch_A,0,0,47,-9491,0
before_raw_cswitch_A,0,0,48,89646,0
before_raw_cswitch_A,0,0,49,65528,0
before_raw_cswitch_A,0,0,50,-12822,0
before_raw_cswitch_A,0,0,51,-42011,0
before_raw_cswitch_A,0,0,52,-165633,0
before_raw_cswitch_A,0,0,53,-111487,0
before_raw_cswitch_A,0,0,54,-32357,0
before_raw_cswitch_A,0,0,55,-38650,0
before_raw_cswitch_A,0,0,56,-29720,0
before_raw_cswitch_A,0,0,57,84726,0
before_raw_cswitch_A,0,0,58,139425,0
before_raw_cswitch_A,0,0,59,-160474,0
