tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,3328027754,3149110 ns
after_local_cswitch,0,16,0,0,5593364153,3149110 ns
after_local_cswitch,0,0,0,0,3328027754,3149110 ns
after_local_cswitch,0,16,0,0,5593364153,3149110 ns
after_local_cswitch,0,0,0,0,3328027754,3149110 ns
after_local_cswitch,0,16,0,0,5593364153,3149110 ns
after_local_cswitch,0,0,1,0,1246018440,3149120 ns
after_local_cswitch,0,1,0,0,-369722666,3149120 ns
after_local_cswitch,0,16,1,0,3485753340,3149120 ns
after_local_cswitch,0,17,0,0,2278626890,3149120 ns
after_local_cswitch,0,0,1,0,1246018440,3149120 ns
after_local_cswitch,0,1,0,0,-369722666,3149120 ns
after_local_cswitch,0,16,1,0,3485753340,3149120 ns
after_local_cswitch,0,17,0,0,2278626890,3149120 ns
after_local_cswitch,0,0,1,0,1246018440,3149120 ns
after_local_cswitch,0,1,0,0,-369722666,3149120 ns
after_local_cswitch,0,16,1,0,3485753340,3149120 ns
after_local_cswitch,0,17,0,0,2278626890,3149120 ns
after_local_cswitch,0,0,2,0,-335540502,3149130 ns
after_local_cswitch,0,1,1,0,-2276354183,3149130 ns
after_local_cswitch,0,2,0,0,-2243210441,3149130 ns
after_local_cswitch,0,16,2,0,-2103128817,3149130 ns
after_local_cswitch,0,17,1,0,223085802,3149130 ns
after_local_cswitch,0,18,0,0,1918447252,3149130 ns
after_local_cswitch,0,0,2,0,-335540502,3149130 ns
after_local_cswitch,0,1,1,0,-2276354183,3149130 ns
after_local_cswitch,0,2,0,0,-2243210441,3149130 ns
after_local_cswitch,0,16,2,0,-2103128817,3149130 ns
after_local_cswitch,0,17,1,0,223085802,3149130 ns
after_local_cswitch,0,18,0,0,1918447252,3149130 ns
after_local_cswitch,0,0,2,0,-335540502,3149130 ns
after_local_cswitch,0,1,1,0,-2276354183,3149130 ns
after_local_cswitch,0,2,0,0,-2243210441,3149130 ns
after_local_cswitch,0,16,2,0,-2103128817,3149130 ns
after_local_cswitch,0,17,1,0,223085802,3149130 ns
after_local_cswitch,0,18,0,0,1918447252,3149130 ns
after_local_cswitch,0,0,3,0,1611374818,3149140 ns
after_local_cswitch,0,1,2,0,-1821659276,3149140 ns
after_local_cswitch,0,2,1,0,766565877,3149140 ns
after_local_cswitch,0,3,0,0,-6141705456,3149140 ns
after_local_cswitch,0,16,3,0,1280030401,3149140 ns
after_local_cswitch,0,17,2,0,220783091,3149140 ns
after_local_cswitch,0,18,1,0,6551730634,3149140 ns
after_local_cswitch,0,19,0,0,1308556015,3149140 ns
after_local_cswitch,0,0,3,0,1611374818,3149140 ns
after_local_cswitch,0,1,2,0,-1821659276,3149140 ns
after_local_cswitch,0,2,1,0,766565877,3149140 ns
after_local_cswitch,0,3,0,0,-6141705456,3149140 ns
after_local_cswitch,0,16,3,0,1280030401,3149140 ns
after_local_cswitch,0,17,2,0,220783091,3149140 ns
after_local_cswitch,0,18,1,0,6551730634,3149140 ns
after_local_cswitch,0,19,0,0,1308556015,3149140 ns
after_local_cswitch,0,0,3,0,1611374818,3149140 ns
after_local_cswitch,0,1,2,0,-1821659276,3149140 ns
after_local_cswitch,0,2,1,0,766565877,3149140 ns
after_local_cswitch,0,3,0,0,-6141705456,3149140 ns
after_local_cswitch,0,16,3,0,1280030401,3149140 ns
after_local_cswitch,0,17,2,0,220783091,3149140 ns
after_local_cswitch,0,18,1,0,6551730634,3149140 ns
after_local_cswitch,0,19,0,0,1308556015,3149140 ns
after_local_cswitch,0,0,4,0,646508054,3149150 ns
after_local_cswitch,0,1,3,0,-165513375,3149150 ns
after_local_cswitch,0,2,2,0,4920588345,3149150 ns
after_local_cswitch,0,3,1,0,-1937882809,3149150 ns
after_local_cswitch,0,4,0,0,2933706448,3149150 ns
after_local_cswitch,0,16,4,0,1156895318,3149150 ns
after_local_cswitch,0,17,3,0,6021423415,3149150 ns
after_local_cswitch,0,18,2,0,3931691103,3149150 ns
after_local_cswitch,0,19,1,0,6010047808,3149150 ns
after_local_cswitch,0,20,0,0,6257784470,3149150 ns
after_local_cswitch,0,0,4,0,646508054,3149150 ns
after_local_cswitch,0,1,3,0,-165513375,3149150 ns
after_local_cswitch,0,2,2,0,4920588345,3149150 ns
after_local_cswitch,0,3,1,0,-1937882809,3149150 ns
after_local_cswitch,0,4,0,0,2933706448,3149150 ns
after_local_cswitch,0,16,4,0,1156895318,3149150 ns
after_local_cswitch,0,17,3,0,6021423415,3149150 ns
after_local_cswitch,0,18,2,0,3931691103,3149150 ns
after_local_cswitch,0,19,1,0,6010047808,3149150 ns
after_local_cswitch,0,20,0,0,6257784470,3149150 ns
after_local_cswitch,0,0,4,0,646508054,3149150 ns
after_local_cswitch,0,1,3,0,-165513375,3149150 ns
after_local_cswitch,0,2,2,0,4920588345,3149150 ns
after_local_cswitch,0,3,1,0,-1937882809,3149150 ns
after_local_cswitch,0,4,0,0,2933706448,3149150 ns
after_local_cswitch,0,16,4,0,1156895318,3149150 ns
after_local_cswitch,0,17,3,0,6021423415,3149150 ns
after_local_cswitch,0,18,2,0,3931691103,3149150 ns
after_local_cswitch,0,19,1,0,6010047808,3149150 ns
after_local_cswitch,0,20,0,0,6257784470,3149150 ns
after_local_cswitch,0,0,5,0,-2119907595,3149160 ns
after_local_cswitch,0,1,4,0,116172688,3149160 ns
after_local_cswitch,0,2,3,0,822791033,3149160 ns
after_local_cswitch,0,3,2,0,1839306365,3149160 ns
after_local_cswitch,0,4,1,0,2211940454,3149160 ns
after_local_cswitch,0,5,0,0,1402083656,3149160 ns
after_local_cswitch,0,16,5,0,-1761499253,3149160 ns
after_local_cswitch,0,17,4,0,4292088426,3149160 ns
after_local_cswitch,0,18,3,0,287032272,3149160 ns
after_local_cswitch,0,19,2,0,653353023,3149160 ns
after_local_cswitch,0,20,1,0,-1251731149,3149160 ns
