tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,63598,3329590 ns
after_local_cswitch,0,16,0,0,63598,3329590 ns
after_local_cswitch,0,0,0,0,63598,3329590 ns
after_local_cswitch,0,16,0,0,63598,3329590 ns
after_local_cswitch,0,0,0,0,63598,3329590 ns
after_local_cswitch,0,16,0,0,63598,3329590 ns
after_local_cswitch,0,0,1,0,25270,3329600 ns
after_local_cswitch,0,1,0,0,98144,3329600 ns
after_local_cswitch,0,16,1,0,25270,3329600 ns
after_local_cswitch,0,17,0,0,63598,3329600 ns
after_local_cswitch,0,0,1,0,25270,3329600 ns
after_local_cswitch,0,1,0,0,98144,3329600 ns
after_local_cswitch,0,16,1,0,25270,3329600 ns
after_local_cswitch,0,17,0,0,63598,3329600 ns
after_local_cswitch,0,0,1,0,25270,3329600 ns
after_local_cswitch,0,1,0,0,98144,3329600 ns
after_local_cswitch,0,16,1,0,25270,3329600 ns
after_local_cswitch,0,17,0,0,63598,3329600 ns
after_local_cswitch,0,0,2,0,-111260,3329610 ns
after_local_cswitch,0,1,1,0,-101184,3329610 ns
after_local_cswitch,0,2,0,0,2307,3329610 ns
after_local_cswitch,0,16,2,0,-111260,3329610 ns
after_local_cswitch,0,17,1,0,25270,3329610 ns
after_local_cswitch,0,18,0,0,63598,3329610 ns
after_local_cswitch,0,0,2,0,-111260,3329610 ns
after_local_cswitch,0,1,1,0,-101184,3329610 ns
after_local_cswitch,0,2,0,0,2307,3329610 ns
after_local_cswitch,0,16,2,0,-111260,3329610 ns
after_local_cswitch,0,17,1,0,25270,3329610 ns
after_local_cswitch,0,18,0,0,63598,3329610 ns
after_local_cswitch,0,0,2,0,-111260,3329610 ns
after_local_cswitch,0,1,1,0,-101184,3329610 ns
after_local_cswitch,0,2,0,0,2307,3329610 ns
after_local_cswitch,0,16,2,0,-111260,3329610 ns
after_local_cswitch,0,17,1,0,25270,3329610 ns
after_local_cswitch,0,18,0,0,63598,3329610 ns
