tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,49672,0
before_raw_cswitch_A,0,0,1,71099,0
before_raw_cswitch_A,0,0,2,226677,0
before_raw_cswitch_A,0,0,3,-206965,0
before_raw_cswitch_A,0,0,4,16792,0
before_raw_cswitch_A,0,0,5,121694,0
before_raw_cswitch_A,0,0,6,6305,0
before_raw_cswitch_A,0,0,7,98179,0
before_raw_cswitch_A,0,0,8,-52465,0
before_raw_cswitch_A,0,0,9,41410,0
before_raw_cswitch_A,0,0,10,-79056,0
before_raw_cswitch_A,0,0,11,8759,0
before_raw_cswitch_A,0,0,12,-79241,0
before_raw_cswitch_A,0,0,13,-234441,0
before_raw_cswitch_A,0,0,14,-109255,0
before_raw_cswitch_A,0,0,15,98779,0
before_raw_cswitch_A,0,0,16,109431,0
before_raw_cswitch_A,0,0,17,-107391,0
before_raw_cswitch_A,0,0,18,-10982,0
before_raw_cswitch_A,0,0,19,55551,0
before_raw_cswitch_A,0,0,20,160545,0
before_raw_cswitch_A,0,0,21,94458,0
before_raw_cswitch_A,0,0,22,20408,0
before_raw_cswitch_A,0,0,23,82682,0
before_raw_cswitch_A,0,0,24,-59936,0
before_raw_cswitch_A,0,0,25,-194237,0
before_raw_cswitch_A,0,0,26,53764,0
before_raw_cswitch_A,0,0,27,48999,0
before_raw_cswitch_A,0,0,28,118603,0
before_raw_cswitch_A,0,0,29,-146336,0
before_raw_cswitch_A,0,0,30,29940,0
before_raw_cswitch_A,0,0,31,152497,0
before_raw_cswitch_A,0,1,0,24293,0
before_raw_cswitch_A,0,1,1,105208,0
before_raw_cswitch_A,0,1,2,-18200,0
before_raw_cswitch_A,0,1,3,69016,0
before_raw_cswitch_A,0,1,4,-79031,0
before_raw_cswitch_A,0,1,5,-81352,0
before_raw_cswitch_A,0,1,6,-29893,0
before_raw_cswitch_A,0,1,7,-90126,0
before_raw_cswitch_A,0,1,8,11268,0
before_raw_cswitch_A,0,1,9,-193099,0
before_raw_cswitch_A,0,1,10,27792,0
before_raw_cswitch_A,0,1,11,86625,0
before_raw_cswitch_A,0,1,12,-242176,0
before_raw_cswitch_A,0,1,13,129972,0
before_raw_cswitch_A,0,1,14,40683,0
before_raw_cswitch_A,0,1,15,61226,0
before_raw_cswitch_A,0,1,16,-7405,0
before_raw_cswitch_A,0,1,17,132594,0
before_raw_cswitch_A,0,1,18,-11162,0
before_raw_cswitch_A,0,1,19,-59254,0
before_raw_cswitch_A,0,1,20,-12344,0
before_raw_cswitch_A,0,1,21,33403,0
