idx,word_addr,lane,value
0,0,0,-17
1,0,1,-17
2,0,2,-17
3,0,3,-17
4,0,4,-17
5,0,5,-17
6,0,6,-17
7,0,7,-17
8,0,8,-17
9,0,9,-17
10,0,10,-17
11,0,11,-17
12,0,12,-17
13,0,13,-17
14,0,14,-17
15,0,15,-17
16,0,16,-17
17,0,17,-17
18,0,18,-17
19,0,19,-17
20,0,20,-17
21,0,21,-17
22,0,22,-17
23,0,23,-17
24,0,24,-17
25,0,25,-17
26,0,26,-17
27,0,27,-17
28,0,28,-17
29,0,29,-17
30,0,30,-17
31,0,31,-17
32,1,0,-26
33,1,1,-51
34,1,2,121
35,1,3,7
36,1,4,-76
37,1,5,-100
38,1,6,40
39,1,7,42
40,1,8,45
41,1,9,-92
42,1,10,29
43,1,11,-31
44,1,12,46
45,1,13,115
46,1,14,-6
47,1,15,-49
48,1,16,126
49,1,17,23
50,1,18,-82
51,1,19,78
52,1,20,-82
53,1,21,37
54,1,22,25
55,1,23,28
56,1,24,81
57,1,25,-84
58,1,26,-44
59,1,27,61
60,1,28,62
61,1,29,-23
62,1,30,3
63,1,31,17
64,2,0,-22
65,2,1,41
66,2,2,-103
67,2,3,71
68,2,4,-25
69,2,5,19
70,2,6,76
71,2,7,-125
72,2,8,-17
73,2,9,-114
74,2,10,-102
75,2,11,59
76,2,12,-33
77,2,13,-19
78,2,14,-68
79,2,15,97
80,2,16,-113
81,2,17,-55
82,2,18,95
83,2,19,-88
84,2,20,-107
85,2,21,93
86,2,22,12
87,2,23,57
88,2,24,-123
89,2,25,-108
90,2,26,30
91,2,27,30
92,2,28,-125
93,2,29,57
94,2,30,-57
95,2,31,-109
96,3,0,-12
97,3,1,-17
98,3,2,-9
99,3,3,73
100,3,4,118
101,3,5,8
102,3,6,-11
103,3,7,-6
104,3,8,-39
105,3,9,116
106,3,10,120
107,3,11,56
108,3,12,-33
109,3,13,-17
110,3,14,-21
111,3,15,-43
112,3,16,84
113,3,17,-48
114,3,18,60
115,3,19,95
116,3,20,63
117,3,21,63
118,3,22,63
119,3,23,13
120,3,24,116
121,3,25,47
122,3,26,-103
123,3,27,81
124,3,28,111
125,3,29,-50
126,3,30,-121
127,3,31,67
128,4,0,121
129,4,1,-87
130,4,2,-120
131,4,3,-21
132,4,4,-112
133,4,5,-107
134,4,6,-82
135,4,7,47
136,4,8,66
137,4,9,72
138,4,10,-23
139,4,11,31
140,4,12,108
141,4,13,-108
142,4,14,-32
143,4,15,-84
144,4,16,-73
145,4,17,-62
146,4,18,1
147,4,19,52
148,4,20,34
149,4,21,16
150,4,22,112
151,4,23,-66
152,4,24,-67
153,4,25,-82
154,4,26,31
155,4,27,32
156,4,28,43
157,4,29,-52
158,4,30,45
159,4,31,80
160,5,0,-22
161,5,1,-75
162,5,2,127
163,5,3,-103
164,5,4,31
165,5,5,122
166,5,6,104
167,5,7,-116
168,5,8,-36
169,5,9,34
170,5,10,33
171,5,11,-1
172,5,12,1
173,5,13,-99
174,5,14,-72
175,5,15,-53
176,5,16,-12
177,5,17,-30
178,5,18,-115
179,5,19,105
180,5,20,45
181,5,21,120
182,5,22,81
183,5,23,-112
184,5,24,-119
185,5,25,-28
186,5,26,75
187,5,27,120
188,5,28,43
189,5,29,80
190,5,30,-43
191,5,31,49
192,6,0,114
193,6,1,-85
194,6,2,-125
195,6,3,121
196,6,4,-30
197,6,5,-16
198,6,6,-76
199,6,7,-53
200,6,8,-119
201,6,9,44
202,6,10,-16
203,6,11,20
204,6,12,82
205,6,13,-108
206,6,14,70
207,6,15,-65
208,6,16,56
209,6,17,-22
210,6,18,89
211,6,19,-67
212,6,20,-107
213,6,21,-123
214,6,22,-94
215,6,23,-72
216,6,24,-84
217,6,25,-121
218,6,26,8
219,6,27,-124
220,6,28,-41
221,6,29,-104
222,6,30,-56
223,6,31,-36
224,7,0,2
225,7,1,4
226,7,2,70
227,7,3,-72
228,7,4,62
229,7,5,-44
230,7,6,-12
231,7,7,-112
232,7,8,4
233,7,9,18
234,7,10,49
235,7,11,-50
236,7,12,-9
237,7,13,84
238,7,14,-74
239,7,15,78
240,7,16,-84
241,7,17,23
242,7,18,-59
243,7,19,104
244,7,20,-114
245,7,21,24
246,7,22,-71
247,7,23,85
248,7,24,115
249,7,25,-127
250,7,26,17
251,7,27,72
252,7,28,-77
253,7,29,-62
254,7,30,26
255,7,31,-8
256,8,0,-24
257,8,1,-17
258,8,2,-22
259,8,3,-89
260,8,4,-117
261,8,5,70
262,8,6,-49
263,8,7,15
264,8,8,27
265,8,9,60
266,8,10,-21
267,8,11,15
268,8,12,29
269,8,13,92
270,8,14,80
271,8,15,-54
272,8,16,-85
273,8,17,21
274,8,18,-1
275,8,19,66
276,8,20,-2
277,8,21,-111
278,8,22,-8
279,8,23,-15
280,8,24,-48
281,8,25,51
282,8,26,-63
283,8,27,-43
284,8,28,119
285,8,29,121
286,8,30,-15
287,8,31,-42
288,9,0,-96
289,9,1,76
290,9,2,-22
291,9,3,46
292,9,4,77
293,9,5,27
294,9,6,-2
295,9,7,-52
296,9,8,-127
297,9,9,-79
298,9,10,-10
299,9,11,-77
300,9,12,7
301,9,13,-79
302,9,14,-25
303,9,15,21
304,9,16,-115
305,9,17,127
306,9,18,-127
307,9,19,44
308,9,20,-18
309,9,21,-116
310,9,22,104
311,9,23,103
312,9,24,104
313,9,25,-108
314,9,26,-125
315,9,27,-104
316,9,28,103
317,9,29,-19
318,9,30,94
319,9,31,-42
320,10,0,-56
321,10,1,-64
322,10,2,-93
323,10,3,64
324,10,4,8
325,10,5,-11
326,10,6,72
327,10,7,125
328,10,8,-67
329,10,9,45
330,10,10,102
331,10,11,-85
332,10,12,-46
333,10,13,34
334,10,14,-33
335,10,15,106
336,10,16,-81
337,10,17,49
338,10,18,85
339,10,19,29
340,10,20,85
341,10,21,-48
342,10,22,-25
343,10,23,115
344,10,24,28
345,10,25,-110
