tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,0,0
before_raw_cswitch_A,0,0,1,-13,0
before_raw_cswitch_A,0,0,2,7,0
before_raw_cswitch_A,0,0,3,0,0
before_raw_cswitch_A,0,0,4,5,0
before_raw_cswitch_A,0,0,5,9,0
before_raw_cswitch_A,0,0,6,-10,0
before_raw_cswitch_A,0,0,7,-2,0
before_raw_cswitch_A,0,0,8,8,0
before_raw_cswitch_A,0,0,9,-17,0
before_raw_cswitch_A,0,0,10,8,0
before_raw_cswitch_A,0,0,11,-6,0
before_raw_cswitch_A,0,0,12,-4,0
before_raw_cswitch_A,0,0,13,11,0
before_raw_cswitch_A,0,0,14,0,0
before_raw_cswitch_A,0,0,15,-2,0
before_raw_cswitch_A,0,0,16,5,0
before_raw_cswitch_A,0,0,17,-17,0
before_raw_cswitch_A,0,0,18,0,0
before_raw_cswitch_A,0,0,19,-2,0
before_raw_cswitch_A,0,0,20,8,0
before_raw_cswitch_A,0,0,21,-9,0
before_raw_cswitch_A,0,0,22,-3,0
before_raw_cswitch_A,0,0,23,-13,0
before_raw_cswitch_A,0,0,24,-3,0
before_raw_cswitch_A,0,0,25,8,0
before_raw_cswitch_A,0,0,26,1,0
before_raw_cswitch_A,0,0,27,-6,0
before_raw_cswitch_A,0,0,28,7,0
before_raw_cswitch_A,0,0,29,2,0
before_raw_cswitch_A,0,0,30,-4,0
before_raw_cswitch_A,0,0,31,0,0
before_raw_cswitch_A,0,1,0,-9,0
before_raw_cswitch_A,0,1,1,6,0
before_raw_cswitch_A,0,1,2,21,0
before_raw_cswitch_A,0,1,3,0,0
before_raw_cswitch_A,0,1,4,-6,0
before_raw_cswitch_A,0,1,5,6,0
before_raw_cswitch_A,0,1,6,4,0
before_raw_cswitch_A,0,1,7,-2,0
before_raw_cswitch_A,0,1,8,6,0
before_raw_cswitch_A,0,1,9,0,0
before_raw_cswitch_A,0,1,10,0,0
before_raw_cswitch_A,0,1,11,11,0
before_raw_cswitch_A,0,1,12,3,0
before_raw_cswitch_A,0,1,13,-14,0
before_raw_cswitch_A,0,1,14,5,0
before_raw_cswitch_A,0,1,15,3,0
before_raw_cswitch_A,0,1,16,7,0
before_raw_cswitch_A,0,1,17,0,0
before_raw_cswitch_A,0,1,18,0,0
before_raw_cswitch_A,0,1,19,4,0
before_raw_cswitch_A,0,1,20,-19,0
before_raw_cswitch_A,0,1,21,0,0
before_raw_cswitch_A,0,1,22,1,0
before_raw_cswitch_A,0,1,23,11,0
before_raw_cswitch_A,0,1,24,2,0
before_raw_cswitch_A,0,1,25,-3,0
before_raw_cswitch_A,0,1,26,6,0
before_raw_cswitch_A,0,1,27,-5,0
before_raw_cswitch_A,0,1,28,-16,0
before_raw_cswitch_A,0,1,29,-1,0
before_raw_cswitch_A,0,1,30,5,0
before_raw_cswitch_A,0,1,31,5,0
before_raw_cswitch_A,0,2,0,-9,0
before_raw_cswitch_A,0,2,1,-8,0
before_raw_cswitch_A,0,2,2,6,0
before_raw_cswitch_A,0,2,3,-14,0
before_raw_cswitch_A,0,2,4,6,0
before_raw_cswitch_A,0,2,5,-9,0
before_raw_cswitch_A,0,2,6,-2,0
before_raw_cswitch_A,0,2,7,-17,0
before_raw_cswitch_A,0,2,8,-4,0
before_raw_cswitch_A,0,2,9,-4,0
before_raw_cswitch_A,0,2,10,1,0
before_raw_cswitch_A,0,2,11,-1,0
before_raw_cswitch_A,0,2,12,4,0
before_raw_cswitch_A,0,2,13,1,0
before_raw_cswitch_A,0,2,14,7,0
before_raw_cswitch_A,0,2,15,-1,0
before_raw_cswitch_A,0,2,16,4,0
before_raw_cswitch_A,0,2,17,-11,0
before_raw_cswitch_A,0,2,18,0,0
before_raw_cswitch_A,0,2,19,-6,0
before_raw_cswitch_A,0,2,20,-1,0
before_raw_cswitch_A,0,2,21,-6,0
before_raw_cswitch_A,0,2,22,10,0
before_raw_cswitch_A,0,2,23,-3,0
before_raw_cswitch_A,0,2,24,0,0
before_raw_cswitch_A,0,2,25,5,0
before_raw_cswitch_A,0,2,26,5,0
before_raw_cswitch_A,0,2,27,-9,0
before_raw_cswitch_A,0,2,28,8,0
before_raw_cswitch_A,0,2,29,-4,0
before_raw_cswitch_A,0,2,30,-1,0
before_raw_cswitch_A,0,2,31,-23,0
before_raw_cswitch_A,0,3,0,3,0
before_raw_cswitch_A,0,3,1,-9,0
before_raw_cswitch_A,0,3,2,-5,0
before_raw_cswitch_A,0,3,3,-6,0
before_raw_cswitch_A,0,3,4,-1,0
before_raw_cswitch_A,0,3,5,3,0
before_raw_cswitch_A,0,3,6,6,0
before_raw_cswitch_A,0,3,7,-3,0
before_raw_cswitch_A,0,3,8,-5,0
before_raw_cswitch_A,0,3,9,-6,0
before_raw_cswitch_A,0,3,10,3,0
before_raw_cswitch_A,0,3,11,6,0
before_raw_cswitch_A,0,3,12,-1,0
before_raw_cswitch_A,0,3,13,2,0
before_raw_cswitch_A,0,3,14,1,0
before_raw_cswitch_A,0,3,15,-8,0
before_raw_cswitch_A,0,3,16,-10,0
before_raw_cswitch_A,0,3,17,12,0
before_raw_cswitch_A,0,3,18,-8,0
before_raw_cswitch_A,0,3,19,-7,0
before_raw_cswitch_A,0,3,20,3,0
before_raw_cswitch_A,0,3,21,-8,0
before_raw_cswitch_A,0,3,22,6,0
before_raw_cswitch_A,0,3,23,1,0
before_raw_cswitch_A,0,3,24,1,0
before_raw_cswitch_A,0,3,25,5,0
before_raw_cswitch_A,0,3,26,-2,0
before_raw_cswitch_A,0,3,27,12,0
before_raw_cswitch_A,0,3,28,-4,0
before_raw_cswitch_A,0,3,29,3,0
before_raw_cswitch_A,0,3,30,6,0
before_raw_cswitch_A,0,3,31,-6,0
before_raw_cswitch_A,0,4,0,-11,0
before_raw_cswitch_A,0,4,1,0,0
before_raw_cswitch_A,0,4,2,-7,0
