idx,word_addr,lane,value
0,0,0,-1
1,0,1,-1
2,0,2,-1
3,0,3,-1
4,0,4,-1
5,0,5,-1
6,0,6,-1
7,0,7,-1
8,0,8,-1
9,0,9,-1
10,0,10,-1
11,0,11,-1
12,0,12,-1
13,0,13,-1
14,0,14,-1
15,0,15,-1
16,0,16,-1
17,0,17,-1
18,0,18,-1
19,0,19,-1
20,0,20,-1
21,0,21,-1
22,0,22,-1
23,0,23,-1
24,0,24,-1
25,0,25,-1
26,0,26,-1
27,0,27,-1
28,0,28,-1
29,0,29,-1
30,0,30,-1
31,0,31,-1
32,1,0,0
33,1,1,0
34,1,2,0
35,1,3,-1
36,1,4,0
37,1,5,0
38,1,6,0
39,1,7,0
40,1,8,0
41,1,9,-2
42,1,10,0
43,1,11,0
44,1,12,0
45,1,13,0
46,1,14,0
47,1,15,0
48,1,16,-1
49,1,17,1
50,1,18,0
51,1,19,0
52,1,20,0
53,1,21,-2
54,1,22,0
55,1,23,0
56,1,24,-1
57,1,25,-2
58,1,26,0
59,1,27,1
60,1,28,0
61,1,29,-1
62,1,30,0
63,1,31,0
64,2,0,1
65,2,1,0
66,2,2,0
67,2,3,1
68,2,4,0
69,2,5,1
70,2,6,0
71,2,7,-1
72,2,8,0
73,2,9,0
74,2,10,0
75,2,11,0
76,2,12,0
77,2,13,2
78,2,14,0
79,2,15,0
80,2,16,0
81,2,17,1
82,2,18,0
83,2,19,0
84,2,20,0
85,2,21,0
86,2,22,0
87,2,23,0
88,2,24,0
89,2,25,3
90,2,26,1
91,2,27,0
92,2,28,0
93,2,29,0
94,2,30,0
95,2,31,-1
96,3,0,0
97,3,1,-1
98,3,2,0
99,3,3,0
100,3,4,0
101,3,5,0
102,3,6,1
103,3,7,-1
104,3,8,0
105,3,9,0
106,3,10,0
107,3,11,0
108,3,12,0
109,3,13,0
110,3,14,0
111,3,15,0
112,3,16,-1
113,3,17,0
114,3,18,1
115,3,19,0
116,3,20,-1
117,3,21,-1
118,3,22,1
119,3,23,0
120,3,24,1
121,3,25,0
122,3,26,-1
123,3,27,0
124,3,28,0
125,3,29,0
126,3,30,2
127,3,31,0
128,4,0,0
129,4,1,0
130,4,2,1
131,4,3,1
132,4,4,0
133,4,5,0
134,4,6,1
135,4,7,-1
136,4,8,0
137,4,9,0
138,4,10,0
139,4,11,0
140,4,12,0
141,4,13,0
142,4,14,0
143,4,15,0
144,4,16,0
145,4,17,0
146,4,18,0
147,4,19,0
148,4,20,0
149,4,21,-1
150,4,22,0
151,4,23,0
152,4,24,-1
153,4,25,0
154,4,26,-2
155,4,27,0
156,4,28,0
157,4,29,0
158,4,30,0
159,4,31,0
160,5,0,-1
161,5,1,0
162,5,2,0
163,5,3,2
164,5,4,1
165,5,5,0
166,5,6,0
167,5,7,0
168,5,8,0
169,5,9,0
170,5,10,0
171,5,11,0
172,5,12,0
173,5,13,0
174,5,14,0
175,5,15,0
176,5,16,0
177,5,17,0
178,5,18,-2
179,5,19,1
180,5,20,0
181,5,21,0
182,5,22,0
183,5,23,0
184,5,24,0
185,5,25,0
186,5,26,0
187,5,27,0
188,5,28,1
189,5,29,0
190,5,30,0
191,5,31,0
192,6,0,0
193,6,1,0
194,6,2,1
195,6,3,0
196,6,4,0
197,6,5,0
198,6,6,0
199,6,7,0
200,6,8,0
201,6,9,0
202,6,10,1
203,6,11,0
204,6,12,0
205,6,13,0
