context,k,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,act32,act33,act34,act35,act36,act37,act38,act39,act40,act41,act42,act43,act44,act45,act46,act47,act48,act49,act50,act51,act52,act53,act54,act55,act56,act57,act58,act59,act60,act61,act62,act63
0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-2,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,2,1,0,2,-1,2,0,0,0,0,0,0,-1,-1,-1,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,-2,0,-1,0,0,0,1,3,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,-1,0,0,2,0,1,-1,0,-1,0,-1,0,-1,0,0,0,1,1,-1,0,0,-1,0,0,0
0,3,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,1,0,1,0,0,0,1,1,1,-1,2,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,3,1,-1,0,1,-1,0
0,4,1,1,1,0,0,1,0,2,-1,0,0,-1,0,1,0,0,1,0,1,0,1,0,0,-2,0,-1,0,0,0,0,1,0,0,0,-1,0,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,1,1,0,0,0,0,0,-1,-1,0,-1,-1,1,-1
0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-1,-1,0,0,0,4,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,0,0,1,1,2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,6,0,-2,0,0,0,-1,0,0,1,-1,0,1,-1,-1,0,1,0,2,0,0,-1,0,0,0,0,1,0,0,0,-2,0,0,0,0,-1,0,-1,-1,1,-1,0,0,1,0,0,-1,0,0,0,0,1,0,-2,0,0,-1,0,0,0,-1,0,0,1,0
0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,1,0,1,-1,0,1,-1,0,0,0,0,-1,-1,0,0,-2,-2,0,-1,0,0,0,0,-1,0,1,1,0,1,1,1,0
0,8,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0
0,9,1,-1,-1,0,-3,0,3,0,1,0,1,-1,1,0,0,0,1,0,0,0,0,-1,1,1,-1,1,-1,-2,0,0,1,-1,1,0,0,0,0,0,1,1,0,0,-2,1,0,0,0,-1,-1,-1,0,-2,0,0,0,1,0,2,-1,0,1,1,-1,1
0,10,1,0,1,0,1,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-1,-1,1,1,0,0,0,1,0,0,0,0,-1,0,0,1,-1,1,0,-2,0,0,0,-1,0
