context,k,act0,act1,act2,act3,act4,act5,act6,act7
0,0,-1,0,0,0,0,0,0,0
0,1,0,0,0,-1,0,0,0,0
0,2,0,0,0,0,1,0,0,1
0,3,0,0,0,0,0,0,0,0
0,4,0,0,0,1,0,0,0,-1
0,5,0,0,-2,1,0,0,0,0
0,6,0,1,0,1,1,1,0,0
0,7,0,1,0,0,0,0,0,0
0,8,0,0,0,2,1,0,2,-1
0,9,2,0,0,0,0,0,0,-1
0,10,-1,-1,0,-2,0,-1,-1,0
0,11,-2,-1,0,0,0,0,0,0
0,12,0,0,1,1,0,0,0,0
0,13,0,0,0,1,1,0,0,0
0,14,-1,0,0,0,0,0,-1,-2
0,15,0,-1,0,0,0,1,3,1
0,16,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,1
0,18,0,-1,-1,0,0,0,-1,0
0,19,0,0,0,0,2,0,0,0
0,20,0,0,1,1,0,0,0,-1
0,21,0,0,2,0,1,-1,0,-1
0,22,0,-1,0,-1,0,0,0,1
0,23,1,-1,0,0,-1,0,0,0
0,24,0,0,1,0,-1,0,0,0
0,25,0,0,0,0,0,0,1,2
0,26,0,-2,0,0,0,0,0,1
0,27,0,1,0,0,0,1,1,1
0,28,-1,2,1,-1,-1,-1,-1,0
0,29,0,1,-1,0,0,0,0,0
0,30,0,0,0,2,0,0,0,-1
0,31,-1,3,1,-1,0,1,-1,0
0,32,1,1,1,0,0,1,0,2
0,33,-1,0,0,-1,0,1,0,0
0,34,1,0,1,0,1,0,0,-2
0,35,0,-1,0,0,0,0,1,0
0,36,0,0,-1,0,0,1,1,0
0,37,0,0,0,0,-1,0,0,0
0,38,1,0,1,1,0,0,0,0
0,39,0,-1,-1,0,-1,-1,1,-1
0,40,0,0,0,0,0,1,1,0
0,41,0,1,0,0,0,0,-1,-1
0,42,0,0,0,4,0,0,0,2
0,43,0,-2,0,0,0,0,0,0
0,44,0,0,0,0,-1,0,-1,0
0,45,1,1,0,0,1,1,2,-1
0,46,0,0,0,0,0,0,0,-1
0,47,0,0,0,0,0,0,0,0
0,48,0,-2,0,0,0,-1,0,0
0,49,1,-1,0,1,-1,-1,0,1
0,50,0,2,0,0,-1,0,0,0
0,51,0,1,0,0,0,-2,0,0
0,52,0,0,-1,0,-1,-1,1,-1
0,53,0,0,1,0,0,-1,0,0
0,54,0,0,1,0,-2,0,0,-1
0,55,0,0,0,-1,0,0,1,0
0,56,0,0,0,0,0,0,0,0
0,57,1,0,0,1,0,0,0,0
0,58,0,0,0,0,1,1,0,0
0,59,0,0,0,0,0,0,-1,0
0,60,1,0,1,-1,0,1,-1,0
0,61,0,0,0,-1,-1,0,0,-2
0,62,-2,0,-1,0,0,0,0,-1
0,63,0,1,1,0,1,1,1,0
