tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,52494,3195190 ns
after_local_cswitch,0,16,0,0,-10787,3195190 ns
after_local_cswitch,0,0,0,0,52494,3195190 ns
after_local_cswitch,0,16,0,0,-10787,3195190 ns
after_local_cswitch,0,0,0,0,52494,3195190 ns
after_local_cswitch,0,16,0,0,-10787,3195190 ns
after_local_cswitch,0,0,1,0,12257,3195200 ns
after_local_cswitch,0,1,0,0,99684,3195200 ns
after_local_cswitch,0,16,1,0,-55839,3195200 ns
after_local_cswitch,0,17,0,0,-15288,3195200 ns
after_local_cswitch,0,0,1,0,12257,3195200 ns
after_local_cswitch,0,1,0,0,99684,3195200 ns
after_local_cswitch,0,16,1,0,-55839,3195200 ns
after_local_cswitch,0,17,0,0,-15288,3195200 ns
after_local_cswitch,0,0,1,0,12257,3195200 ns
after_local_cswitch,0,1,0,0,99684,3195200 ns
after_local_cswitch,0,16,1,0,-55839,3195200 ns
after_local_cswitch,0,17,0,0,-15288,3195200 ns
after_local_cswitch,0,0,2,0,-99967,3195210 ns
after_local_cswitch,0,1,1,0,13543,3195210 ns
after_local_cswitch,0,2,0,0,-4459,3195210 ns
after_local_cswitch,0,16,2,0,-20987,3195210 ns
after_local_cswitch,0,17,1,0,8977,3195210 ns
after_local_cswitch,0,18,0,0,58044,3195210 ns
after_local_cswitch,0,0,2,0,-99967,3195210 ns
after_local_cswitch,0,1,1,0,13543,3195210 ns
after_local_cswitch,0,2,0,0,-4459,3195210 ns
after_local_cswitch,0,16,2,0,-20987,3195210 ns
after_local_cswitch,0,17,1,0,8977,3195210 ns
after_local_cswitch,0,18,0,0,58044,3195210 ns
after_local_cswitch,0,0,2,0,-99967,3195210 ns
after_local_cswitch,0,1,1,0,13543,3195210 ns
after_local_cswitch,0,2,0,0,-4459,3195210 ns
after_local_cswitch,0,16,2,0,-20987,3195210 ns
after_local_cswitch,0,17,1,0,8977,3195210 ns
after_local_cswitch,0,18,0,0,58044,3195210 ns
after_local_cswitch,0,0,3,0,34233,3195220 ns
after_local_cswitch,0,1,2,0,29660,3195220 ns
after_local_cswitch,0,2,1,0,-4047,3195220 ns
after_local_cswitch,0,3,0,0,-90180,3195220 ns
after_local_cswitch,0,16,3,0,47338,3195220 ns
after_local_cswitch,0,17,2,0,-72625,3195220 ns
after_local_cswitch,0,18,1,0,-57860,3195220 ns
after_local_cswitch,0,19,0,0,-64082,3195220 ns
after_local_cswitch,0,0,3,0,34233,3195220 ns
after_local_cswitch,0,1,2,0,29660,3195220 ns
after_local_cswitch,0,2,1,0,-4047,3195220 ns
after_local_cswitch,0,3,0,0,-90180,3195220 ns
after_local_cswitch,0,16,3,0,47338,3195220 ns
after_local_cswitch,0,17,2,0,-72625,3195220 ns
after_local_cswitch,0,18,1,0,-57860,3195220 ns
after_local_cswitch,0,19,0,0,-64082,3195220 ns
after_local_cswitch,0,0,3,0,34233,3195220 ns
after_local_cswitch,0,1,2,0,29660,3195220 ns
after_local_cswitch,0,2,1,0,-4047,3195220 ns
after_local_cswitch,0,3,0,0,-90180,3195220 ns
after_local_cswitch,0,16,3,0,47338,3195220 ns
after_local_cswitch,0,17,2,0,-72625,3195220 ns
after_local_cswitch,0,18,1,0,-57860,3195220 ns
after_local_cswitch,0,19,0,0,-64082,3195220 ns
after_local_cswitch,0,0,4,0,72648,3195230 ns
after_local_cswitch,0,1,3,0,22298,3195230 ns
after_local_cswitch,0,2,2,0,80247,3195230 ns
after_local_cswitch,0,3,1,0,18622,3195230 ns
after_local_cswitch,0,4,0,0,-23843,3195230 ns
