tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,52494,0
before_raw_cswitch_A,0,0,1,12257,0
before_raw_cswitch_A,0,0,2,-99967,0
before_raw_cswitch_A,0,0,3,34233,0
before_raw_cswitch_A,0,0,4,72648,0
before_raw_cswitch_A,0,0,5,-38611,0
before_raw_cswitch_A,0,0,6,-34909,0
before_raw_cswitch_A,0,0,7,3785,0
before_raw_cswitch_A,0,0,8,-28,0
before_raw_cswitch_A,0,0,9,-28887,0
before_raw_cswitch_A,0,0,10,-64752,0
before_raw_cswitch_A,0,0,11,24332,0
before_raw_cswitch_A,0,0,12,-9715,0
before_raw_cswitch_A,0,0,13,87598,0
before_raw_cswitch_A,0,0,14,-28021,0
before_raw_cswitch_A,0,0,15,70822,0
before_raw_cswitch_A,0,0,16,-66478,0
before_raw_cswitch_A,0,0,17,42328,0
before_raw_cswitch_A,0,0,18,279,0
before_raw_cswitch_A,0,0,19,33401,0
before_raw_cswitch_A,0,0,20,34195,0
before_raw_cswitch_A,0,0,21,-25434,0
before_raw_cswitch_A,0,0,22,21394,0
before_raw_cswitch_A,0,0,23,2026,0
before_raw_cswitch_A,0,0,24,67187,0
before_raw_cswitch_A,0,0,25,-77787,0
before_raw_cswitch_A,0,0,26,65119,0
before_raw_cswitch_A,0,0,27,-10787,0
before_raw_cswitch_A,0,0,28,-105212,0
before_raw_cswitch_A,0,0,29,-62703,0
before_raw_cswitch_A,0,0,30,-50525,0
before_raw_cswitch_A,0,0,31,16439,0
before_raw_cswitch_A,0,1,0,99684,0
before_raw_cswitch_A,0,1,1,13543,0
before_raw_cswitch_A,0,1,2,29660,0
before_raw_cswitch_A,0,1,3,22298,0
before_raw_cswitch_A,0,1,4,-9527,0
before_raw_cswitch_A,0,1,5,-23040,0
before_raw_cswitch_A,0,1,6,23278,0
before_raw_cswitch_A,0,1,7,-17383,0
before_raw_cswitch_A,0,1,8,20152,0
before_raw_cswitch_A,0,1,9,-7697,0
before_raw_cswitch_A,0,1,10,38706,0
before_raw_cswitch_A,0,1,11,87602,0
before_raw_cswitch_A,0,1,12,-37490,0
before_raw_cswitch_A,0,1,13,15419,0
before_raw_cswitch_A,0,1,14,26128,0
before_raw_cswitch_A,0,1,15,130629,0
before_raw_cswitch_A,0,1,16,-7264,0
before_raw_cswitch_A,0,1,17,-65916,0
before_raw_cswitch_A,0,1,18,21492,0
before_raw_cswitch_A,0,1,19,-25443,0
before_raw_cswitch_A,0,1,20,67874,0
before_raw_cswitch_A,0,1,21,-42401,0
before_raw_cswitch_A,0,1,22,-37182,0
before_raw_cswitch_A,0,1,23,1736,0
before_raw_cswitch_A,0,1,24,-10763,0
before_raw_cswitch_A,0,1,25,-34829,0
before_raw_cswitch_A,0,1,26,-38526,0
before_raw_cswitch_A,0,1,27,23818,0
before_raw_cswitch_A,0,1,28,-94467,0
before_raw_cswitch_A,0,1,29,54481,0
before_raw_cswitch_A,0,1,30,-30775,0
before_raw_cswitch_A,0,1,31,11475,0
before_raw_cswitch_A,0,2,0,-4459,0
before_raw_cswitch_A,0,2,1,-4047,0
before_raw_cswitch_A,0,2,2,80247,0
before_raw_cswitch_A,0,2,3,-10423,0
before_raw_cswitch_A,0,2,4,-86721,0
before_raw_cswitch_A,0,2,5,39214,0
before_raw_cswitch_A,0,2,6,-41056,0
before_raw_cswitch_A,0,2,7,3134,0
before_raw_cswitch_A,0,2,8,28680,0
before_raw_cswitch_A,0,2,9,15928,0
before_raw_cswitch_A,0,2,10,37105,0
before_raw_cswitch_A,0,2,11,11452,0
before_raw_cswitch_A,0,2,12,6126,0
before_raw_cswitch_A,0,2,13,40889,0
before_raw_cswitch_A,0,2,14,21506,0
before_raw_cswitch_A,0,2,15,-22388,0
before_raw_cswitch_A,0,2,16,57818,0
before_raw_cswitch_A,0,2,17,-5507,0
before_raw_cswitch_A,0,2,18,-46573,0
before_raw_cswitch_A,0,2,19,-56526,0
before_raw_cswitch_A,0,2,20,-18728,0
before_raw_cswitch_A,0,2,21,6883,0
before_raw_cswitch_A,0,2,22,25655,0
before_raw_cswitch_A,0,2,23,-19009,0
before_raw_cswitch_A,0,2,24,19777,0
