idx,word_addr,lane,value
0,0,0,-17
1,0,1,-17
2,0,2,-17
3,0,3,-17
4,0,4,-17
5,0,5,-17
6,0,6,-17
7,0,7,-17
8,0,8,-17
9,0,9,-17
10,0,10,-17
11,0,11,-17
12,0,12,-17
13,0,13,-17
14,0,14,-17
15,0,15,-17
16,0,16,-17
17,0,17,-17
18,0,18,-17
19,0,19,-17
20,0,20,-17
21,0,21,-17
22,0,22,-17
23,0,23,-17
24,0,24,-17
25,0,25,-17
26,0,26,-17
27,0,27,-17
28,0,28,-17
29,0,29,-17
30,0,30,-17
31,0,31,-17
32,0,32,-17
33,0,33,-17
34,0,34,-17
35,0,35,-17
36,0,36,-17
37,0,37,-17
38,0,38,-17
39,0,39,-17
40,0,40,-17
41,0,41,-17
42,0,42,-17
43,0,43,-17
44,0,44,-17
45,0,45,-17
46,0,46,-17
47,0,47,-17
48,0,48,-17
49,0,49,-17
50,0,50,-17
51,0,51,-17
52,0,52,-17
53,0,53,-17
54,0,54,-17
55,0,55,-17
56,0,56,-17
57,0,57,-17
58,0,58,-17
59,0,59,-17
60,0,60,-17
61,0,61,-17
62,0,62,-17
63,0,63,-17
64,1,0,115
65,1,1,74
66,1,2,-98
67,1,3,30
68,1,4,56
69,1,5,-80
70,1,6,-12
71,1,7,79
72,1,8,80
73,1,9,-92
74,1,10,100
75,1,11,-3
76,1,12,-118
77,1,13,-99
78,1,14,47
79,1,15,-40
80,1,16,-69
81,1,17,-8
82,1,18,-100
83,1,19,15
84,1,20,-4
85,1,21,-29
86,1,22,-103
87,1,23,-1
88,1,24,-122
89,1,25,-10
90,1,26,103
91,1,27,-23
92,1,28,-119
93,1,29,-111
94,1,30,-87
95,1,31,19
96,1,32,64
97,1,33,-31
98,1,34,-5
99,1,35,-114
100,1,36,-11
101,1,37,-111
102,1,38,-99
103,1,39,71
104,1,40,52
105,1,41,70
106,1,42,-63
107,1,43,-126
108,1,44,90
109,1,45,120
110,1,46,59
111,1,47,121
112,1,48,19
113,1,49,-101
114,1,50,-22
115,1,51,124
116,1,52,-59
117,1,53,115
118,1,54,11
119,1,55,35
120,1,56,124
121,1,57,-39
122,1,58,15
123,1,59,-90
124,1,60,72
125,1,61,111
126,1,62,74
127,1,63,24
128,2,0,-107
129,2,1,120
130,2,2,-78
131,2,3,104
132,2,4,62
133,2,5,119
134,2,6,-118
135,2,7,-122
136,2,8,123
137,2,9,69
138,2,10,120
139,2,11,-51
140,2,12,65
141,2,13,-83
142,2,14,100
143,2,15,-40
144,2,16,4
145,2,17,23
146,2,18,19
147,2,19,-61
148,2,20,103
149,2,21,-64
150,2,22,-4
151,2,23,38
152,2,24,27
153,2,25,-102
154,2,26,-60
155,2,27,-121
156,2,28,93
157,2,29,-110
158,2,30,-53
159,2,31,83
160,2,32,10
161,2,33,-101
162,2,34,76
163,2,35,123
164,2,36,104
165,2,37,-67
166,2,38,127
167,2,39,43
168,2,40,104
169,2,41,-103
170,2,42,-54
171,2,43,73
172,2,44,-35
173,2,45,-45
174,2,46,42
175,2,47,31
176,2,48,-49
177,2,49,67
178,2,50,-46
179,2,51,-124
180,2,52,15
181,2,53,25
182,2,54,69
183,2,55,34
184,2,56,-61
185,2,57,-31
186,2,58,53
187,2,59,25
188,2,60,-27
189,2,61,-40
190,2,62,44
191,2,63,-10
192,3,0,73
193,3,1,40
194,3,2,14
195,3,3,-56
196,3,4,-67
197,3,5,-90
198,3,6,-23
199,3,7,15
200,3,8,28
201,3,9,109
202,3,10,78
203,3,11,-67
204,3,12,41
205,3,13,66
206,3,14,-83
207,3,15,65
208,3,16,37
209,3,17,-40
210,3,18,86
211,3,19,-101
212,3,20,-89
213,3,21,48
214,3,22,100
215,3,23,-50
216,3,24,73
217,3,25,65
218,3,26,97
219,3,27,119
220,3,28,-84
221,3,29,109
222,3,30,46
223,3,31,31
224,3,32,92
225,3,33,85
226,3,34,58
227,3,35,112
228,3,36,50
229,3,37,102
230,3,38,60
231,3,39,118
232,3,40,-105
233,3,41,-12
234,3,42,-50
235,3,43,90
236,3,44,-101
237,3,45,-5
238,3,46,78
239,3,47,-61
240,3,48,-47
241,3,49,-20
242,3,50,-82
243,3,51,52
244,3,52,-124
245,3,53,-113
246,3,54,27
247,3,55,-54
248,3,56,10
249,3,57,-21
250,3,58,-16
251,3,59,21
252,3,60,-78
253,3,61,-53
254,3,62,-96
255,3,63,43
256,4,0,14
257,4,1,64
258,4,2,50
259,4,3,39
260,4,4,-56
261,4,5,-91
262,4,6,37
263,4,7,29
264,4,8,29
265,4,9,-115
266,4,10,0
267,4,11,70
268,4,12,-62
269,4,13,92
270,4,14,-74
271,4,15,-46
272,4,16,103
273,4,17,67
274,4,18,-124
275,4,19,-126
276,4,20,-36
277,4,21,46
278,4,22,-38
279,4,23,101
280,4,24,-70
281,4,25,-77
282,4,26,121
283,4,27,110
284,4,28,-53
285,4,29,66
286,4,30,-119
287,4,31,37
288,4,32,52
289,4,33,3
290,4,34,-94
291,4,35,30
292,4,36,-117
293,4,37,43
294,4,38,62
295,4,39,101
296,4,40,-49
297,4,41,-117
298,4,42,-44
299,4,43,127
300,4,44,17
301,4,45,-56
302,4,46,101
303,4,47,30
304,4,48,-117
305,4,49,-95
306,4,50,-24
307,4,51,-122
308,4,52,104
309,4,53,107
310,4,54,3
311,4,55,107
312,4,56,67
313,4,57,-62
314,4,58,-15
315,4,59,-31
316,4,60,-68
317,4,61,-115
318,4,62,39
319,4,63,92
320,5,0,3
321,5,1,-23
322,5,2,-10
323,5,3,-13
324,5,4,31
325,5,5,103
326,5,6,-78
327,5,7,46
328,5,8,-69
329,5,9,68
330,5,10,112
331,5,11,-31
332,5,12,-4
333,5,13,-91
334,5,14,-122
335,5,15,-10
336,5,16,11
337,5,17,-114
338,5,18,-46
339,5,19,-40
340,5,20,-99
341,5,21,71
342,5,22,-76
343,5,23,-73
344,5,24,2
345,5,25,-18
