context,k,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31
0,0,-3184,-13151,-17631,25251,-20549,28283,-29792,17020,-27013,-23544,11524,30570,20844,26124,16002,14866,-22879,15163,-14303,5488,-30972,-30781,-31335,2555,-27687,25345,30857,21580,18803,15098,31679,586
0,1,26763,6454,3057,16562,-26101,-30631,16556,-8894,-28897,-11731,12797,23416,-28130,-4325,12712,20652,23017,-21087,12879,17,14985,14169,-20476,7265,17646,-18777,31675,14102,3686,-4540,-28193,12569
0,2,16712,19474,16693,-695,18410,-5524,6938,10613,14999,-23235,22148,-766,31285,-5709,20621,-26059,27554,13676,-29930,-2903,9860,26950,-31346,31406,7907,1651,5128,15275,-1558,3786,23678,31402
0,3,-202,7922,7322,26841,-23017,15854,-16772,-13357,-11730,-8592,19990,26210,-5068,-1162,-21853,9860,-2121,-18943,32287,11907,23515,-27450,-2093,-2835,21461,18719,-29390,9713,-21989,17075,17952,-25209
0,4,4446,7040,-29363,-6453,9911,23268,26054,29245,11072,23666,13252,385,10928,-32222,-206,20656,-10995,-26513,9367,-15153,31725,-25829,15092,17396,-20954,-21995,-21004,31546,-3898,-2894,-19663,-5036
0,5,-23540,-15937,26604,-23897,15004,3954,816,1665,-20541,21313,28213,18148,-25937,6962,6974,27277,-30833,-20238,29591,1030,-4040,-27814,-28977,-7340,17873,-32053,-26087,-4953,16179,9159,-11320,-2570
0,6,-5881,-17586,-14737,25846,3669,-14797,23019,-18336,20486,24730,-2051,5216,-25457,-19470,-32523,11246,19698,16526,11732,13623,-18515,14534,-12084,6940,21074,14559,2570,6381,-9308,12689,-11764,3199
0,7,-23562,4238,-19991,-8505,-22948,-16521,21463,3551,-31749,-28127,-31543,-16487,-9408,11390,12881,-28157,9450,-13253,-28283,-19772,-5575,30936,11229,21321,9224,13147,1530,-17077,8349,-25588,10020,-30196
0,8,-12471,-30125,10973,28825,5832,3161,30834,-17629,-26701,24033,-11658,275,28324,-12251,3358,-32224,17903,-1548,15826,-10719,-4709,28749,20951,-2901,-19836,-29579,8628,4586,4621,-2860,-7035,10896
0,9,-8897,-11024,-8180,-22467,16524,12417,-2704,-19517,26064,7828,-24086,-22662,6871,-29779,20179,-21320,32526,-5652,7785,-2839,20411,-21839,-12800,-8324,-30225,-25334,1518,-656,15803,-31274,-8053,11872
