write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
0,0,0,0,-966939542,-369722666,2051756855,-1846738160,-1361260848,1402083656,768363445,891498790,1109738678,-1941292809,-1584144484,1521875474,-950919699,-1674072602,1944065419,-1991098438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298396857,-2016340406,1918447252,1308556015,1962817174,551220323,889893678,1484670284,-197052100,-1522357323,672691154,475395835,1834797444,1380098566,-159684090,-1030992585
2,0,1,1,1246018440,2018613113,766565877,-1937882809,-2083026842,-348671250,-1193616503,-774579312,-2047795852,-1255601252,-321009001,-1700405267,1722961511,-139855155,175568078,329080883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-809213956,223085802,-2038203958,1715080512,-1251731149,1474871123,-136832604,623978036,-555739028,-189656056,-242291076,438263189,996287282,-1505600783,472416695,1654799031
4,0,2,2,-335540502,-1821659276,625621049,1839306365,1107120311,1747010460,-947779947,-489563730,-2089088779,1542751384,1367804126,1111196247,1906068881,-1991454791,-1131787031,-764828277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2103128817,220783091,-363276193,653353023,-411087988,-188529513,1544030762,-1056530039,1484398219,1538940873,1411497185,-716116129,1128072306,-139077131,-285248674,471737528
6,0,3,3,1611374818,-165513375,822791033,-1591240102,-1532516381,-1021000208,-2013416605,-1659261089,-467106871,-1382586624,1419431802,-1233822055,-82519611,-1756737870,-134480012,-1767978457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280030401,1726456119,287032272,-1494908377,-1012835427,1994118335,1106237829,1417454925,252773664,-2086211621,2109776731,916061980,980834798,-531585640,1586951037,899159447
8,0,4,4,646508054,116172688,-1247778400,1941296448,-1751345823,1679206072,-1731582283,-1658882987,1419499719,928739479,-1851488831,-687042623,80613305,-1098647250,-1542271919,-101301455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156895318,-2878870,139667534,784622389,1673392701,2119536090,1454454354,-1542607986,359957436,1744670496,879963851,55476731,-565553394,118282144,951703192,-1430754977
