tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,3328027754,0
before_raw_cswitch_A,0,0,1,1246018440,0
before_raw_cswitch_A,0,0,2,-335540502,0
before_raw_cswitch_A,0,0,3,1611374818,0
before_raw_cswitch_A,0,0,4,646508054,0
before_raw_cswitch_A,0,0,5,-2119907595,0
before_raw_cswitch_A,0,0,6,-2183886915,0
before_raw_cswitch_A,0,0,7,-893848497,0
before_raw_cswitch_A,0,0,8,5321578678,0
before_raw_cswitch_A,0,0,9,2108532391,0
before_raw_cswitch_A,0,0,10,-3017764562,0
before_raw_cswitch_A,0,0,11,-7024097400,0
before_raw_cswitch_A,0,0,12,-586946832,0
before_raw_cswitch_A,0,0,13,-3910823517,0
before_raw_cswitch_A,0,0,14,1147444693,0
before_raw_cswitch_A,0,0,15,3335352256,0
before_raw_cswitch_A,0,0,16,6360513023,0
before_raw_cswitch_A,0,0,17,-5817335,0
before_raw_cswitch_A,0,0,18,-892411761,0
before_raw_cswitch_A,0,0,19,4559691797,0
before_raw_cswitch_A,0,0,20,-3693517371,0
before_raw_cswitch_A,0,0,21,3722948923,0
before_raw_cswitch_A,0,0,22,-2540175016,0
before_raw_cswitch_A,0,0,23,7358906839,0
before_raw_cswitch_A,0,0,24,741567274,0
before_raw_cswitch_A,0,0,25,-2676142312,0
before_raw_cswitch_A,0,0,26,1443345047,0
before_raw_cswitch_A,0,0,27,2028109061,0
before_raw_cswitch_A,0,0,28,2268860969,0
before_raw_cswitch_A,0,0,29,4000622038,0
before_raw_cswitch_A,0,0,30,308626631,0
before_raw_cswitch_A,0,0,31,2333894882,0
before_raw_cswitch_A,0,1,0,-369722666,0
before_raw_cswitch_A,0,1,1,-2276354183,0
before_raw_cswitch_A,0,1,2,-1821659276,0
before_raw_cswitch_A,0,1,3,-165513375,0
before_raw_cswitch_A,0,1,4,116172688,0
before_raw_cswitch_A,0,1,5,2892664393,0
