idx,word_addr,lane,value
0,0,0,-16657
1,0,1,-16657
2,0,2,-16657
3,0,3,-16657
4,0,4,-16657
5,0,5,-16657
6,0,6,-16657
7,0,7,-16657
8,0,8,-16657
9,0,9,-16657
10,0,10,-16657
11,0,11,-16657
12,0,12,-16657
13,0,13,-16657
14,0,14,-16657
15,0,15,-16657
16,0,16,-16657
17,0,17,-16657
18,0,18,-16657
19,0,19,-16657
20,0,20,-16657
21,0,21,-16657
22,0,22,-16657
23,0,23,-16657
24,0,24,-16657
25,0,25,-16657
26,0,26,-16657
27,0,27,-16657
28,0,28,-16657
29,0,29,-16657
30,0,30,-16657
31,0,31,-16657
32,1,0,-30893
33,1,1,-18200
34,1,2,18566
35,1,3,344
36,1,4,-22713
37,1,5,-20913
38,1,6,-18021
39,1,7,-31833
40,1,8,-23262
41,1,9,20789
42,1,10,6698
43,1,11,-31261
44,1,12,-15779
45,1,13,-1679
46,1,14,-10634
47,1,15,11621
48,1,16,21806
49,1,17,-30854
50,1,18,30301
51,1,19,20205
52,1,20,-7666
53,1,21,19559
54,1,22,-6004
55,1,23,14981
56,1,24,20324
57,1,25,5888
58,1,26,-9455
59,1,27,-1026
60,1,28,19840
61,1,29,25985
62,1,30,-13764
63,1,31,-12508
64,2,0,-3676
65,2,1,-17596
66,2,2,4039
67,2,3,7590
68,2,4,-2906
69,2,5,-9384
70,2,6,-32157
71,2,7,-6244
72,2,8,24368
73,2,9,-16928
74,2,10,18674
75,2,11,10405
76,2,12,24266
77,2,13,-11157
78,2,14,-542
79,2,15,5459
80,2,16,-14416
81,2,17,-10801
82,2,18,9828
83,2,19,1505
84,2,20,29832
85,2,21,18006
86,2,22,27006
87,2,23,-13578
88,2,24,3099
89,2,25,22631
90,2,26,-13129
91,2,27,-10529
92,2,28,-1784
93,2,29,-8398
94,2,30,-1125
95,2,31,25603
96,3,0,26723
97,3,1,8663
98,3,2,22359
99,3,3,-32244
100,3,4,13895
101,3,5,22948
102,3,6,-18463
103,3,7,-23537
104,3,8,-16080
105,3,9,9135
106,3,10,4633
107,3,11,21854
108,3,12,20024
109,3,13,26922
110,3,14,-17625
111,3,15,-13036
112,3,16,-7372
113,3,17,11539
114,3,18,31266
115,3,19,7089
116,3,20,-22569
117,3,21,-8584
118,3,22,-12786
119,3,23,-10
120,3,24,23548
121,3,25,-97
122,3,26,-12456
123,3,27,2802
124,3,28,15866
125,3,29,26825
126,3,30,-13701
127,3,31,-14556
128,4,0,-17159
129,4,1,5743
130,4,2,17743
131,4,3,-23022
132,4,4,-9454
133,4,5,4851
134,4,6,-10850
135,4,7,-15435
136,4,8,-15042
137,4,9,27041
138,4,10,9895
139,4,11,-29795
140,4,12,13849
141,4,13,10216
142,4,14,4101
143,4,15,-3956
144,4,16,32452
145,4,17,20829
146,4,18,17184
147,4,19,-16787
