context,k,act0,act1,act2,act3,act4,act5,act6,act7
0,0,-3184,-13151,-17631,25251,-20549,28283,-29792,17020
0,1,-27013,-23544,11524,30570,20844,26124,16002,14866
0,2,-22879,15163,-14303,5488,-30972,-30781,-31335,2555
0,3,-27687,25345,30857,21580,18803,15098,31679,586
0,4,26763,6454,3057,16562,-26101,-30631,16556,-8894
0,5,-28897,-11731,12797,23416,-28130,-4325,12712,20652
0,6,23017,-21087,12879,17,14985,14169,-20476,7265
0,7,17646,-18777,31675,14102,3686,-4540,-28193,12569
0,8,16712,19474,16693,-695,18410,-5524,6938,10613
0,9,14999,-23235,22148,-766,31285,-5709,20621,-26059
0,10,27554,13676,-29930,-2903,9860,26950,-31346,31406
0,11,7907,1651,5128,15275,-1558,3786,23678,31402
0,12,-202,7922,7322,26841,-23017,15854,-16772,-13357
0,13,-11730,-8592,19990,26210,-5068,-1162,-21853,9860
0,14,-2121,-18943,32287,11907,23515,-27450,-2093,-2835
0,15,21461,18719,-29390,9713,-21989,17075,17952,-25209
0,16,4446,7040,-29363,-6453,9911,23268,26054,29245
0,17,11072,23666,13252,385,10928,-32222,-206,20656
0,18,-10995,-26513,9367,-15153,31725,-25829,15092,17396
0,19,-20954,-21995,-21004,31546,-3898,-2894,-19663,-5036
0,20,-23540,-15937,26604,-23897,15004,3954,816,1665
0,21,-20541,21313,28213,18148,-25937,6962,6974,27277
0,22,-30833,-20238,29591,1030,-4040,-27814,-28977,-7340
0,23,17873,-32053,-26087,-4953,16179,9159,-11320,-2570
0,24,-5881,-17586,-14737,25846,3669,-14797,23019,-18336
0,25,20486,24730,-2051,5216,-25457,-19470,-32523,11246
0,26,19698,16526,11732,13623,-18515,14534,-12084,6940
0,27,21074,14559,2570,6381,-9308,12689,-11764,3199
0,28,-23562,4238,-19991,-8505,-22948,-16521,21463,3551
0,29,-31749,-28127,-31543,-16487,-9408,11390,12881,-28157
0,30,9450,-13253,-28283,-19772,-5575,30936,11229,21321
0,31,9224,13147,1530,-17077,8349,-25588,10020,-30196
0,32,-12471,-30125,10973,28825,5832,3161,30834,-17629
0,33,-26701,24033,-11658,275,28324,-12251,3358,-32224
0,34,17903,-1548,15826,-10719,-4709,28749,20951,-2901
0,35,-19836,-29579,8628,4586,4621,-2860,-7035,10896
0,36,-8897,-11024,-8180,-22467,16524,12417,-2704,-19517
0,37,26064,7828,-24086,-22662,6871,-29779,20179,-21320
0,38,32526,-5652,7785,-2839,20411,-21839,-12800,-8324
0,39,-30225,-25334,1518,-656,15803,-31274,-8053,11872
0,40,14085,13793,3783,-21519,5216,5230,-144,17073
0,41,21697,622,5989,-1404,-4158,-14172,-11523,-4801
0,42,25315,-30758,20304,3993,-31724,-28679,-31706,10761
0,43,19836,22162,-15963,-31880,-10442,18224,25446,-23392
0,44,-16722,32127,31969,29882,13494,15024,8912,18006
0,45,-4516,-1726,-17416,4526,-16916,15113,9439,-23222
0,46,9668,18220,-25396,-11792,6801,-18970,15659,-4977
0,47,-10155,16090,-10402,30213,10356,-26567,2408,-22477
0,48,-27165,6750,-4926,10717,12447,11857,-25774,4205
0,49,-31072,7444,12566,-30523,-15729,-4977,-3152,-15356
0,50,-11480,-11617,-8601,9898,9090,32507,21365,-25370
0,51,-17952,25253,24867,26846,4537,-30363,13858,-9237
0,52,1883,25407,14593,7580,18059,29178,9457,25203
0,53,26481,-7484,-12996,-11448,-13308,18286,402,2
0,54,-29312,15522,-9259,-28259,9298,3044,-10142,-793
0,55,-26621,19632,7617,26349,6777,-30609,13385,25893
0,56,25374,-30821,27520,606,-16754,18627,576,-19245
0,57,3801,-20911,7955,8432,-18235,-31124,-3983,-28232
0,58,9801,6636,-26900,-21671,-32600,25516,30763,-23339
0,59,-3760,5721,-14483,27183,-2008,-27864,-31778,-19361
0,60,-25268,-18305,-20569,4499,-18134,-25637,14343,20244
0,61,-13405,-31748,7601,-25420,3774,26347,-9929,1202
0,62,23364,-17167,-11543,4629,-17981,-13526,-12283,12309
0,63,21642,5148,-13187,-12972,9275,4187,9176,-2168
