count,context,act0,act1,act2,act3,act4,act5,act6,act7,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-3184,0,0,0,0,0,0,0,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-3184,0,0,0,0,0,0,0,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-3184,0,0,0,0,0,0,0,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-27013,-13151,0,0,0,0,0,0,4131,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-27013,-13151,0,0,0,0,0,0,4131,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,-27013,-13151,0,0,0,0,0,0,4131,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,-22879,-23544,-17631,0,0,0,0,0,24317,-11025,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,-22879,-23544,-17631,0,0,0,0,0,24317,-11025,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,-22879,-23544,-17631,0,0,0,0,0,24317,-11025,-16657,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,-27687,15163,11524,25251,0,0,0,0,-5725,-24036,-8307,-16657,0,0,0,0,0,0,0,0,0,0,0,0
16,0,-27687,15163,11524,25251,0,0,0,0,-5725,-24036,-8307,-16657,0,0,0,0,0,0,0,0,0,0,0,0
17,0,-27687,15163,11524,25251,0,0,0,0,-5725,-24036,-8307,-16657,0,0,0,0,0,0,0,0,0,0,0,0
18,0,26763,25345,-14303,30570,-20549,0,0,0,25952,-15078,23408,-11087,-16657,0,0,0,0,0,0,0,0,0,0,0
19,0,26763,25345,-14303,30570,-20549,0,0,0,25952,-15078,23408,-11087,-16657,0,0,0,0,0,0,0,0,0,0,0
20,0,26763,25345,-14303,30570,-20549,0,0,0,25952,-15078,23408,-11087,-16657,0,0,0,0,0,0,0,0,0,0,0
21,0,-28897,6454,30857,5488,20844,28283,0,0,23705,13644,8142,24694,7354,-16657,0,0,0,0,0,0,0,0,0,0
22,0,-28897,6454,30857,5488,20844,28283,0,0,23705,13644,8142,24694,7354,-16657,0,0,0,0,0,0,0,0,0,0
23,0,-28897,6454,30857,5488,20844,28283,0,0,23705,13644,8142,24694,7354,-16657,0,0,0,0,0,0,0,0,0,0
24,0,23017,-11731,3057,21580,-30972,26124,-29792,0,3494,28567,-12010,5171,-25884,-24314,-16657,0,0,0,0,0,0,0,0,0
25,0,23017,-11731,3057,21580,-30972,26124,-29792,0,3494,28567,-12010,5171,-25884,-24314,-16657,0,0,0,0,0,0,0,0,0
26,0,23017,-11731,3057,21580,-30972,26124,-29792,0,3494,28567,-12010,5171,-25884,-24314,-16657,0,0,0,0,0,0,0,0,0
27,0,17646,-21087,12797,16562,18803,-30781,16002,17020,-25183,-27796,27692,-24331,-21789,-26481,-22505,-16657,0,0,0,0,0,0,0,0
28,0,17646,-21087,12797,16562,18803,-30781,16002,17020,-25183,-27796,27692,-24331,-21789,-26481,-22505,-16657,0,0,0,0,0,0,0,0
29,0,17646,-21087,12797,16562,18803,-30781,16002,17020,-25183,-27796,27692,-24331,-21789,-26481,-22505,-16657,0,0,0,0,0,0,0,0
30,0,16712,-18777,12879,23416,-26101,15098,-31335,14866,-23685,21829,-4796,-23489,19952,-11081,-14775,18194,-16657,0,0,0,0,0,0,0
31,0,16712,-18777,12879,23416,-26101,15098,-31335,14866,-23685,21829,-4796,-23489,19952,-11081,-14775,18194,-16657,0,0,0,0,0,0,0
32,0,16712,-18777,12879,23416,-26101,15098,-31335,14866,-23685,21829,-4796,-23489,19952,-11081,-14775,18194,-16657,0,0,0,0,0,0,0
33,0,14999,19474,31675,17,-28130,-30631,31679,2555,26473,-9890,-14853,-30251,-14589,12162,13723,-4881,11631,-16657,0,0,0,0,0,0
34,0,14999,19474,31675,17,-28130,-30631,31679,2555,26473,-9890,-14853,-30251,-14589,12162,13723,-4881,11631,-16657,0,0,0,0,0,0
35,0,14999,19474,31675,17,-28130,-30631,31679,2555,26473,-9890,-14853,-30251,-14589,12162,13723,-4881,11631,-16657,0,0,0,0,0,0
36,0,27554,-23235,16693,14102,14985,-4325,16556,586,-23059,317,-15594,-6671,-23018,-27947,6713,7284,29127,30375,-16657,0,0,0,0,0
37,0,27554,-23235,16693,14102,14985,-4325,16556,586,-23059,317,-15594,-6671,-23018,-27947,6713,7284,29127,30375,-16657,0,0,0,0,0
38,0,27554,-23235,16693,14102,14985,-4325,16556,586,-23059,317,-15594,-6671,-23018,-27947,6713,7284,29127,30375,-16657,0,0,0,0,0
39,0,7907,13676,22148,-695,3686,14169,12712,-8894,20000,21717,15165,2058,10748,20206,-9317,14737,-18583,27776,3984,-16657,0,0,0,0
40,0,7907,13676,22148,-695,3686,14169,12712,-8894,20000,21717,15165,2058,10748,20206,-9317,14737,-18583,27776,3984,-16657,0,0,0,0
41,0,7907,13676,22148,-695,3686,14169,12712,-8894,20000,21717,15165,2058,10748,20206,-9317,14737,-18583,27776,3984,-16657,0,0,0,0
42,0,-202,1651,-29930,-766,18410,-4540,-20476,20652,18332,3686,-11831,-12135,5086,-5418,15289,31430,-27492,10024,14291,22154,-16657,0,0,0
43,0,-202,1651,-29930,-766,18410,-4540,-20476,20652,18332,3686,-11831,-12135,5086,-5418,15289,31430,-27492,10024,14291,22154,-16657,0,0,0
44,0,-202,1651,-29930,-766,18410,-4540,-20476,20652,18332,3686,-11831,-12135,5086,-5418,15289,31430,-27492,10024,14291,22154,-16657,0,0,0
45,0,-11730,7922,5128,-2903,31285,-5524,-28193,7265,-28870,19219,16610,24081,-13806,9346,22179,-30635,-29763,-15588,824,25205,26164,-16657,0,0
46,0,-11730,7922,5128,-2903,31285,-5524,-28193,7265,-28870,19219,16610,24081,-13806,9346,22179,-30635,-29763,-15588,824,25205,26164,-16657,0,0
47,0,-11730,7922,5128,-2903,31285,-5524,-28193,7265,-28870,19219,16610,24081,-13806,9346,22179,-30635,-29763,-15588,824,25205,26164,-16657,0,0
48,0,-2121,-8592,7322,15275,9860,-5709,6938,12569,-31271,1884,2067,-25835,-3231,-19630,-25964,-25780,-5168,31934,-14570,12571,-320,22894,-16657,0
49,0,-2121,-8592,7322,15275,9860,-5709,6938,12569,-31271,1884,2067,-25835,-3231,-19630,-25964,-25780,-5168,31934,-14570,12571,-320,22894,-16657,0
50,0,-2121,-8592,7322,15275,9860,-5709,6938,12569,-31271,1884,2067,-25835,-3231,-19630,-25964,-25780,-5168,31934,-14570,12571,-320,22894,-16657,0
51,0,21461,-18943,19990,26841,-1558,26950,20621,10613,-12579,19987,-7229,-2194,20880,12929,-2693,-16060,-18560,-9657,13738,27423,-585,30717,-21086,-16657
52,0,21461,-18943,19990,26841,-1558,26950,20621,10613,-12579,19987,-7229,-2194,20880,12929,-2693,-16060,-18560,-9657,13738,27423,-585,30717,-21086,-16657
53,0,21461,-18943,19990,26841,-1558,26950,20621,10613,-12579,19987,-7229,-2194,20880,12929,-2693,-16060,-18560,-9657,13738,27423,-585,30717,-21086,-16657
54,0,4446,18719,32287,26210,-23017,3786,-31346,-26059,26480,-29614,-21484,30644,25706,-4419,17810,-25544,30198,9911,-5551,-32288,-15107,-28188,-12719,-14118
55,0,4446,18719,32287,26210,-23017,3786,-31346,-26059,26480,-29614,-21484,30644,25706,-4419,17810,-25544,30198,9911,-5551,-32288,-15107,-28188,-12719,-14118
56,0,4446,18719,32287,26210,-23017,3786,-31346,-26059,26480,-29614,-21484,30644,25706,-4419,17810,-25544,30198,9911,-5551,-32288,-15107,-28188,-12719,-14118
57,0,11072,7040,-29390,11907,-5068,15854,23678,31406,-22848,-31206,22873,-13844,-13094,11529,-3446,13477,919,5264,-21407,-26961,31553,-20240,443,-16003
58,0,11072,7040,-29390,11907,-5068,15854,23678,31406,-22848,-31206,22873,-13844,-13094,11529,-3446,13477,919,5264,-21407,-26961,31553,-20240,443,-16003
59,0,11072,7040,-29390,11907,-5068,15854,23678,31406,-22848,-31206,22873,-13844,-13094,11529,-3446,13477,919,5264,-21407,-26961,31553,-20240,443,-16003
60,0,-10995,23666,-29363,9713,23515,-1162,-16772,31402,18325,-1736,-27789,-1430,-27643,22944,-17020,-26586,-8567,-10967,-28138,-1955,-21922,-8934,-13041,4529
61,0,-10995,23666,-29363,9713,23515,-1162,-16772,31402,18325,-1736,-27789,-1430,-27643,22944,-17020,-26586,-8567,-10967,-28138,-1955,-21922,-8934,-13041,4529
62,0,-10995,23666,-29363,9713,23515,-1162,-16772,31402,18325,-1736,-27789,-1430,-27643,22944,-17020,-26586,-8567,-10967,-28138,-1955,-21922,-8934,-13041,4529
63,0,-20954,-26513,13252,-6453,-21989,-27450,-21853,-13357,-3918,19755,31541,31101,10213,30537,27430,10153,15667,11859,-2047,20980,26715,-827,-29614,-17209
64,0,-20954,-26513,13252,-6453,-21989,-27450,-21853,-13357,-3918,19755,31541,31101,10213,30537,27430,10153,15667,11859,-2047,20980,26715,-827,-29614,-17209
65,0,-20954,-26513,13252,-6453,-21989,-27450,-21853,-13357,-3918,19755,31541,31101,10213,30537,27430,10153,15667,11859,-2047,20980,26715,-827,-29614,-17209
66,0,-23540,-21995,9367,385,9911,17075,-2093,9860,-16190,20287,-17687,-25843,23273,4913,-25337,3851,-8062,-19776,-13732,-1203,-27459,19781,-22596,-27458
67,0,-23540,-21995,9367,385,9911,17075,-2093,9860,-16190,20287,-17687,-25843,23273,4913,-25337,3851,-8062,-19776,-13732,-1203,-27459,19781,-22596,-27458
68,0,-23540,-21995,9367,385,9911,17075,-2093,9860,-16190,20287,-17687,-25843,23273,4913,-25337,3851,-8062,-19776,-13732,-1203,-27459,19781,-22596,-27458
69,0,-20541,-15937,-21004,-15153,10928,23268,17952,-2835,-26688,-14857,12289,-3123,17792,-32734,-24384,30300,-3858,9878,-1754,-26132,-9909,-31393,28735,24979
70,0,-20541,-15937,-21004,-15153,10928,23268,17952,-2835,-26688,-14857,12289,-3123,17792,-32734,-24384,30300,-3858,9878,-1754,-26132,-9909,-31393,28735,24979
71,0,-20541,-15937,-21004,-15153,10928,23268,17952,-2835,-26688,-14857,12289,-3123,17792,-32734,-24384,30300,-3858,9878,-1754,-26132,-9909,-31393,28735,24979
72,0,-30833,21313,26604,31546,31725,-32222,26054,-25209,-16610,-4674,-11050,1750,-15660,-28700,11107,-1392,10790,25044,-31305,7393,-1715,11762,-21901,-31135
73,0,-30833,21313,26604,31546,31725,-32222,26054,-25209,-16610,-4674,-11050,1750,-15660,-28700,11107,-1392,10790,25044,-31305,7393,-1715,11762,-21901,-31135
74,0,-30833,21313,26604,31546,31725,-32222,26054,-25209,-16610,-4674,-11050,1750,-15660,-28700,11107,-1392,10790,25044,-31305,7393,-1715,11762,-21901,-31135
75,0,17873,-20238,28213,-23897,-3898,-25829,-206,29245,30899,10265,16378,-29012,25501,21668,28243,20231,9518,23743,20661,-29356,32515,24664,4289,-27973
76,0,17873,-20238,28213,-23897,-3898,-25829,-206,29245,30899,10265,16378,-29012,25501,21668,28243,20231,9518,23743,20661,-29356,32515,24664,4289,-27973
77,0,17873,-20238,28213,-23897,-3898,-25829,-206,29245,30899,10265,16378,-29012,25501,21668,28243,20231,9518,23743,20661,-29356,32515,24664,4289,-27973
78,0,-5881,-32053,29591,18148,15004,-2894,15092,20656,-3954,-29297,14864,-9368,-3881,17072,-31551,5414,5346,26360,-1434,-5949,-2677,-26230,-17376,29558
79,0,-5881,-32053,29591,18148,15004,-2894,15092,20656,-3954,-29297,14864,-9368,-3881,17072,-31551,5414,5346,26360,-1434,-5949,-2677,-26230,-17376,29558
80,0,-5881,-32053,29591,18148,15004,-2894,15092,20656,-3954,-29297,14864,-9368,-3881,17072,-31551,5414,5346,26360,-1434,-5949,-2677,-26230,-17376,29558
81,0,20486,-17586,-26087,1030,-25937,3954,-19663,17396,25248,31023,10401,-31904,-27016,-25447,-9230,10584,3611,15637,11861,1909,-5441,1645,27146,17512
82,0,20486,-17586,-26087,1030,-25937,3954,-19663,17396,25248,31023,10401,-31904,-27016,-25447,-9230,10584,3611,15637,11861,1909,-5441,1645,27146,17512
83,0,20486,-17586,-26087,1030,-25937,3954,-19663,17396,25248,31023,10401,-31904,-27016,-25447,-9230,10584,3611,15637,11861,1909,-5441,1645,27146,17512
84,0,19698,24730,-14737,-4953,-4040,6962,816,-5036,14029,-7849,18559,-3350,13236,16686,26721,14503,24621,25793,18032,-2023,-16734,9218,-16458,-534
85,0,19698,24730,-14737,-4953,-4040,6962,816,-5036,14029,-7849,18559,-3350,13236,16686,26721,14503,24621,25793,18032,-2023,-16734,9218,-16458,-534
86,0,19698,24730,-14737,-4953,-4040,6962,816,-5036,14029,-7849,18559,-3350,13236,16686,26721,14503,24621,25793,18032,-2023,-16734,9218,-16458,-534
87,0,21074,16526,-2051,25846,16179,-27814,6974,1665,-12886,-2038,-5574,9520,25648,635,-11760,-29606,3701,15224,3372,26842,11493,-21477,22826,-18761
88,0,21074,16526,-2051,25846,16179,-27814,6974,1665,-12886,-2038,-5574,9520,25648,635,-11760,-29606,3701,15224,3372,26842,11493,-21477,22826,-18761
89,0,21074,16526,-2051,25846,16179,-27814,6974,1665,-12886,-2038,-5574,9520,25648,635,-11760,-29606,3701,15224,3372,26842,11493,-21477,22826,-18761
90,0,-23562,14559,11732,5216,3669,9159,-28977,27277,8673,-16576,30649,1413,15987,11879,-27123,-27752,-8062,24223,2778,-9862,15925,370,-933,21964
91,0,-23562,14559,11732,5216,3669,9159,-28977,27277,8673,-16576,30649,1413,15987,11879,-27123,-27752,-8062,24223,2778,-9862,15925,370,-933,21964
92,0,-23562,14559,11732,5216,3669,9159,-28977,27277,8673,-16576,30649,1413,15987,11879,-27123,-27752,-8062,24223,2778,-9862,15925,370,-933,21964
