context,out_tile,k,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15
0,0,0,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657
0,0,1,4131,-11025,-8307,-11087,7354,-24314,-22505,18194,11631,30375,3984,22154,26164,22894,-21086,-14118
0,0,2,24317,-24036,23408,24694,-25884,-26481,-14775,-4881,29127,27776,14291,25205,-320,30717,-12719,-16003
0,0,3,-5725,-15078,8142,5171,-21789,-11081,13723,7284,-18583,10024,824,12571,-585,-28188,443,4529
0,0,4,25952,13644,-12010,-24331,19952,12162,6713,14737,-27492,-15588,-14570,27423,-15107,-20240,-13041,-17209
0,0,5,23705,28567,27692,-23489,-14589,-27947,-9317,31430,-29763,31934,13738,-32288,31553,-8934,-29614,-27458
0,0,6,3494,-27796,-4796,-30251,-23018,20206,15289,-30635,-5168,-9657,-5551,-26961,-21922,-827,-22596,24979
0,0,7,-25183,21829,-14853,-6671,10748,-5418,22179,-25780,-18560,9911,-21407,-1955,26715,19781,28735,-31135
0,0,8,-23685,-9890,-15594,2058,5086,9346,-25964,-16060,30198,5264,-28138,20980,-27459,-31393,-21901,-27973
0,0,9,26473,317,15165,-12135,-13806,-19630,-2693,-25544,919,-10967,-2047,-1203,-9909,11762,4289,29558
0,0,10,-23059,21717,-11831,24081,-3231,12929,17810,13477,-8567,11859,-13732,-26132,-1715,24664,-17376,17512
0,0,11,20000,3686,16610,-25835,20880,-4419,-3446,-26586,15667,-19776,-1754,7393,32515,-26230,27146,-534
0,0,12,18332,19219,2067,-2194,25706,11529,-17020,10153,-8062,9878,-31305,-29356,-2677,1645,-16458,-18761
0,0,13,-28870,1884,-7229,30644,-13094,22944,27430,3851,-3858,25044,20661,-5949,-5441,9218,22826,21964
0,0,14,-31271,19987,-21484,-13844,-27643,30537,-25337,30300,10790,23743,-1434,1909,-16734,-21477,-933,-2061
0,0,15,-12579,-29614,22873,-1430,10213,4913,-24384,-1392,9518,26360,11861,-2023,11493,370,-22049,29062
0,0,16,26480,-31206,-27789,31101,23273,-32734,11107,20231,5346,15637,18032,26842,15925,31210,-26595,11293
0,0,17,-22848,-1736,31541,-25843,17792,-28700,28243,5414,3611,25793,3372,-9862,-18142,-12371,-24880,25928
0,0,18,18325,19755,-17687,-3123,-15660,21668,-31551,10584,24621,15224,2778,26537,-16297,-23099,-25652,9318
0,0,19,-3918,20287,12289,1750,25501,17072,-9230,14503,3701,24223,-18015,25270,22873,25785,5510,30963
0,0,20,-16190,-14857,-11050,-29012,-3881,-25447,26721,-29606,-8062,32073,-2457,191,28634,-16061,-28466,24606
0,0,21,-26688,-4674,16378,-9368,-27016,16686,-11760,-27752,-399,-7918,-30580,-30699,-17700,12555,32382,-18108
0,0,22,-16610,10265,14864,-31904,13236,635,-27123,-4035,29547,-9639,-24395,8448,-19200,29685,16203,-17033
0,0,23,30899,-29297,10401,-3350,25648,11879,23900,-20923,28239,-5500,-16118,-5793,25747,-29015,-18989,6302
0,0,24,-3954,31023,18559,9520,15987,12663,2177,-26326,-4381,10394,17064,20014,-31868,18755,27043,13178
0,0,25,25248,-7849,-5574,1413,25900,-3860,-18023,-8644,1963,2932,8126,-10516,-2543,5900,-10829,-14033
0,0,26,14029,-2038,30649,28062,20979,-1048,7339,-13355,21634,-7485,8509,-5632,-1194,24367,-2736,-19762
0,0,27,-12886,-16576,-27462,-12864,-3031,7393,-15151,-11630,-13539,23719,10048,-32001,19487,9495,-13630,24082
0,0,28,8673,-18964,7,12360,27400,-26275,8095,22804,-10538,-13683,21140,8652,-1687,14429,-24873,-31497
0,0,29,23142,23532,10768,-23856,-12883,11088,27628,23315,21891,5996,19876,15831,9146,23625,19237,15392
0,0,30,-24433,31547,-3937,30983,-26005,-12535,-9147,11647,-263,-1186,18925,-10961,20102,-30599,11165,-14967
0,0,31,12165,-2806,10600,-16820,-28643,-2159,-5063,-789,-23311,1789,-29298,-2217,-21222,9927,-7386,-24227
0,0,32,4518,18305,-19980,-4065,-7191,27190,25041,25843,-20996,13507,-24186,-6349,21260,17854,-4189,15754
0,0,33,28397,-18508,-11878,-3939,2571,-5446,6945,-16475,1703,20287,-21044,-31215,-27563,27027,-7275,30443
0,0,34,17921,18387,-12812,12490,-19256,-6714,13245,-4175,-12215,5579,23500,-31625,-18504,-31443,-2917,30677
0,0,35,9643,25261,1431,-25487,28565,20577,3599,-7737,28138,20684,-12190,27551,-26256,-7187,-26089,-8135
0,0,36,-30134,-15136,7682,-11666,10722,-10731,12358,-31808,-32435,-30479,8154,32164,13071,33,-8945,18595
0,0,37,-4843,-24565,6186,-17448,3140,-27199,11193,-16870,14304,-23081,11944,-12557,-18244,-32311,21166,25543
0,0,38,-12215,-11952,254,-28629,20669,-23887,22445,15126,9634,-32288,26025,1026,-22137,20792,25983,4160
0,0,39,-7613,22972,7303,28168,32643,4669,1032,-19198,25589,18207,-24524,18737,-27396,-17032,-21351,-30359
0,0,40,1514,24832,19273,-21300,3728,-18308,-9385,1381,-16800,-21537,-30217,-3144,-15299,9059,28878,32756
0,0,41,15391,-3911,2763,-21400,29694,-28354,23562,1931,-20690,-6816,4655,-3792,-5741,900,1624,27645
0,0,42,19526,27041,4020,18808,-32688,-1338,22316,17224,-8246,8667,5503,-21542,-7092,17116,14957,25388
0,0,43,22757,-2223,-30955,-6747,25242,8134,-24906,30740,10808,-16542,-13513,-2165,30570,19533,30991,72
0,0,44,14381,17569,32766,15282,2396,25112,-15766,-18274,-10210,8197,-21,5528,22276,14230,7501,32199
0,0,45,16941,-32467,-3458,-18812,10115,-21466,-18196,-9564,-15231,-21452,9096,14469,-11926,7060,16095,20047
0,0,46,32021,31688,-24227,-5640,20756,23169,-9664,10847,20391,17646,17411,-21116,-21228,-31004,-5825,13103
0,0,47,14260,24172,-12149,-2014,-23476,28526,-26110,29885,-7907,-4087,-25252,-5057,5976,-532,19966,31849
0,0,48,-32075,3021,-20840,-31990,5632,-10668,31049,-5755,13192,-12728,-17179,14782,25362,18828,-3034,1467
0,0,49,6241,10301,-30038,-31021,-17403,-32649,27054,18578,-3797,-32552,15573,-30128,24767,-20535,4699,-17338
0,0,50,503,4673,-14298,8963,5984,24567,-27404,-1198,-4020,-12648,-32478,12050,30301,-24192,7100,-8295
0,0,51,-15630,-24633,-562,28091,32648,6275,7473,-3508,-23846,1580,15442,8739,18601,1578,-694,-32277
0,0,52,21487,-9817,-9679,1504,28067,2125,-17475,-18880,2797,-5665,-14132,-8464,6725,5272,26864,12947
0,0,53,25747,-30832,17602,-7320,-447,3764,4754,-12585,-15262,-18518,8649,14015,21762,-14828,28370,17576
0,0,54,-30192,4650,-5884,27740,-4218,17768,1003,-1109,-4408,8842,18721,24221,-8162,-24186,19036,-15540
0,0,55,-29961,24403,-2175,-24879,17018,-28598,27042,-1552,-1741,-31386,-22935,5263,-31076,28048,15570,19290
0,0,56,27961,-19495,-9534,27054,-8657,-26049,11858,14234,9202,-20994,-23851,-30976,-28550,-8798,-14951,30818
0,0,57,-2283,12783,16080,-8584,-19293,28031,-30456,-7313,27001,-18946,26038,27702,27358,-21568,-9943,-8667
0,0,58,-30591,-11555,13563,1205,10294,-12143,23093,-20957,-18904,15321,-28450,-12193,29465,-21731,-6099,-21634
0,0,59,21674,32488,-3531,6345,14799,-29386,-29994,31285,-18728,2007,-5466,3303,-59,-2434,-15356,23816
0,0,60,1377,29415,4760,-14944,3513,30116,25648,7756,18432,-229,24060,-20630,-31109,-24315,28442,29004
0,0,61,-18590,23625,-27233,-9046,4523,-31721,-2429,2547,-20282,4543,12178,-14976,17135,-21335,-9568,11321
0,0,62,17684,22099,2570,-9836,28760,22801,-12012,13877,22485,7848,32619,26908,-15423,-23890,-20206,-12887
0,0,63,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657,-16657
