write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
0,0,0,0,-23754,86130,54511,-41718,-177076,66594,193463,-12921,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754,-23754
2,0,8,1,-11382,22763,13164,33117,1571,115782,-25200,62203,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382,-11382
4,0,16,2,-18042,-74630,57128,-69742,3414,50073,1968,-19026,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042,-18042
6,0,24,3,72906,-84165,-106328,-26800,72625,66055,-34009,-31149,72906,72906,72906,72906,72906,72906,72906,72906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906,72906
8,0,32,4,-64307,-16616,-35621,-66361,17871,-122473,-76247,-23921,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307,-64307
10,0,40,5,30276,-100945,-55644,-36064,-4653,-18191,10368,-36225,30276,30276,30276,30276,30276,30276,30276,30276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276,30276
12,0,48,6,140376,-178981,11993,-11144,93155,-72332,67060,-67540,140376,140376,140376,140376,140376,140376,140376,140376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376,140376
14,0,56,7,-16989,65015,45357,-31298,-23783,-33553,32358,-41915,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989,-16989
16,0,64,8,15178,-8809,37870,-83916,27304,-21159,2898,-81292,15178,15178,15178,15178,15178,15178,15178,15178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178,15178
18,0,72,9,24210,-92375,-39365,6565,-18268,5569,73378,48650,24210,24210,24210,24210,24210,24210,24210,24210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210,24210
20,0,80,10,-2576,50359,-4849,73757,-6789,65566,3219,58084,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576,-2576
22,0,88,11,-9501,18418,-36494,38334,37239,-97563,-84980,-37806,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,88,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501,-9501
24,0,96,12,-77734,-74765,-20656,38793,-73288,-65259,-53644,-28549,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,96,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734,-77734
26,0,104,13,38436,17440,-12303,-60055,148625,117725,-39728,66044,38436,38436,38436,38436,38436,38436,38436,38436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,104,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436,38436
28,0,112,14,111433,6732,-113017,48350,-1755,-13808,44002,11297,111433,111433,111433,111433,111433,111433,111433,111433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,112,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433,111433
30,0,120,15,52841,-173,55300,89965,59309,-83856,-6371,-60265,52841,52841,52841,52841,52841,52841,52841,52841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,120,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841,52841
32,0,128,16,-12765,70482,87072,-30016,249,7861,-43253,-92723,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,128,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765,-12765
34,0,136,17,20626,-161783,63429,-35988,-35098,-57126,-33953,-41028,20626,20626,20626,20626,20626,20626,20626,20626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,136,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626,20626
36,0,144,18,73212,-44987,-4611,-5265,66217,-19675,-64427,1021,73212,73212,73212,73212,73212,73212,73212,73212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,144,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212,73212
38,0,152,19,48447,-53415,-85184,-126166,112310,28125,-156714,27222,48447,48447,48447,48447,48447,48447,48447,48447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,152,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447
40,0,160,20,-127444,-68963,20249,-127634,-95946,-15714,87728,-52221,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444,-127444
42,0,168,21,49094,-112427,-62187,36525,36739,-8554,64189,29708,49094,49094,49094,49094,49094,49094,49094,49094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,168,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094,49094
44,0,176,22,44921,101101,74959,13833,85284,-3092,141545,34310,44921,44921,44921,44921,44921,44921,44921,44921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,176,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921,44921
46,0,184,23,143348,49175,73772,-11177,2721,-10161,-27277,-10043,143348,143348,143348,143348,143348,143348,143348,143348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,184,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348,143348
48,0,192,24,-82636,19726,-32418,73746,-105129,-48113,78339,37040,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,192,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636,-82636
50,0,200,25,41653,47202,-9054,24053,56208,-45149,-3848,-12482,41653,41653,41653,41653,41653,41653,41653,41653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,200,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653,41653
