tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,-23754,0
before_raw_cswitch_A,0,0,1,-11382,0
before_raw_cswitch_A,0,0,2,-18042,0
before_raw_cswitch_A,0,0,3,72906,0
before_raw_cswitch_A,0,0,4,-64307,0
before_raw_cswitch_A,0,0,5,30276,0
before_raw_cswitch_A,0,0,6,140376,0
before_raw_cswitch_A,0,0,7,-16989,0
before_raw_cswitch_A,0,0,8,15178,0
before_raw_cswitch_A,0,0,9,24210,0
before_raw_cswitch_A,0,0,10,-2576,0
before_raw_cswitch_A,0,0,11,-9501,0
before_raw_cswitch_A,0,0,12,-77734,0
before_raw_cswitch_A,0,0,13,38436,0
before_raw_cswitch_A,0,0,14,111433,0
before_raw_cswitch_A,0,0,15,52841,0
before_raw_cswitch_A,0,0,16,-12765,0
before_raw_cswitch_A,0,0,17,20626,0
before_raw_cswitch_A,0,0,18,73212,0
before_raw_cswitch_A,0,0,19,48447,0
before_raw_cswitch_A,0,0,20,-127444,0
before_raw_cswitch_A,0,0,21,49094,0
before_raw_cswitch_A,0,0,22,44921,0
before_raw_cswitch_A,0,0,23,143348,0
before_raw_cswitch_A,0,0,24,-82636,0
before_raw_cswitch_A,0,0,25,41653,0
before_raw_cswitch_A,0,0,26,-52394,0
before_raw_cswitch_A,0,0,27,-62514,0
before_raw_cswitch_A,0,0,28,37175,0
before_raw_cswitch_A,0,0,29,54740,0
before_raw_cswitch_A,0,0,30,35985,0
before_raw_cswitch_A,0,0,31,-13318,0
before_raw_cswitch_A,0,1,0,86130,0
before_raw_cswitch_A,0,1,1,22763,0
before_raw_cswitch_A,0,1,2,-74630,0
before_raw_cswitch_A,0,1,3,-84165,0
before_raw_cswitch_A,0,1,4,-16616,0
before_raw_cswitch_A,0,1,5,-100945,0
before_raw_cswitch_A,0,1,6,-178981,0
before_raw_cswitch_A,0,1,7,65015,0
before_raw_cswitch_A,0,1,8,-8809,0
before_raw_cswitch_A,0,1,9,-92375,0
before_raw_cswitch_A,0,1,10,50359,0
before_raw_cswitch_A,0,1,11,18418,0
before_raw_cswitch_A,0,1,12,-74765,0
before_raw_cswitch_A,0,1,13,17440,0
before_raw_cswitch_A,0,1,14,6732,0
before_raw_cswitch_A,0,1,15,-173,0
before_raw_cswitch_A,0,1,16,70482,0
before_raw_cswitch_A,0,1,17,-161783,0
before_raw_cswitch_A,0,1,18,-44987,0
before_raw_cswitch_A,0,1,19,-53415,0
before_raw_cswitch_A,0,1,20,-68963,0
before_raw_cswitch_A,0,1,21,-112427,0
before_raw_cswitch_A,0,1,22,101101,0
before_raw_cswitch_A,0,1,23,49175,0
before_raw_cswitch_A,0,1,24,19726,0
before_raw_cswitch_A,0,1,25,47202,0
before_raw_cswitch_A,0,1,26,-58911,0
before_raw_cswitch_A,0,1,27,-177990,0
before_raw_cswitch_A,0,1,28,49438,0
before_raw_cswitch_A,0,1,29,-61284,0
before_raw_cswitch_A,0,1,30,-32988,0
before_raw_cswitch_A,0,1,31,2735,0
before_raw_cswitch_A,0,2,0,54511,0
before_raw_cswitch_A,0,2,1,13164,0
before_raw_cswitch_A,0,2,2,57128,0
before_raw_cswitch_A,0,2,3,-106328,0
before_raw_cswitch_A,0,2,4,-35621,0
before_raw_cswitch_A,0,2,5,-55644,0
before_raw_cswitch_A,0,2,6,11993,0
before_raw_cswitch_A,0,2,7,45357,0
before_raw_cswitch_A,0,2,8,37870,0
before_raw_cswitch_A,0,2,9,-39365,0
before_raw_cswitch_A,0,2,10,-4849,0
before_raw_cswitch_A,0,2,11,-36494,0
before_raw_cswitch_A,0,2,12,-20656,0
before_raw_cswitch_A,0,2,13,-12303,0
before_raw_cswitch_A,0,2,14,-113017,0
before_raw_cswitch_A,0,2,15,55300,0
before_raw_cswitch_A,0,2,16,87072,0
before_raw_cswitch_A,0,2,17,63429,0
before_raw_cswitch_A,0,2,18,-4611,0
before_raw_cswitch_A,0,2,19,-85184,0
before_raw_cswitch_A,0,2,20,20249,0
before_raw_cswitch_A,0,2,21,-62187,0
before_raw_cswitch_A,0,2,22,74959,0
before_raw_cswitch_A,0,2,23,73772,0
before_raw_cswitch_A,0,2,24,-32418,0
before_raw_cswitch_A,0,2,25,-9054,0
before_raw_cswitch_A,0,2,26,-25861,0
before_raw_cswitch_A,0,2,27,-97520,0
before_raw_cswitch_A,0,2,28,-19472,0
before_raw_cswitch_A,0,2,29,-20433,0
before_raw_cswitch_A,0,2,30,-63505,0
before_raw_cswitch_A,0,2,31,-48276,0
before_raw_cswitch_A,0,3,0,-41718,0
before_raw_cswitch_A,0,3,1,33117,0
before_raw_cswitch_A,0,3,2,-69742,0
before_raw_cswitch_A,0,3,3,-26800,0
before_raw_cswitch_A,0,3,4,-66361,0
before_raw_cswitch_A,0,3,5,-36064,0
before_raw_cswitch_A,0,3,6,-11144,0
before_raw_cswitch_A,0,3,7,-31298,0
before_raw_cswitch_A,0,3,8,-83916,0
before_raw_cswitch_A,0,3,9,6565,0
before_raw_cswitch_A,0,3,10,73757,0
before_raw_cswitch_A,0,3,11,38334,0
before_raw_cswitch_A,0,3,12,38793,0
before_raw_cswitch_A,0,3,13,-60055,0
before_raw_cswitch_A,0,3,14,48350,0
before_raw_cswitch_A,0,3,15,89965,0
before_raw_cswitch_A,0,3,16,-30016,0
before_raw_cswitch_A,0,3,17,-35988,0
before_raw_cswitch_A,0,3,18,-5265,0
before_raw_cswitch_A,0,3,19,-126166,0
before_raw_cswitch_A,0,3,20,-127634,0
before_raw_cswitch_A,0,3,21,36525,0
before_raw_cswitch_A,0,3,22,13833,0
before_raw_cswitch_A,0,3,23,-11177,0
before_raw_cswitch_A,0,3,24,73746,0
before_raw_cswitch_A,0,3,25,24053,0
before_raw_cswitch_A,0,3,26,-12532,0
before_raw_cswitch_A,0,3,27,-103495,0
before_raw_cswitch_A,0,3,28,-108035,0
before_raw_cswitch_A,0,3,29,-4848,0
before_raw_cswitch_A,0,3,30,92115,0
before_raw_cswitch_A,0,3,31,-34928,0
before_raw_cswitch_A,0,4,0,-177076,0
before_raw_cswitch_A,0,4,1,1571,0
before_raw_cswitch_A,0,4,2,3414,0
before_raw_cswitch_A,0,4,3,72625,0
before_raw_cswitch_A,0,4,4,17871,0
before_raw_cswitch_A,0,4,5,-4653,0
before_raw_cswitch_A,0,4,6,93155,0
before_raw_cswitch_A,0,4,7,-23783,0
before_raw_cswitch_A,0,4,8,27304,0
before_raw_cswitch_A,0,4,9,-18268,0
before_raw_cswitch_A,0,4,10,-6789,0
before_raw_cswitch_A,0,4,11,37239,0
before_raw_cswitch_A,0,4,12,-73288,0
before_raw_cswitch_A,0,4,13,148625,0
before_raw_cswitch_A,0,4,14,-1755,0
before_raw_cswitch_A,0,4,15,59309,0
before_raw_cswitch_A,0,4,16,249,0
before_raw_cswitch_A,0,4,17,-35098,0
before_raw_cswitch_A,0,4,18,66217,0
before_raw_cswitch_A,0,4,19,112310,0
before_raw_cswitch_A,0,4,20,-95946,0
before_raw_cswitch_A,0,4,21,36739,0
before_raw_cswitch_A,0,4,22,85284,0
before_raw_cswitch_A,0,4,23,2721,0
before_raw_cswitch_A,0,4,24,-105129,0
before_raw_cswitch_A,0,4,25,56208,0
before_raw_cswitch_A,0,4,26,80842,0
before_raw_cswitch_A,0,4,27,-47164,0
