idx,word_addr,lane,value
0,0,0,-17
1,0,1,-17
2,0,2,-17
3,0,3,-17
4,0,4,-17
5,0,5,-17
6,0,6,-17
7,0,7,-17
8,0,8,-17
9,0,9,-17
10,0,10,-17
11,0,11,-17
12,0,12,-17
13,0,13,-17
14,0,14,-17
15,0,15,-17
16,0,16,-17
17,0,17,-17
18,0,18,-17
19,0,19,-17
20,0,20,-17
21,0,21,-17
22,0,22,-17
23,0,23,-17
24,0,24,-17
25,0,25,-17
26,0,26,-17
27,0,27,-17
28,0,28,-17
29,0,29,-17
30,0,30,-17
31,0,31,-17
32,2,0,104
33,2,1,-13
34,2,2,-91
35,2,3,-81
36,2,4,15
37,2,5,-28
38,2,6,7
39,2,7,30
40,2,8,82
41,2,9,20
42,2,10,-93
43,2,11,-92
44,2,12,-92
45,2,13,-79
46,2,14,45
47,2,15,-76
48,2,16,-14
49,2,17,-91
50,2,18,-78
51,2,19,125
52,2,20,59
53,2,21,-55
54,2,22,56
55,2,23,-75
56,2,24,103
57,2,25,110
58,2,26,40
59,2,27,48
60,2,28,54
61,2,29,-49
62,2,30,5
63,2,31,-105
64,4,0,10
65,4,1,-91
66,4,2,-56
67,4,3,81
68,4,4,-77
69,4,5,64
70,4,6,108
71,4,7,-92
72,4,8,-118
73,4,9,112
74,4,10,-81
75,4,11,-125
76,4,12,-57
77,4,13,121
78,4,14,111
79,4,15,86
80,4,16,32
81,4,17,-11
82,4,18,-58
83,4,19,-42
84,4,20,71
85,4,21,-13
86,4,22,-69
87,4,23,-36
88,4,24,94
89,4,25,40
90,4,26,-43
91,4,27,-54
92,4,28,121
93,4,29,-67
94,4,30,62
95,4,31,125
96,6,0,-103
97,6,1,106
98,6,2,21
99,6,3,-30
100,6,4,-121
101,6,5,11
102,6,6,-62
103,6,7,-122
104,6,8,22
105,6,9,-122
106,6,10,84
107,6,11,-67
108,6,12,108
109,6,13,-90
110,6,14,-38
111,6,15,-84
112,6,16,64
113,6,17,-93
114,6,18,58
115,6,19,54
116,6,20,-13
117,6,21,-36
118,6,22,81
119,6,23,-58
120,6,24,-88
121,6,25,-20
122,6,26,17
123,6,27,-4
124,6,28,-66
125,6,29,9
126,6,30,-86
127,6,31,116
128,8,0,17
129,8,1,122
130,8,2,-30
131,8,3,53
132,8,4,65
133,8,5,-53
134,8,6,60
135,8,7,56
136,8,8,29
137,8,9,16
138,8,10,-19
139,8,11,108
140,8,12,-78
141,8,13,-124
142,8,14,-95
143,8,15,-52
144,8,16,-59
145,8,17,-86
146,8,18,68
147,8,19,-85
148,8,20,-20
149,8,21,-103
150,8,22,-20
151,8,23,65
152,8,24,-116
153,8,25,-56
154,8,26,110
155,8,27,-57
156,8,28,-98
157,8,29,-111
158,8,30,-34
159,8,31,108
160,10,0,28
161,10,1,-21
162,10,2,-29
163,10,3,56
164,10,4,47
165,10,5,65
166,10,6,-8
167,10,7,-84
168,10,8,-46
169,10,9,-86
170,10,10,24
171,10,11,54
172,10,12,-35
173,10,13,-31
174,10,14,120
175,10,15,-11
176,10,16,94
177,10,17,-102
178,10,18,-54
179,10,19,-122
180,10,20,-80
181,10,21,-11
182,10,22,44
183,10,23,43
184,10,24,122
185,10,25,-125
186,10,26,12
187,10,27,-36
188,10,28,-113
189,10,29,58
190,10,30,-11
191,10,31,113
192,12,0,-118
193,12,1,-100
194,12,2,-116
195,12,3,108
196,12,4,60
197,12,5,-10
198,12,6,84
199,12,7,-91
200,12,8,94
201,12,9,17
202,12,10,-10
203,12,11,65
204,12,12,-3
205,12,13,-57
206,12,14,-72
207,12,15,-39
208,12,16,-126
209,12,17,86
210,12,18,112
211,12,19,57
212,12,20,-64
213,12,21,-89
214,12,22,-58
215,12,23,1
216,12,24,-32
217,12,25,-102
218,12,26,109
219,12,27,-73
220,12,28,-109
221,12,29,-67
222,12,30,-43
223,12,31,-4
224,14,0,109
225,14,1,-9
226,14,2,-25
227,14,3,39
228,14,4,-97
229,14,5,-55
230,14,6,119
231,14,7,-10
232,14,8,-78
233,14,9,18
234,14,10,114
235,14,11,28
236,14,12,101
237,14,13,-11
238,14,14,-69
239,14,15,109
240,14,16,28
241,14,17,-38
242,14,18,70
243,14,19,-125
244,14,20,-63
245,14,21,48
246,14,22,-31
247,14,23,63
248,14,24,-49
249,14,25,109
250,14,26,19
251,14,27,-35
252,14,28,-106
253,14,29,66
254,14,30,8
255,14,31,-49
256,16,0,61
257,16,1,-9
258,16,2,52
259,16,3,-27
260,16,4,-78
261,16,5,-47
262,16,6,-17
263,16,7,118
264,16,8,-117
265,16,9,-40
266,16,10,-10
267,16,11,4
268,16,12,-122
269,16,13,-77
270,16,14,-57
271,16,15,87
272,16,16,51
273,16,17,15
274,16,18,-106
275,16,19,-92
276,16,20,-16
277,16,21,-103
278,16,22,4
279,16,23,-125
280,16,24,94
281,16,25,81
282,16,26,17
283,16,27,-25
284,16,28,46
285,16,29,38
286,16,30,-25
287,16,31,46
288,18,0,63
289,18,1,-69
290,18,2,-70
291,18,3,58
292,18,4,34
293,18,5,60
294,18,6,113
295,18,7,34
296,18,8,32
297,18,9,-71
298,18,10,-111
299,18,11,99
300,18,12,67
301,18,13,113
302,18,14,-114
303,18,15,-122
304,18,16,15
305,18,17,-113
306,18,18,30
307,18,19,-103
308,18,20,-5
309,18,21,4
310,18,22,36
311,18,23,-17
312,18,24,-105
313,18,25,-22
314,18,26,-31
315,18,27,109
316,18,28,110
317,18,29,-3
318,18,30,-97
319,18,31,67
320,20,0,-66
321,20,1,124
322,20,2,-44
323,20,3,29
324,20,4,107
325,20,5,110
326,20,6,73
327,20,7,-83
328,20,8,-88
329,20,9,-8
330,20,10,59
331,20,11,14
332,20,12,-105
333,20,13,-66
334,20,14,73
335,20,15,-123
336,20,16,121
337,20,17,122
338,20,18,7
339,20,19,21
340,20,20,88
341,20,21,-67
342,20,22,62
343,20,23,-34
344,20,24,-38
345,20,25,34
