count,context,act0,act1,act2,act3,act4,act5,act6,act7,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-91,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-91,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-91,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-20,45,0,0,0,0,0,0,-63,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-20,45,0,0,0,0,0,0,-63,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,-20,45,0,0,0,0,0,0,-63,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,96,-55,-65,0,0,0,0,0,-29,102,-17,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,96,-55,-65,0,0,0,0,0,-29,102,-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,96,-55,-65,0,0,0,0,0,-29,102,-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,18,-44,-110,106,0,0,0,0,-110,-53,100,-17,0,0,0,0,0,0,0,0,0,0,0,0
16,0,18,-44,-110,106,0,0,0,0,-110,-53,100,-17,0,0,0,0,0,0,0,0,0,0,0,0
17,0,18,-44,-110,106,0,0,0,0,-110,-53,100,-17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,20,-32,-108,-12,-29,0,0,0,121,-38,-9,-24,-17,0,0,0,0,0,0,0,0,0,0,0
19,0,20,-32,-108,-12,-29,0,0,0,121,-38,-9,-24,-17,0,0,0,0,0,0,0,0,0,0,0
20,0,20,-32,-108,-12,-29,0,0,0,121,-38,-9,-24,-17,0,0,0,0,0,0,0,0,0,0,0
21,0,60,-86,113,-115,-12,21,0,0,-20,16,-23,80,-79,-17,0,0,0,0,0,0,0,0,0,0
22,0,60,-86,113,-115,-12,21,0,0,-20,16,-23,80,-79,-17,0,0,0,0,0,0,0,0,0,0
23,0,60,-86,113,-115,-12,21,0,0,-20,16,-23,80,-79,-17,0,0,0,0,0,0,0,0,0,0
24,0,7,105,125,16,32,97,38,0,-88,-110,-48,26,-20,59,-17,0,0,0,0,0,0,0,0,0
25,0,7,105,125,16,32,97,38,0,-88,-110,-48,26,-20,59,-17,0,0,0,0,0,0,0,0,0
26,0,7,105,125,16,32,97,38,0,-88,-110,-48,26,-20,59,-17,0,0,0,0,0,0,0,0,0
27,0,93,73,-74,60,36,-98,-82,-8,-94,69,-9,120,42,-121,-118,-17,0,0,0,0,0,0,0,0
28,0,93,73,-74,60,36,-98,-82,-8,-94,69,-9,120,42,-121,-118,-17,0,0,0,0,0,0,0,0
29,0,93,73,-74,60,36,-98,-82,-8,-94,69,-9,120,42,-121,-118,-17,0,0,0,0,0,0,0,0
30,0,120,-32,-36,114,65,-94,-68,107,26,-66,15,-29,110,43,110,102,-17,0,0,0,0,0,0,0
31,0,120,-32,-36,114,65,-94,-68,107,26,-66,15,-29,110,43,110,102,-17,0,0,0,0,0,0,0
32,0,120,-32,-36,114,65,-94,-68,107,26,-66,15,-29,110,43,110,102,-17,0,0,0,0,0,0,0
33,0,22,120,77,-80,-11,3,51,-110,111,93,119,43,-33,-21,108,14,-91,-17,0,0,0,0,0,0
34,0,22,120,77,-80,-11,3,51,-110,111,93,119,43,-33,-21,108,14,-91,-17,0,0,0,0,0,0
35,0,22,120,77,-80,-11,3,51,-110,111,93,119,43,-33,-21,108,14,-91,-17,0,0,0,0,0,0
36,0,115,-60,-39,1,65,78,88,20,-101,-7,12,118,34,43,-103,124,92,95,-17,0,0,0,0,0
37,0,115,-60,-39,1,65,78,88,20,-101,-7,12,118,34,43,-103,124,92,95,-17,0,0,0,0,0
38,0,115,-60,-39,1,65,78,88,20,-101,-7,12,118,34,43,-103,124,92,95,-17,0,0,0,0,0
39,0,-119,123,56,10,76,3,121,85,125,57,-88,13,-39,-25,-76,123,-107,116,61,-17,0,0,0,0
40,0,-119,123,56,10,76,3,121,85,125,57,-88,13,-39,-25,-76,123,-107,116,61,-17,0,0,0,0
41,0,-119,123,56,10,76,3,121,85,125,57,-88,13,-39,-25,-76,123,-107,116,61,-17,0,0,0,0
42,0,77,-27,-5,127,123,43,-119,-63,-79,67,91,-66,-11,109,-28,-63,23,-104,42,122,-17,0,0,0
43,0,77,-27,-5,127,123,43,-119,-63,-79,67,91,-66,-11,109,-28,-63,23,-104,42,122,-17,0,0,0
44,0,77,-27,-5,127,123,43,-119,-63,-79,67,91,-66,-11,109,-28,-63,23,-104,42,122,-17,0,0,0
45,0,-99,-51,23,-46,-110,-101,-96,-123,-6,59,-117,-18,60,115,24,83,24,-122,-107,0,-59,-17,0,0
46,0,-99,-51,23,-46,-110,-101,-96,-123,-6,59,-117,-18,60,115,24,83,24,-122,-107,0,-59,-17,0,0
47,0,-99,-51,23,-46,-110,-101,-96,-123,-6,59,-117,-18,60,115,24,83,24,-122,-107,0,-59,-17,0,0
48,0,-21,96,-104,9,-61,-47,17,13,86,89,-29,102,-3,41,8,-80,61,33,26,-34,63,-66,-17,0
49,0,-21,96,-104,9,-61,-47,17,13,86,89,-29,102,-3,41,8,-80,61,33,26,-34,63,-66,-17,0
50,0,-21,96,-104,9,-61,-47,17,13,86,89,-29,102,-3,41,8,-80,61,33,26,-34,63,-66,-17,0
51,0,97,-9,80,50,-46,33,24,-87,101,52,-73,79,-29,-46,-107,70,-124,58,80,48,-126,-106,-97,-17
52,0,97,-9,80,50,-46,33,24,-87,101,52,-73,79,-29,-46,-107,70,-124,58,80,48,-126,-106,-97,-17
53,0,97,-9,80,50,-46,33,24,-87,101,52,-73,79,-29,-46,-107,70,-124,58,80,48,-126,-106,-97,-17
54,0,115,-103,-8,16,102,84,-93,66,-39,-10,81,94,73,48,-94,-14,32,115,-102,-8,53,-95,69,-15
55,0,115,-103,-8,16,102,84,-93,66,-39,-10,81,94,73,48,-94,-14,32,115,-102,-8,53,-95,69,-15
56,0,115,-103,-8,16,102,84,-93,66,-39,-10,81,94,73,48,-94,-14,32,115,-102,-8,53,-95,69,-15
57,0,41,-61,7,-103,-41,95,-70,84,89,-23,41,-19,91,-118,57,31,22,-81,-20,19,62,104,-91,-36
58,0,41,-61,7,-103,-41,95,-70,84,89,-23,41,-19,91,-118,57,31,22,-81,-20,19,62,104,-91,-36
59,0,41,-61,7,-103,-41,95,-70,84,89,-23,41,-19,91,-118,57,31,22,-81,-20,19,62,104,-91,-36
60,0,127,111,81,-103,-61,103,-68,6,20,16,-2,-36,-127,-29,29,8,-126,62,78,97,-100,-34,75,-120
61,0,127,111,81,-103,-61,103,-68,6,20,16,-2,-36,-127,-29,29,8,-126,62,78,97,-100,-34,75,-120
62,0,127,111,81,-103,-61,103,-68,6,20,16,-2,-36,-127,-29,29,8,-126,62,78,97,-100,-34,75,-120
63,0,114,98,-80,-2,28,-106,-64,-48,-22,69,97,-50,119,6,-8,-68,-97,-51,-51,72,-11,85,-126,73
64,0,114,98,-80,-2,28,-106,-64,-48,-22,69,97,-50,119,6,-8,-68,-97,-51,-51,72,-11,85,-126,73
65,0,114,98,-80,-2,28,-106,-64,-48,-22,69,97,-50,119,6,-8,-68,-97,-51,-51,72,-11,85,-126,73
66,0,34,96,51,89,98,62,35,-52,119,-21,-3,88,-93,-81,-22,-95,75,16,104,-117,-68,-114,-64,46
67,0,34,96,51,89,98,62,35,-52,119,-21,-3,88,-93,-81,-22,-95,75,16,104,-117,-68,-114,-64,46
68,0,34,96,51,89,98,62,35,-52,119,-21,-3,88,-93,-81,-22,-95,75,16,104,-117,-68,-114,-64,46
69,0,-22,60,64,31,41,-74,79,62,87,79,-24,14,73,96,43,-100,-22,-45,-114,103,-42,-25,-86,41
70,0,-22,60,64,31,41,-74,79,62,87,79,-24,14,73,96,43,-100,-22,-45,-114,103,-42,-25,-86,41
71,0,-22,60,64,31,41,-74,79,62,87,79,-24,14,73,96,43,-100,-22,-45,-114,103,-42,-25,-86,41
72,0,42,-26,-127,-84,-11,-41,17,-37,-79,-63,86,-55,53,-100,-58,-52,-92,-122,93,85,59,-8,71,-88
73,0,42,-26,-127,-84,-11,-41,17,-37,-79,-63,86,-55,53,-100,-58,-52,-92,-122,93,85,59,-8,71,-88
74,0,42,-26,-127,-84,-11,-41,17,-37,-79,-63,86,-55,53,-100,-58,-52,-92,-122,93,85,59,-8,71,-88
75,0,108,1,-24,-101,105,-122,-114,-53,121,-23,-81,61,13,62,-22,-33,112,32,122,87,36,55,85,2
76,0,108,1,-24,-101,105,-122,-114,-53,121,-23,-81,61,13,62,-22,-33,112,32,122,87,36,55,85,2
77,0,108,1,-24,-101,105,-122,-114,-53,121,-23,-81,61,13,62,-22,-33,112,32,122,87,36,55,85,2
78,0,-13,43,121,45,-46,-15,51,86,93,-19,-32,-72,97,35,56,-63,45,55,56,41,-91,-26,104,-47
79,0,-13,43,121,45,-46,-15,51,86,93,-19,-32,-72,97,35,56,-63,45,55,56,41,-91,-26,104,-47
80,0,-13,43,121,45,-46,-15,51,86,93,-19,-32,-72,97,35,56,-63,45,55,56,41,-91,-26,104,-47
81,0,33,-13,39,-51,126,18,51,14,-2,41,74,-52,112,91,91,-61,18,-96,-35,-7,49,25,-44,75
82,0,33,-13,39,-51,126,18,51,14,-2,41,74,-52,112,91,91,-61,18,-96,-35,-7,49,25,-44,75
83,0,33,-13,39,-51,126,18,51,14,-2,41,74,-52,112,91,91,-61,18,-96,-35,-7,49,25,-44,75
84,0,7,13,-117,31,70,-2,-94,88,-29,-94,-105,82,34,127,-91,-21,74,-123,113,-43,50,-118,-61,-24
85,0,7,13,-117,31,70,-2,-94,88,-29,-94,-105,82,34,127,-91,-21,74,-123,113,-43,50,-118,-61,-24
86,0,7,13,-117,31,70,-2,-94,88,-29,-94,-105,82,34,127,-91,-21,74,-123,113,-43,50,-118,-61,-24
87,0,36,106,109,-31,80,123,-89,-93,19,-63,-38,64,112,8,-71,50,-71,-74,-9,-79,-17,105,55,-53
88,0,36,106,109,-31,80,123,-89,-93,19,-63,-38,64,112,8,-71,50,-71,-74,-9,-79,-17,105,55,-53
89,0,36,106,109,-31,80,123,-89,-93,19,-63,-38,64,112,8,-71,50,-71,-74,-9,-79,-17,105,55,-53
90,0,93,-77,-37,47,-110,80,98,-47,111,-112,-122,29,-24,99,72,-57,116,124,-44,-124,-2,47,-94,-6
91,0,93,-77,-37,47,-110,80,98,-47,111,-112,-122,29,-24,99,72,-57,116,124,-44,-124,-2,47,-94,-6
92,0,93,-77,-37,47,-110,80,98,-47,111,-112,-122,29,-24,99,72,-57,116,124,-44,-124,-2,47,-94,-6
93,0,107,-14,-99,39,49,20,18,-76,-72,86,-33,44,-70,-52,-62,73,-90,-70,4,28,-59,90,-41,-46
94,0,107,-14,-99,39,49,20,18,-76,-72,86,-33,44,-70,-52,-62,73,-90,-70,4,28,-59,90,-41,-46
95,0,107,-14,-99,39,49,20,18,-76,-72,86,-33,44,-70,-52,-62,73,-90,-70,4,28,-59,90,-41,-46
96,0,-38,52,73,-120,81,127,-71,18,-33,-23,33,-67,48,-40,-29,84,-114,49,-109,-45,-14,-31,-102,8
97,0,-38,52,73,-120,81,127,-71,18,-33,-23,33,-67,48,-40,-29,84,-114,49,-109,-45,-14,-31,-102,8
98,0,-38,52,73,-120,81,127,-71,18,-33,-23,33,-67,48,-40,-29,84,-114,49,-109,-45,-14,-31,-102,8
99,0,-105,-111,-13,114,27,116,48,41,-44,-13,54,-8,96,79,65,123,-82,-96,-17,-21,-23,76,110,-21
100,0,-105,-111,-13,114,27,116,48,41,-44,-13,54,-8,96,79,65,123,-82,-96,-17,-21,-23,76,110,-21
101,0,-105,-111,-13,114,27,116,48,41,-44,-13,54,-8,96,79,65,123,-82,-96,-17,-21,-23,76,110,-21
102,0,-89,107,117,-105,-44,-96,61,-60,24,-99,1,-4,112,38,-52,-60,-13,-14,-58,3,-2,71,25,3
103,0,-89,107,117,-105,-44,-96,61,-60,24,-99,1,-4,112,38,-52,-60,-13,-14,-58,3,-2,71,25,3
104,0,-89,107,117,-105,-44,-96,61,-60,24,-99,1,-4,112,38,-52,-60,-13,-14,-58,3,-2,71,25,3
105,0,-114,-112,-38,34,100,-87,58,108,-36,89,-94,-92,-73,23,97,-103,-106,92,-72,-73,-78,98,-5,-29
106,0,-114,-112,-38,34,100,-87,58,108,-36,89,-94,-92,-73,23,97,-103,-106,92,-72,-73,-78,98,-5,-29
107,0,-114,-112,-38,34,100,-87,58,108,-36,89,-94,-92,-73,23,97,-103,-106,92,-72,-73,-78,98,-5,-29
108,0,115,-61,53,76,-64,-107,-119,120,-89,-57,75,-55,-9,-19,-23,117,93,117,74,15,34,-97,38,-34
109,0,115,-61,53,76,-64,-107,-119,120,-89,-57,75,-55,-9,-19,-23,117,93,117,74,15,34,-97,38,-34
110,0,115,-61,53,76,-64,-107,-119,120,-89,-57,75,-55,-9,-19,-23,117,93,117,74,15,34,-97,38,-34
111,0,58,72,65,97,120,-56,18,-73,-112,66,-103,-87,-92,-28,-96,-63,-112,107,-3,103,-35,-47,-26,0
112,0,58,72,65,97,120,-56,18,-73,-112,66,-103,-87,-92,-28,-96,-63,-112,107,-3,103,-35,-47,-26,0
113,0,58,72,65,97,120,-56,18,-73,-112,66,-103,-87,-92,-28,-96,-63,-112,107,-3,103,-35,-47,-26,0
114,0,-21,57,-73,29,12,-116,-34,-111,-48,16,81,57,68,56,-42,-42,46,8,60,42,-99,-109,-71,-92
115,0,-21,57,-73,29,12,-116,-34,-111,-48,16,81,57,68,56,-42,-42,46,8,60,42,-99,-109,-71,-92
116,0,-21,57,-73,29,12,-116,-34,-111,-48,16,81,57,68,56,-42,-42,46,8,60,42,-99,-109,-71,-92
