tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,-39410,1195580 ns
after_local_cswitch,0,4,0,0,-21654,1195580 ns
after_local_cswitch,0,0,0,0,-39410,1195580 ns
after_local_cswitch,0,4,0,0,-21654,1195580 ns
after_local_cswitch,0,0,0,0,-39410,1195580 ns
after_local_cswitch,0,4,0,0,-21654,1195580 ns
after_local_cswitch,0,0,1,0,-9584,1195590 ns
after_local_cswitch,0,1,0,0,-43236,1195590 ns
after_local_cswitch,0,4,1,0,-30852,1195590 ns
after_local_cswitch,0,5,0,0,74045,1195590 ns
after_local_cswitch,0,0,1,0,-9584,1195590 ns
after_local_cswitch,0,1,0,0,-43236,1195590 ns
after_local_cswitch,0,4,1,0,-30852,1195590 ns
after_local_cswitch,0,5,0,0,74045,1195590 ns
after_local_cswitch,0,0,1,0,-9584,1195590 ns
after_local_cswitch,0,1,0,0,-43236,1195590 ns
after_local_cswitch,0,4,1,0,-30852,1195590 ns
after_local_cswitch,0,5,0,0,74045,1195590 ns
after_local_cswitch,0,0,2,0,50705,1195600 ns
after_local_cswitch,0,1,1,0,23528,1195600 ns
after_local_cswitch,0,2,0,0,14802,1195600 ns
after_local_cswitch,0,4,2,0,-41056,1195600 ns
after_local_cswitch,0,5,1,0,12935,1195600 ns
after_local_cswitch,0,6,0,0,-24174,1195600 ns
after_local_cswitch,0,0,2,0,50705,1195600 ns
after_local_cswitch,0,1,1,0,23528,1195600 ns
after_local_cswitch,0,2,0,0,14802,1195600 ns
after_local_cswitch,0,4,2,0,-41056,1195600 ns
after_local_cswitch,0,5,1,0,12935,1195600 ns
after_local_cswitch,0,6,0,0,-24174,1195600 ns
after_local_cswitch,0,0,2,0,50705,1195600 ns
after_local_cswitch,0,1,1,0,23528,1195600 ns
after_local_cswitch,0,2,0,0,14802,1195600 ns
after_local_cswitch,0,4,2,0,-41056,1195600 ns
after_local_cswitch,0,5,1,0,12935,1195600 ns
after_local_cswitch,0,6,0,0,-24174,1195600 ns
after_local_cswitch,0,0,3,0,34747,1195610 ns
after_local_cswitch,0,1,2,0,33286,1195610 ns
after_local_cswitch,0,2,1,0,-800,1195610 ns
after_local_cswitch,0,3,0,0,-5243,1195610 ns
after_local_cswitch,0,4,3,0,36484,1195610 ns
after_local_cswitch,0,5,2,0,-28446,1195610 ns
after_local_cswitch,0,6,1,0,-103464,1195610 ns
after_local_cswitch,0,7,0,0,26835,1195610 ns
after_local_cswitch,0,0,3,0,34747,1195610 ns
after_local_cswitch,0,1,2,0,33286,1195610 ns
after_local_cswitch,0,2,1,0,-800,1195610 ns
after_local_cswitch,0,3,0,0,-5243,1195610 ns
after_local_cswitch,0,4,3,0,36484,1195610 ns
after_local_cswitch,0,5,2,0,-28446,1195610 ns
after_local_cswitch,0,6,1,0,-103464,1195610 ns
after_local_cswitch,0,7,0,0,26835,1195610 ns
after_local_cswitch,0,0,3,0,34747,1195610 ns
after_local_cswitch,0,1,2,0,33286,1195610 ns
after_local_cswitch,0,2,1,0,-800,1195610 ns
after_local_cswitch,0,3,0,0,-5243,1195610 ns
after_local_cswitch,0,4,3,0,36484,1195610 ns
after_local_cswitch,0,5,2,0,-28446,1195610 ns
after_local_cswitch,0,6,1,0,-103464,1195610 ns
after_local_cswitch,0,7,0,0,26835,1195610 ns
after_local_cswitch,0,0,4,0,43987,1195620 ns
after_local_cswitch,0,1,3,0,33890,1195620 ns
after_local_cswitch,0,2,2,0,-19361,1195620 ns
after_local_cswitch,0,3,1,0,10557,1195620 ns
after_local_cswitch,0,4,4,0,11239,1195620 ns
after_local_cswitch,0,5,3,0,68364,1195620 ns
after_local_cswitch,0,6,2,0,-64680,1195620 ns
after_local_cswitch,0,7,1,0,-59294,1195620 ns
after_local_cswitch,0,0,4,0,43987,1195620 ns
after_local_cswitch,0,1,3,0,33890,1195620 ns
after_local_cswitch,0,2,2,0,-19361,1195620 ns
after_local_cswitch,0,3,1,0,10557,1195620 ns
after_local_cswitch,0,4,4,0,11239,1195620 ns
after_local_cswitch,0,5,3,0,68364,1195620 ns
after_local_cswitch,0,6,2,0,-64680,1195620 ns
after_local_cswitch,0,7,1,0,-59294,1195620 ns
after_local_cswitch,0,0,4,0,43987,1195620 ns
after_local_cswitch,0,1,3,0,33890,1195620 ns
after_local_cswitch,0,2,2,0,-19361,1195620 ns
after_local_cswitch,0,3,1,0,10557,1195620 ns
after_local_cswitch,0,4,4,0,11239,1195620 ns
after_local_cswitch,0,5,3,0,68364,1195620 ns
after_local_cswitch,0,6,2,0,-64680,1195620 ns
after_local_cswitch,0,7,1,0,-59294,1195620 ns
after_local_cswitch,0,0,5,0,29987,1195630 ns
after_local_cswitch,0,1,4,0,27933,1195630 ns
after_local_cswitch,0,2,3,0,38095,1195630 ns
after_local_cswitch,0,3,2,0,-40031,1195630 ns
after_local_cswitch,0,4,5,0,41411,1195630 ns
after_local_cswitch,0,5,4,0,45816,1195630 ns
after_local_cswitch,0,6,3,0,-79541,1195630 ns
after_local_cswitch,0,7,2,0,-55490,1195630 ns
after_local_cswitch,0,0,5,0,29987,1195630 ns
after_local_cswitch,0,1,4,0,27933,1195630 ns
after_local_cswitch,0,2,3,0,38095,1195630 ns
after_local_cswitch,0,3,2,0,-40031,1195630 ns
after_local_cswitch,0,4,5,0,41411,1195630 ns
after_local_cswitch,0,5,4,0,45816,1195630 ns
after_local_cswitch,0,6,3,0,-79541,1195630 ns
after_local_cswitch,0,7,2,0,-55490,1195630 ns
after_local_cswitch,0,0,5,0,29987,1195630 ns
after_local_cswitch,0,1,4,0,27933,1195630 ns
after_local_cswitch,0,2,3,0,38095,1195630 ns
after_local_cswitch,0,3,2,0,-40031,1195630 ns
after_local_cswitch,0,4,5,0,41411,1195630 ns
after_local_cswitch,0,5,4,0,45816,1195630 ns
after_local_cswitch,0,6,3,0,-79541,1195630 ns
after_local_cswitch,0,7,2,0,-55490,1195630 ns
after_local_cswitch,0,0,6,0,51358,1195640 ns
after_local_cswitch,0,1,5,0,5433,1195640 ns
after_local_cswitch,0,2,4,0,-9606,1195640 ns
after_local_cswitch,0,3,3,0,11943,1195640 ns
after_local_cswitch,0,4,6,0,104847,1195640 ns
