idx,word_addr,lane,value
0,0,0,-17
1,0,1,-17
2,0,2,-17
3,0,3,-17
4,0,4,-17
5,0,5,-17
6,0,6,-17
7,0,7,-17
8,0,8,-17
9,0,9,-17
10,0,10,-17
11,0,11,-17
12,0,12,-17
13,0,13,-17
14,0,14,-17
15,0,15,-17
16,1,0,-63
17,1,1,102
18,1,2,100
19,1,3,-24
20,1,4,-79
21,1,5,59
22,1,6,-118
23,1,7,102
24,1,8,-91
25,1,9,95
26,1,10,61
27,1,11,122
28,1,12,-59
29,1,13,-66
30,1,14,-97
31,1,15,-15
32,2,0,-29
33,2,1,-53
34,2,2,-9
35,2,3,80
36,2,4,-20
37,2,5,-121
38,2,6,110
39,2,7,14
40,2,8,92
41,2,9,116
42,2,10,42
43,2,11,0
44,2,12,63
45,2,13,-106
46,2,14,69
47,2,15,-36
48,3,0,-110
49,3,1,-38
50,3,2,-23
51,3,3,26
52,3,4,42
53,3,5,43
54,3,6,108
55,3,7,124
56,3,8,-107
57,3,9,-104
58,3,10,-107
59,3,11,-34
60,3,12,-126
61,3,13,-95
62,3,14,-91
63,3,15,-120
64,4,0,121
65,4,1,16
66,4,2,-48
67,4,3,120
68,4,4,110
69,4,5,-21
70,4,6,-103
71,4,7,123
72,4,8,23
73,4,9,-122
74,4,10,26
75,4,11,48
76,4,12,53
77,4,13,104
78,4,14,75
79,4,15,73
80,5,0,-20
81,5,1,-110
82,5,2,-9
83,5,3,-29
84,5,4,-33
85,5,5,43
86,5,6,-76
87,5,7,-63
88,5,8,24
89,5,9,33
90,5,10,80
91,5,11,-8
92,5,12,62
93,5,13,-34
94,5,14,-126
95,5,15,46
96,6,0,-88
97,6,1,69
98,6,2,15
99,6,3,43
100,6,4,34
101,6,5,-25
102,6,6,-28
103,6,7,83
104,6,8,61
105,6,9,58
106,6,10,-102
107,6,11,19
108,6,12,-100
109,6,13,85
110,6,14,-64
111,6,15,41
112,7,0,-94
113,7,1,-66
114,7,2,119
115,7,3,118
116,7,4,-39
117,7,5,109
118,7,6,24
119,7,7,-80
120,7,8,-124
121,7,9,115
122,7,10,-20
123,7,11,97
124,7,12,-11
125,7,13,-114
126,7,14,-86
127,7,15,-88
128,8,0,26
129,8,1,93
130,8,2,12
131,8,3,13
132,8,4,-11
133,8,5,115
134,8,6,8
135,8,7,70
136,8,8,32
137,8,9,-81
138,8,10,78
139,8,11,72
140,8,12,-68
141,8,13,-25
142,8,14,71
143,8,15,2
144,9,0,111
145,9,1,-7
146,9,2,-88
147,9,3,-66
148,9,4,60
149,9,5,41
150,9,6,-107
151,9,7,-14
152,9,8,22
153,9,9,62
154,9,10,-51
155,9,11,-117
156,9,12,-42
157,9,13,-8
158,9,14,85
159,9,15,-47
160,10,0,-101
161,10,1,57
162,10,2,91
163,10,3,-18
164,10,4,-3
165,10,5,-46
166,10,6,-94
167,10,7,31
168,10,8,-126
169,10,9,-51
170,10,10,104
171,10,11,103
172,10,12,59
173,10,13,55
174,10,14,104
175,10,15,75
176,11,0,125
177,11,1,67
178,11,2,-117
179,11,3,102
180,11,4,-29
181,11,5,48
182,11,6,57
183,11,7,8
184,11,8,-97
185,11,9,16
186,11,10,-114
187,11,11,85
188,11,12,36
189,11,13,-26
190,11,14,-44
191,11,15,-24
192,12,0,-79
193,12,1,59
194,12,2,-29
195,12,3,79
196,12,4,73
197,12,5,-118
198,12,6,29
199,12,7,-68
200,12,8,75
201,12,9,-45
202,12,10,93
203,12,11,87
204,12,12,-91
205,12,13,25
206,12,14,-61
207,12,15,-53
208,13,0,-6
209,13,1,89
210,13,2,-73
211,13,3,94
212,13,4,91
213,13,5,-29
214,13,6,-8
215,13,7,-95
216,13,8,-22
217,13,9,-122
218,13,10,122
219,13,11,41
220,13,12,49
221,13,13,-118
222,13,14,55
223,13,15,-6
224,14,0,86
225,14,1,52
226,14,2,81
227,14,3,-19
228,14,4,-127
229,14,5,6
230,14,6,-22
231,14,7,-100
232,14,8,-92
233,14,9,32
234,14,10,56
235,14,11,-7
236,14,12,50
237,14,13,105
238,14,14,-94
239,14,15,-46
240,15,0,101
241,15,1,-10
242,15,2,41
243,15,3,-36
244,15,4,119
245,15,5,-81
246,15,6,43
247,15,7,-52
248,15,8,112
249,15,9,55
250,15,10,-35
251,15,11,-43
252,15,12,-17
253,15,13,47
254,15,14,-41
255,15,15,8
256,16,0,-39
257,16,1,-23
258,16,2,-2
259,16,3,-50
260,16,4,-93
261,16,5,96
262,16,6,-58
263,16,7,-33
264,16,8,45
265,16,9,-96
266,16,10,113
267,16,11,-79
268,16,12,-2
269,16,13,90
270,16,14,-102
271,16,15,-21
272,17,0,89
273,17,1,16
274,17,2,97
275,17,3,88
276,17,4,73
277,17,5,-100
278,17,6,-22
279,17,7,-63
280,17,8,18
281,17,9,-123
282,17,10,-9
283,17,11,-124
284,17,12,-59
285,17,13,-31
286,17,14,110
287,17,15,3
288,18,0,20
289,18,1,69
290,18,2,-3
291,18,3,14
292,18,4,53
293,18,5,62
294,18,6,56
295,18,7,-61
296,18,8,74
297,18,9,-74
298,18,10,-44
299,18,11,28
300,18,12,-14
301,18,13,76
302,18,14,25
303,18,15,-29
304,19,0,-22
305,19,1,-21
306,19,2,-24
307,19,3,-55
308,19,4,13
309,19,5,35
310,19,6,91
311,19,7,-21
312,19,8,-71
313,19,9,124
314,19,10,4
315,19,11,-45
316,19,12,-23
317,19,13,71
318,19,14,-5
319,19,15,-34
320,20,0,119
321,20,1,79
322,20,2,86
323,20,3,61
324,20,4,97
325,20,5,91
326,20,6,-91
327,20,7,50
328,20,8,116
329,20,9,-70
330,20,10,-109
331,20,11,-21
332,20,12,-2
333,20,13,98
334,20,14,38
335,20,15,0
336,21,0,87
337,21,1,-63
338,21,2,-81
339,21,3,-72
340,21,4,112
341,21,5,127
342,21,6,-71
343,21,7,-57
344,21,8,-90
345,21,9,49
346,21,10,-17
347,21,11,3
