write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
0,0,0,0,63598,98144,2307,-81222,65404,92481,3802,65394,63598,63598,63598,63598,63598,63598,63598,63598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598,63598
2,0,4,1,25270,-101184,44251,-18462,13432,-55433,27086,-46806,25270,25270,25270,25270,25270,25270,25270,25270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270,25270
4,0,8,2,-111260,-171582,12699,24831,39770,-22996,-13517,12546,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260,-111260
6,0,12,3,81571,9392,32619,-65904,-51811,-42519,94660,-58036,81571,81571,81571,81571,81571,81571,81571,81571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571,81571
8,0,16,4,-148947,-52756,-55061,1890,-74872,68635,53075,155554,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947,-148947
10,0,20,5,8142,6625,-100242,28504,38049,-5288,28413,7010,8142,8142,8142,8142,8142,8142,8142,8142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142,8142
12,0,24,6,65158,-64622,24499,-38618,-72637,-24050,54650,100865,65158,65158,65158,65158,65158,65158,65158,65158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158,65158
14,0,28,7,-57626,-136582,31317,-4835,29592,35015,34572,130363,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626,-57626
16,0,32,8,-8511,18231,-46540,-71489,24751,42072,-178608,-43920,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511,-8511
18,0,36,9,50470,35015,-65382,-41639,26906,-22619,78879,26293,50470,50470,50470,50470,50470,50470,50470,50470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470,50470
20,0,40,10,-94091,897,-43044,25497,-12424,113352,-51157,7555,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091,-94091
22,0,44,11,68982,-44975,-59992,27344,105497,-13390,-47652,20751,68982,68982,68982,68982,68982,68982,68982,68982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982,68982
24,0,48,12,7909,13771,-28394,43643,-111583,-42302,-32829,-47486,7909,7909,7909,7909,7909,7909,7909,7909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909,7909
26,0,52,13,-82782,92502,-22311,-35396,-59090,13320,37909,72765,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,52,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782,-82782
28,0,56,14,42176,62858,43284,35111,-129321,113905,-51509,77066,42176,42176,42176,42176,42176,42176,42176,42176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,56,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176,42176
30,0,60,15,57926,-106299,-58370,-33188,75724,-14214,53294,2259,57926,57926,57926,57926,57926,57926,57926,57926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926,57926
