write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31
0,0,0,0,49672,24293,-114579,-979,161099,-2338,107577,162817,49672,49672,49672,49672,49672,49672,49672,49672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672,49672
2,0,4,1,71099,105208,-58941,214474,-163381,-133748,-48135,33808,71099,71099,71099,71099,71099,71099,71099,71099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099,71099
4,0,8,2,226677,-18200,-20553,-67009,-112236,9536,103074,143288,226677,226677,226677,226677,226677,226677,226677,226677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677,226677
6,0,12,3,-206965,69016,36647,-20365,-234276,123240,-52049,-81337,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965,-206965
8,0,16,4,16792,-79031,15214,225621,32920,-12940,-2182,148445,16792,16792,16792,16792,16792,16792,16792,16792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792,16792
10,0,20,5,121694,-81352,-71910,-162591,-107829,204038,-18617,50892,121694,121694,121694,121694,121694,121694,121694,121694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694,121694
12,0,24,6,6305,-29893,64257,-12107,-65167,42121,99625,131884,6305,6305,6305,6305,6305,6305,6305,6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
