context,k,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31
0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,-1,0,0,-2,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0,2,0,0,0,2,1,0,2,-1,2,0,0,0,0,0,0,-1,-1,-1,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0,0
0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,-2,0,-1,0,0,0,1,3,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,0,0,0,0,2,0,0,0
0,5,0,0,1,1,0,0,0,-1,0,0,2,0,1,-1,0,-1,0,-1,0,-1,0,0,0,1,1,-1,0,0,-1,0,0,0
0,6,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,1,0,1,0,0,0,1,1,1
0,7,-1,2,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,3,1,-1,0,1,-1,0
0,8,1,1,1,0,0,1,0,2,-1,0,0,-1,0,1,0,0,1,0,1,0,1,0,0,-2,0,-1,0,0,0,0,1,0
0,9,0,0,-1,0,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,1,1,0,0,0,0,0,-1,-1,0,-1,-1,1,-1
0,10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-1,-1,0,0,0,4,0,0,0,2,0,-2,0,0,0,0,0,0
0,11,0,0,0,0,-1,0,-1,0,1,1,0,0,1,1,2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,12,0,-2,0,0,0,-1,0,0,1,-1,0,1,-1,-1,0,1,0,2,0,0,-1,0,0,0,0,1,0,0,0,-2,0,0
0,13,0,0,-1,0,-1,-1,1,-1,0,0,1,0,0,-1,0,0,0,0,1,0,-2,0,0,-1,0,0,0,-1,0,0,1,0
0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0
0,15,1,0,1,-1,0,1,-1,0,0,0,0,-1,-1,0,0,-2,-2,0,-1,0,0,0,0,-1,0,1,1,0,1,1,1,0
0,16,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,1,0,0,0,0
0,17,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0
0,18,1,-1,-1,0,-3,0,3,0,1,0,1,-1,1,0,0,0,1,0,0,0,0,-1,1,1,-1,1,-1,-2,0,0,1,-1
0,19,1,0,0,0,0,0,1,1,0,0,-2,1,0,0,0,-1,-1,-1,0,-2,0,0,0,1,0,2,-1,0,1,1,-1,1
0,20,1,0,1,0,1,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,1,-1,0,0,0,0,0,0,0
0,21,0,1,0,0,0,2,0,-1,-1,1,1,0,0,0,1,0,0,0,0,-1,0,0,1,-1,1,0,-2,0,0,0,-1,0
0,22,0,0,-1,0,0,-1,-1,0,2,0,1,0,0,0,0,-1,0,-3,0,-1,0,0,0,0,-1,2,0,1,0,-2,-1,0
0,23,0,1,1,-2,0,0,2,1,0,0,-1,-1,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,24,0,0,0,0,0,-2,0,-1,-1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
0,25,0,-1,0,1,0,1,0,0,2,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,26,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,-2,0,1,0,1
0,27,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,0
0,28,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-2,0,0,0,0,-1,1,0,0,1,0,1,2,0
0,29,1,0,0,-1,0,-1,1,1,2,0,0,1,0,0,0,0,0,-1,1,0,0,-2,1,0,0,1,0,0,-2,1,-1,0
0,30,0,1,0,0,-1,0,0,0,0,-1,1,-2,0,0,0,0,0,2,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,1
0,31,0,0,0,-2,0,0,-2,0,0,0,2,0,0,-1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,1,0,0,0,-2,0,1,0,0,2,0,0,0,-1,0,0,0,1,0,-1,0,1,0,2,1
0,33,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,-1,0,0
0,34,1,0,0,0,0,-1,2,0,0,0,2,1,0,0,0,1,-1,0,0,-1,-1,1,0,0,0,0,0,1,0,0,0,0
0,35,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,36,0,0,1,-1,0,0,1,-1,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,0,0,-1,-1,0,0,0,2,0,0
0,37,-2,-1,0,0,2,1,0,-1,0,0,1,0,-2,0,0,-1,-2,-1,0,1,0,2,0,1,0,0,-1,0,0,0,1,0
0,38,0,-2,1,1,1,2,0,1,0,-2,1,-2,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,-1,-1,0,0,1
0,39,0,1,-1,0,-1,0,-1,-2,0,0,0,0,0,0,0,1,0,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1
0,40,0,2,1,0,0,-1,2,-1,0,0,1,0,0,-1,-1,0,-1,0,0,1,0,-1,-1,0,0,0,0,0,0,1,2,0
0,41,1,1,1,-1,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0
0,42,0,0,1,1,0,0,-1,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,43,0,0,-2,2,0,0,0,0,-1,1,0,1,0,0,1,0,0,-2,0,0,1,0,-2,-1,0,-1,1,0,0,-1,1,1
