tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_A,0,0,0,3,0
before_raw_cswitch_A,0,0,1,-5,0
before_raw_cswitch_A,0,0,2,-31,0
before_raw_cswitch_A,0,0,3,-8,0
before_raw_cswitch_A,0,0,4,9,0
before_raw_cswitch_A,0,0,5,-23,0
before_raw_cswitch_A,0,0,6,4,0
before_raw_cswitch_A,0,0,7,-9,0
before_raw_cswitch_A,0,0,8,3,0
before_raw_cswitch_A,0,0,9,22,0
before_raw_cswitch_A,0,0,10,-16,0
before_raw_cswitch_A,0,0,11,-19,0
before_raw_cswitch_A,0,0,12,32,0
before_raw_cswitch_A,0,0,13,24,0
before_raw_cswitch_A,0,0,14,13,0
before_raw_cswitch_A,0,0,15,5,0
before_raw_cswitch_A,0,0,16,-3,0
before_raw_cswitch_A,0,0,17,27,0
before_raw_cswitch_A,0,0,18,25,0
before_raw_cswitch_A,0,0,19,10,0
before_raw_cswitch_A,0,0,20,-35,0
before_raw_cswitch_A,0,0,21,30,0
before_raw_cswitch_A,0,0,22,4,0
before_raw_cswitch_A,0,0,23,-11,0
before_raw_cswitch_A,0,0,24,2,0
before_raw_cswitch_A,0,0,25,-10,0
before_raw_cswitch_A,0,0,26,-24,0
before_raw_cswitch_A,0,0,27,-7,0
before_raw_cswitch_A,0,0,28,7,0
before_raw_cswitch_A,0,0,29,-3,0
before_raw_cswitch_A,0,0,30,-23,0
before_raw_cswitch_A,0,0,31,-8,0
before_raw_cswitch_A,0,0,32,6,0
before_raw_cswitch_A,0,0,33,-1,0
before_raw_cswitch_A,0,0,34,4,0
before_raw_cswitch_A,0,0,35,-5,0
before_raw_cswitch_A,0,0,36,-11,0
before_raw_cswitch_A,0,0,37,5,0
before_raw_cswitch_A,0,0,38,14,0
before_raw_cswitch_A,0,0,39,36,0
before_raw_cswitch_A,0,0,40,-12,0
before_raw_cswitch_A,0,0,41,-31,0
before_raw_cswitch_A,0,0,42,11,0
before_raw_cswitch_A,0,0,43,18,0
before_raw_cswitch_A,0,0,44,14,0
before_raw_cswitch_A,0,0,45,-4,0
before_raw_cswitch_A,0,0,46,-8,0
before_raw_cswitch_A,0,0,47,1,0
before_raw_cswitch_A,0,0,48,-2,0
before_raw_cswitch_A,0,0,49,0,0
before_raw_cswitch_A,0,0,50,-32,0
before_raw_cswitch_A,0,0,51,-12,0
before_raw_cswitch_A,0,0,52,18,0
before_raw_cswitch_A,0,0,53,15,0
before_raw_cswitch_A,0,0,54,6,0
before_raw_cswitch_A,0,0,55,0,0
before_raw_cswitch_A,0,0,56,15,0
before_raw_cswitch_A,0,0,57,0,0
before_raw_cswitch_A,0,0,58,17,0
before_raw_cswitch_A,0,0,59,-3,0
before_raw_cswitch_A,0,0,60,-5,0
before_raw_cswitch_A,0,0,61,15,0
before_raw_cswitch_A,0,0,62,4,0
before_raw_cswitch_A,0,0,63,-18,0
before_raw_cswitch_A,0,1,0,0,0
before_raw_cswitch_A,0,1,1,4,0
before_raw_cswitch_A,0,1,2,-5,0
before_raw_cswitch_A,0,1,3,0,0
before_raw_cswitch_A,0,1,4,11,0
before_raw_cswitch_A,0,1,5,0,0
before_raw_cswitch_A,0,1,6,0,0
before_raw_cswitch_A,0,1,7,3,0
before_raw_cswitch_A,0,1,8,5,0
before_raw_cswitch_A,0,1,9,28,0
before_raw_cswitch_A,0,1,10,34,0
before_raw_cswitch_A,0,1,11,2,0
before_raw_cswitch_A,0,1,12,-1,0
before_raw_cswitch_A,0,1,13,-20,0
before_raw_cswitch_A,0,1,14,-17,0
before_raw_cswitch_A,0,1,15,5,0
before_raw_cswitch_A,0,1,16,5,0
before_raw_cswitch_A,0,1,17,-12,0
before_raw_cswitch_A,0,1,18,-14,0
before_raw_cswitch_A,0,1,19,4,0
before_raw_cswitch_A,0,1,20,-10,0
before_raw_cswitch_A,0,1,21,-10,0
before_raw_cswitch_A,0,1,22,14,0
before_raw_cswitch_A,0,1,23,-25,0
before_raw_cswitch_A,0,1,24,17,0
before_raw_cswitch_A,0,1,25,9,0
before_raw_cswitch_A,0,1,26,0,0
before_raw_cswitch_A,0,1,27,21,0
before_raw_cswitch_A,0,1,28,3,0
before_raw_cswitch_A,0,1,29,-11,0
before_raw_cswitch_A,0,1,30,-30,0
before_raw_cswitch_A,0,1,31,5,0
before_raw_cswitch_A,0,1,32,-4,0
before_raw_cswitch_A,0,1,33,-17,0
before_raw_cswitch_A,0,1,34,0,0
before_raw_cswitch_A,0,1,35,-15,0
before_raw_cswitch_A,0,1,36,22,0
before_raw_cswitch_A,0,1,37,-28,0
before_raw_cswitch_A,0,1,38,-2,0
before_raw_cswitch_A,0,1,39,-13,0
before_raw_cswitch_A,0,1,40,-5,0
before_raw_cswitch_A,0,1,41,1,0
before_raw_cswitch_A,0,1,42,10,0
before_raw_cswitch_A,0,1,43,-18,0
before_raw_cswitch_A,0,1,44,5,0
before_raw_cswitch_A,0,1,45,14,0
before_raw_cswitch_A,0,1,46,-21,0
before_raw_cswitch_A,0,1,47,-5,0
before_raw_cswitch_A,0,1,48,-7,0
before_raw_cswitch_A,0,1,49,-1,0
before_raw_cswitch_A,0,1,50,14,0
before_raw_cswitch_A,0,1,51,0,0
before_raw_cswitch_A,0,1,52,8,0
before_raw_cswitch_A,0,1,53,14,0
before_raw_cswitch_A,0,1,54,-4,0
before_raw_cswitch_A,0,1,55,-7,0
before_raw_cswitch_A,0,1,56,-8,0
before_raw_cswitch_A,0,1,57,9,0
before_raw_cswitch_A,0,1,58,34,0
before_raw_cswitch_A,0,1,59,10,0
before_raw_cswitch_A,0,1,60,-35,0
before_raw_cswitch_A,0,1,61,-15,0
before_raw_cswitch_A,0,1,62,11,0
before_raw_cswitch_A,0,1,63,5,0
before_raw_cswitch_A,0,2,0,-13,0
before_raw_cswitch_A,0,2,1,18,0
before_raw_cswitch_A,0,2,2,0,0
before_raw_cswitch_A,0,2,3,-12,0
before_raw_cswitch_A,0,2,4,-9,0
before_raw_cswitch_A,0,2,5,8,0
before_raw_cswitch_A,0,2,6,3,0
before_raw_cswitch_A,0,2,7,-11,0
before_raw_cswitch_A,0,2,8,-2,0
before_raw_cswitch_A,0,2,9,-3,0
before_raw_cswitch_A,0,2,10,-7,0
before_raw_cswitch_A,0,2,11,-10,0
before_raw_cswitch_A,0,2,12,-12,0
before_raw_cswitch_A,0,2,13,9,0
before_raw_cswitch_A,0,2,14,8,0
before_raw_cswitch_A,0,2,15,-22,0
before_raw_cswitch_A,0,2,16,17,0
before_raw_cswitch_A,0,2,17,-18,0
before_raw_cswitch_A,0,2,18,23,0
before_raw_cswitch_A,0,2,19,-7,0
