idx,word_addr,lane,value
0,0,0,-1
1,0,1,-1
2,0,2,-1
3,0,3,-1
4,0,4,-1
5,0,5,-1
6,0,6,-1
7,0,7,-1
8,0,8,-1
9,0,9,-1
10,0,10,-1
11,0,11,-1
12,0,12,-1
13,0,13,-1
14,0,14,-1
15,0,15,-1
16,0,16,-1
17,0,17,-1
18,0,18,-1
19,0,19,-1
20,0,20,-1
21,0,21,-1
22,0,22,-1
23,0,23,-1
24,0,24,-1
25,0,25,-1
26,0,26,-1
27,0,27,-1
28,0,28,-1
29,0,29,-1
30,0,30,-1
31,0,31,-1
32,0,32,-1
33,0,33,-1
34,0,34,-1
35,0,35,-1
36,0,36,-1
37,0,37,-1
38,0,38,-1
39,0,39,-1
40,0,40,-1
41,0,41,-1
42,0,42,-1
43,0,43,-1
44,0,44,-1
45,0,45,-1
46,0,46,-1
47,0,47,-1
48,0,48,-1
49,0,49,-1
50,0,50,-1
51,0,51,-1
52,0,52,-1
53,0,53,-1
54,0,54,-1
55,0,55,-1
56,0,56,-1
57,0,57,-1
58,0,58,-1
59,0,59,-1
60,0,60,-1
61,0,61,-1
62,0,62,-1
63,0,63,-1
64,1,0,0
65,1,1,-1
66,1,2,0
67,1,3,0
68,1,4,-1
69,1,5,0
70,1,6,0
71,1,7,0
72,1,8,0
73,1,9,-1
74,1,10,0
75,1,11,-1
76,1,12,0
77,1,13,-1
78,1,14,0
79,1,15,0
80,1,16,0
81,1,17,0
82,1,18,0
83,1,19,0
84,1,20,1
85,1,21,0
86,1,22,0
87,1,23,0
88,1,24,0
89,1,25,2
90,1,26,0
91,1,27,0
92,1,28,0
93,1,29,2
94,1,30,0
95,1,31,-1
96,1,32,1
97,1,33,1
98,1,34,0
99,1,35,0
100,1,36,0
101,1,37,2
102,1,38,0
103,1,39,1
104,1,40,0
105,1,41,-1
106,1,42,0
107,1,43,0
108,1,44,0
109,1,45,0
110,1,46,1
111,1,47,0
112,1,48,0
113,1,49,0
114,1,50,0
115,1,51,0
116,1,52,-1
117,1,53,0
118,1,54,0
119,1,55,0
120,1,56,0
121,1,57,0
122,1,58,0
123,1,59,0
124,1,60,-2
125,1,61,-2
126,1,62,0
127,1,63,0
128,2,0,0
129,2,1,0
130,2,2,0
131,2,3,0
132,2,4,0
133,2,5,-1
134,2,6,0
135,2,7,0
136,2,8,0
137,2,9,-1
138,2,10,-1
139,2,11,0
140,2,12,0
141,2,13,0
142,2,14,1
143,2,15,1
144,2,16,0
145,2,17,2
146,2,18,0
147,2,19,0
148,2,20,0
149,2,21,0
150,2,22,0
151,2,23,-2
152,2,24,0
153,2,25,-1
154,2,26,0
155,2,27,-1
156,2,28,-2
157,2,29,1
158,2,30,0
159,2,31,0
160,2,32,0
161,2,33,-1
162,2,34,1
163,2,35,1
164,2,36,-1
165,2,37,2
166,2,38,2
167,2,39,0
168,2,40,0
169,2,41,0
170,2,42,1
171,2,43,0
172,2,44,0
173,2,45,1
174,2,46,-1
175,2,47,-1
176,2,48,0
177,2,49,0
178,2,50,1
179,2,51,0
180,2,52,0
181,2,53,1
182,2,54,-1
183,2,55,1
184,2,56,0
185,2,57,0
186,2,58,1
187,2,59,0
188,2,60,0
189,2,61,0
190,2,62,1
191,2,63,0
192,3,0,0
193,3,1,0
194,3,2,0
195,3,3,0
196,3,4,0
197,3,5,-1
198,3,6,0
199,3,7,-2
200,3,8,0
