write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7
0,0,0,0,-5,7,6,-13,0,0,0,0
1,0,0,0,0,0,0,0,-4,-9,-22,-9
2,0,1,1,5,5,-12,-3,0,0,0,0
3,0,1,1,0,0,0,0,-5,10,-5,-11
4,0,2,2,6,5,1,17,0,0,0,0
5,0,2,2,0,0,0,0,4,6,-3,-22
6,0,3,3,0,-4,-5,-6,0,0,0,0
7,0,3,3,0,0,0,0,-5,0,14,-4
8,0,4,4,8,20,-2,16,0,0,0,0
9,0,4,4,0,0,0,0,14,6,0,13
10,0,5,5,0,-6,1,-3,0,0,0,0
11,0,5,5,0,0,0,0,-6,7,13,-12
12,0,6,6,8,-1,-6,-1,0,0,0,0
13,0,6,6,0,0,0,0,-9,-16,-1,-13
14,0,7,7,-10,-5,0,-1,0,0,0,0
15,0,7,7,0,0,0,0,6,0,0,10
16,0,8,8,-1,-1,-4,15,0,0,0,0
17,0,8,8,0,0,0,0,-8,-3,-6,-16
18,0,9,9,2,-3,2,0,0,0,0,0
19,0,9,9,0,0,0,0,4,-1,-10,-11
20,0,10,10,0,-7,-7,3,0,0,0,0
21,0,10,10,0,0,0,0,-4,-7,-10,-4
22,0,11,11,2,9,4,0,0,0,0,0
23,0,11,11,0,0,0,0,-3,-9,-14,-19
24,0,12,12,0,3,-3,-8,0,0,0,0
25,0,12,12,0,0,0,0,-10,-11,-10,-8
26,0,13,13,-5,-2,4,7,0,0,0,0
27,0,13,13,0,0,0,0,2,-13,0,1
28,0,14,14,1,0,-6,-1,0,0,0,0
29,0,14,14,0,0,0,0,10,2,2,-7
30,0,15,15,12,-9,-10,5,0,0,0,0
31,0,15,15,0,0,0,0,-9,-7,-6,2
