count,context,act0,act1,act2,act3,act4,act5,act6,act7,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-1.82812,0,0,0,0,0,0,0,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-1.82812,0,0,0,0,0,0,0,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-1.82812,0,0,0,0,0,0,0,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.465088,-0.442627,0,0,0,0,0,0,-0.228027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.465088,-0.442627,0,0,0,0,0,0,-0.228027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.465088,-0.442627,0,0,0,0,0,0,-0.228027,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0067749,-0.70166,0.408447,0,0,0,0,0,-1.63867,-2.5957,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0067749,-0.70166,0.408447,0,0,0,0,0,-1.63867,-2.5957,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0067749,-0.70166,0.408447,0,0,0,0,0,-1.63867,-2.5957,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,-0.167236,0.366699,0.624512,-0.285156,0,0,0,0,-0.529297,-0.165039,-2.27344,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
16,0,-0.167236,0.366699,0.624512,-0.285156,0,0,0,0,-0.529297,-0.165039,-2.27344,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
17,0,-0.167236,0.366699,0.624512,-0.285156,0,0,0,0,-0.529297,-0.165039,-2.27344,-1.7334,0,0,0,0,0,0,0,0,0,0,0,0
18,0,-0.297607,-0.411865,0.195679,-1.62793,0.102356,0,0,0,0.892578,-0.51123,0.583008,1.39941,-1.7334,0,0,0,0,0,0,0,0,0,0,0
19,0,-0.297607,-0.411865,0.195679,-1.62793,0.102356,0,0,0,0.892578,-0.51123,0.583008,1.39941,-1.7334,0,0,0,0,0,0,0,0,0,0,0
20,0,-0.297607,-0.411865,0.195679,-1.62793,0.102356,0,0,0,0.892578,-0.51123,0.583008,1.39941,-1.7334,0,0,0,0,0,0,0,0,0,0,0
21,0,-0.714355,0.324707,0.79541,0.811523,0.0330811,0.0385742,0,0,-0.917969,-0.0304108,1.99121,-0.320801,0.27832,-1.7334,0,0,0,0,0,0,0,0,0,0
22,0,-0.714355,0.324707,0.79541,0.811523,0.0330811,0.0385742,0,0,-0.917969,-0.0304108,1.99121,-0.320801,0.27832,-1.7334,0,0,0,0,0,0,0,0,0,0
23,0,-0.714355,0.324707,0.79541,0.811523,0.0330811,0.0385742,0,0,-0.917969,-0.0304108,1.99121,-0.320801,0.27832,-1.7334,0,0,0,0,0,0,0,0,0,0
24,0,-0.0682373,0.671387,0.00253105,0.43457,1.60449,-0.405518,0.867188,0,1.12207,-0.289795,0.597656,-0.132568,0.745605,-2.5293,-1.7334,0,0,0,0,0,0,0,0,0
25,0,-0.0682373,0.671387,0.00253105,0.43457,1.60449,-0.405518,0.867188,0,1.12207,-0.289795,0.597656,-0.132568,0.745605,-2.5293,-1.7334,0,0,0,0,0,0,0,0,0
26,0,-0.0682373,0.671387,0.00253105,0.43457,1.60449,-0.405518,0.867188,0,1.12207,-0.289795,0.597656,-0.132568,0.745605,-2.5293,-1.7334,0,0,0,0,0,0,0,0,0
27,0,-0.0432434,1.63965,-2.03906,1.93262,-0.114136,0.296143,0.693359,0.933105,-0.798828,0.324951,0.0750122,-0.303711,1.96484,-0.530273,0.3396,-1.7334,0,0,0,0,0,0,0,0
28,0,-0.0432434,1.63965,-2.03906,1.93262,-0.114136,0.296143,0.693359,0.933105,-0.798828,0.324951,0.0750122,-0.303711,1.96484,-0.530273,0.3396,-1.7334,0,0,0,0,0,0,0,0
29,0,-0.0432434,1.63965,-2.03906,1.93262,-0.114136,0.296143,0.693359,0.933105,-0.798828,0.324951,0.0750122,-0.303711,1.96484,-0.530273,0.3396,-1.7334,0,0,0,0,0,0,0,0
30,0,0.684082,1.25,-0.419922,1.65527,0.935059,-0.742188,-0.705566,0.86377,-2.33398,2.18945,2.08594,1.10059,-0.0254974,0.847656,-0.36792,0.291748,-1.7334,0,0,0,0,0,0,0
31,0,0.684082,1.25,-0.419922,1.65527,0.935059,-0.742188,-0.705566,0.86377,-2.33398,2.18945,2.08594,1.10059,-0.0254974,0.847656,-0.36792,0.291748,-1.7334,0,0,0,0,0,0,0
32,0,0.684082,1.25,-0.419922,1.65527,0.935059,-0.742188,-0.705566,0.86377,-2.33398,2.18945,2.08594,1.10059,-0.0254974,0.847656,-0.36792,0.291748,-1.7334,0,0,0,0,0,0,0
33,0,2.38281,0.250244,-0.0621033,1.39941,0.199097,0.98877,0.93457,1.31348,0.666992,-0.203613,0.493896,-1.04297,0.555176,0.98584,-1.16309,0.790039,-1.89355,-1.7334,0,0,0,0,0,0
34,0,2.38281,0.250244,-0.0621033,1.39941,0.199097,0.98877,0.93457,1.31348,0.666992,-0.203613,0.493896,-1.04297,0.555176,0.98584,-1.16309,0.790039,-1.89355,-1.7334,0,0,0,0,0,0
35,0,2.38281,0.250244,-0.0621033,1.39941,0.199097,0.98877,0.93457,1.31348,0.666992,-0.203613,0.493896,-1.04297,0.555176,0.98584,-1.16309,0.790039,-1.89355,-1.7334,0,0,0,0,0,0
36,0,-1.06543,-0.0608826,0.483643,0.340332,1.63086,-0.446533,0.428711,0.575195,0.303223,0.444092,-0.31665,0.390625,0.345947,-0.474365,-1.32812,-0.871582,-0.230713,0.118408,-1.7334,0,0,0,0,0
37,0,-1.06543,-0.0608826,0.483643,0.340332,1.63086,-0.446533,0.428711,0.575195,0.303223,0.444092,-0.31665,0.390625,0.345947,-0.474365,-1.32812,-0.871582,-0.230713,0.118408,-1.7334,0,0,0,0,0
38,0,-1.06543,-0.0608826,0.483643,0.340332,1.63086,-0.446533,0.428711,0.575195,0.303223,0.444092,-0.31665,0.390625,0.345947,-0.474365,-1.32812,-0.871582,-0.230713,0.118408,-1.7334,0,0,0,0,0
39,0,-2.40234,-1.4541,0.780273,2.31641,0.223511,1.06641,0.750488,-1.20801,-0.284668,-0.791016,0.280029,0.948242,1.29297,-1.16699,0.695801,0.862305,-0.639648,-0.0560303,-1.44238,-1.7334,0,0,0,0
40,0,-2.40234,-1.4541,0.780273,2.31641,0.223511,1.06641,0.750488,-1.20801,-0.284668,-0.791016,0.280029,0.948242,1.29297,-1.16699,0.695801,0.862305,-0.639648,-0.0560303,-1.44238,-1.7334,0,0,0,0
41,0,-2.40234,-1.4541,0.780273,2.31641,0.223511,1.06641,0.750488,-1.20801,-0.284668,-0.791016,0.280029,0.948242,1.29297,-1.16699,0.695801,0.862305,-0.639648,-0.0560303,-1.44238,-1.7334,0,0,0,0
42,0,-0.389404,-1.77441,-0.606445,0.212891,1.59766,0.450439,-0.691895,0.644043,0.739258,0.409912,-1.45312,-1.02148,1.25293,-0.0131531,-1.11426,-1.4082,0.159058,-0.245117,-0.240234,-0.175903,-1.7334,0,0,0
43,0,-0.389404,-1.77441,-0.606445,0.212891,1.59766,0.450439,-0.691895,0.644043,0.739258,0.409912,-1.45312,-1.02148,1.25293,-0.0131531,-1.11426,-1.4082,0.159058,-0.245117,-0.240234,-0.175903,-1.7334,0,0,0
44,0,-0.389404,-1.77441,-0.606445,0.212891,1.59766,0.450439,-0.691895,0.644043,0.739258,0.409912,-1.45312,-1.02148,1.25293,-0.0131531,-1.11426,-1.4082,0.159058,-0.245117,-0.240234,-0.175903,-1.7334,0,0,0
45,0,0.861816,0.277344,0.492432,-2.64453,0.452393,0.536133,-0.0566101,0.446777,-1.06445,-1.84375,0.470215,-1.66113,0.914551,0.107483,0.425537,-0.493652,-0.0083847,-0.236816,2.45703,-0.904297,-0.725098,-1.7334,0,0
46,0,0.861816,0.277344,0.492432,-2.64453,0.452393,0.536133,-0.0566101,0.446777,-1.06445,-1.84375,0.470215,-1.66113,0.914551,0.107483,0.425537,-0.493652,-0.0083847,-0.236816,2.45703,-0.904297,-0.725098,-1.7334,0,0
47,0,0.861816,0.277344,0.492432,-2.64453,0.452393,0.536133,-0.0566101,0.446777,-1.06445,-1.84375,0.470215,-1.66113,0.914551,0.107483,0.425537,-0.493652,-0.0083847,-0.236816,2.45703,-0.904297,-0.725098,-1.7334,0,0
48,0,-1.32812,0.40332,1.97949,0.564453,0.459717,-0.656738,2.66797,-0.583496,1.17969,-1.90332,-0.0125198,1.19727,-1.28809,-1.3252,-0.347412,0.402832,-2.33008,0.000238419,0.678223,-0.653809,-1.74609,0.781738,-1.7334,0
49,0,-1.32812,0.40332,1.97949,0.564453,0.459717,-0.656738,2.66797,-0.583496,1.17969,-1.90332,-0.0125198,1.19727,-1.28809,-1.3252,-0.347412,0.402832,-2.33008,0.000238419,0.678223,-0.653809,-1.74609,0.781738,-1.7334,0
50,0,-1.32812,0.40332,1.97949,0.564453,0.459717,-0.656738,2.66797,-0.583496,1.17969,-1.90332,-0.0125198,1.19727,-1.28809,-1.3252,-0.347412,0.402832,-2.33008,0.000238419,0.678223,-0.653809,-1.74609,0.781738,-1.7334,0
51,0,-0.343262,0.820801,0.0551758,1.25,0.14978,-1.01855,-0.811523,-1.09766,-0.79541,-0.680664,0.786621,0.729004,-0.248413,0.471191,1.5,-0.132446,-1.14648,-0.563965,0.829102,0.154419,0.165649,-0.563965,0.190918,-1.7334
52,0,-0.343262,0.820801,0.0551758,1.25,0.14978,-1.01855,-0.811523,-1.09766,-0.79541,-0.680664,0.786621,0.729004,-0.248413,0.471191,1.5,-0.132446,-1.14648,-0.563965,0.829102,0.154419,0.165649,-0.563965,0.190918,-1.7334
53,0,-0.343262,0.820801,0.0551758,1.25,0.14978,-1.01855,-0.811523,-1.09766,-0.79541,-0.680664,0.786621,0.729004,-0.248413,0.471191,1.5,-0.132446,-1.14648,-0.563965,0.829102,0.154419,0.165649,-0.563965,0.190918,-1.7334
54,0,0.459229,-1.34082,0.896973,1.90137,-0.125977,-0.453125,-1.46289,-1.01855,0.881836,0.333496,1.53516,0.502441,-0.255371,-0.20459,0.240967,-0.689453,0.783691,0.688477,-0.858887,-0.338379,0.385742,-0.549316,-1.37793,-1.50488
55,0,0.459229,-1.34082,0.896973,1.90137,-0.125977,-0.453125,-1.46289,-1.01855,0.881836,0.333496,1.53516,0.502441,-0.255371,-0.20459,0.240967,-0.689453,0.783691,0.688477,-0.858887,-0.338379,0.385742,-0.549316,-1.37793,-1.50488
56,0,0.459229,-1.34082,0.896973,1.90137,-0.125977,-0.453125,-1.46289,-1.01855,0.881836,0.333496,1.53516,0.502441,-0.255371,-0.20459,0.240967,-0.689453,0.783691,0.688477,-0.858887,-0.338379,0.385742,-0.549316,-1.37793,-1.50488
57,0,-0.775391,-0.442383,-0.422607,0.77832,1.3584,-0.573242,0.495117,-0.163818,1.25977,-1.10938,-0.380615,-0.0983887,-0.77832,0.796387,-1.92871,0.398682,-1.14062,0.223633,-1.29199,-1.39648,-1.12793,0.0834351,-0.52002,-1.3584
58,0,-0.775391,-0.442383,-0.422607,0.77832,1.3584,-0.573242,0.495117,-0.163818,1.25977,-1.10938,-0.380615,-0.0983887,-0.77832,0.796387,-1.92871,0.398682,-1.14062,0.223633,-1.29199,-1.39648,-1.12793,0.0834351,-0.52002,-1.3584
59,0,-0.775391,-0.442383,-0.422607,0.77832,1.3584,-0.573242,0.495117,-0.163818,1.25977,-1.10938,-0.380615,-0.0983887,-0.77832,0.796387,-1.92871,0.398682,-1.14062,0.223633,-1.29199,-1.39648,-1.12793,0.0834351,-0.52002,-1.3584
60,0,-0.451172,-0.11261,0.231323,-0.624512,-0.398438,-0.0135269,0.936523,-0.637695,-0.416992,-0.741699,-1.20801,-0.94873,-1.03027,0.299805,-1.38672,0.787598,-0.831055,2.25195,-1.53809,0.171509,-1.14062,1.45605,1.13965,-0.521973
61,0,-0.451172,-0.11261,0.231323,-0.624512,-0.398438,-0.0135269,0.936523,-0.637695,-0.416992,-0.741699,-1.20801,-0.94873,-1.03027,0.299805,-1.38672,0.787598,-0.831055,2.25195,-1.53809,0.171509,-1.14062,1.45605,1.13965,-0.521973
62,0,-0.451172,-0.11261,0.231323,-0.624512,-0.398438,-0.0135269,0.936523,-0.637695,-0.416992,-0.741699,-1.20801,-0.94873,-1.03027,0.299805,-1.38672,0.787598,-0.831055,2.25195,-1.53809,0.171509,-1.14062,1.45605,1.13965,-0.521973
63,0,-0.408447,-1.9873,-0.148804,-0.861816,0.440674,-0.379639,-0.672363,0.398926,1.38867,-0.405518,-0.541992,-0.291992,-1.18359,-0.705566,-0.424316,1.04492,0.729492,0.725098,-0.61084,-0.151367,0.916504,0.168945,-1.03125,0.217041
64,0,-0.408447,-1.9873,-0.148804,-0.861816,0.440674,-0.379639,-0.672363,0.398926,1.38867,-0.405518,-0.541992,-0.291992,-1.18359,-0.705566,-0.424316,1.04492,0.729492,0.725098,-0.61084,-0.151367,0.916504,0.168945,-1.03125,0.217041
65,0,-0.408447,-1.9873,-0.148804,-0.861816,0.440674,-0.379639,-0.672363,0.398926,1.38867,-0.405518,-0.541992,-0.291992,-1.18359,-0.705566,-0.424316,1.04492,0.729492,0.725098,-0.61084,-0.151367,0.916504,0.168945,-1.03125,0.217041
66,0,0.632812,0.512695,-1.43066,-0.587402,0.754883,1.67188,-1.64746,-0.278809,2.10938,-0.403564,1.26953,1.50977,0.0983276,-0.572754,-0.134521,-0.419434,0.639648,0.635254,-0.189087,0.84668,-0.945801,1.31738,-0.458008,0.37915
