tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,-5,821180 ns
after_local_cswitch,0,4,0,0,-4,821180 ns
after_local_cswitch,0,0,0,0,-5,821180 ns
after_local_cswitch,0,4,0,0,-4,821180 ns
after_local_cswitch,0,0,0,0,-5,821180 ns
after_local_cswitch,0,4,0,0,-4,821180 ns
after_local_cswitch,0,0,1,0,5,821190 ns
after_local_cswitch,0,1,0,0,7,821190 ns
after_local_cswitch,0,4,1,0,-5,821190 ns
after_local_cswitch,0,5,0,0,-9,821190 ns
after_local_cswitch,0,0,1,0,5,821190 ns
after_local_cswitch,0,1,0,0,7,821190 ns
after_local_cswitch,0,4,1,0,-5,821190 ns
after_local_cswitch,0,5,0,0,-9,821190 ns
after_local_cswitch,0,0,1,0,5,821190 ns
after_local_cswitch,0,1,0,0,7,821190 ns
after_local_cswitch,0,4,1,0,-5,821190 ns
after_local_cswitch,0,5,0,0,-9,821190 ns
after_local_cswitch,0,0,2,0,6,821200 ns
after_local_cswitch,0,1,1,0,5,821200 ns
after_local_cswitch,0,2,0,0,6,821200 ns
after_local_cswitch,0,4,2,0,4,821200 ns
after_local_cswitch,0,5,1,0,10,821200 ns
after_local_cswitch,0,6,0,0,-22,821200 ns
after_local_cswitch,0,0,2,0,6,821200 ns
after_local_cswitch,0,1,1,0,5,821200 ns
after_local_cswitch,0,2,0,0,6,821200 ns
after_local_cswitch,0,4,2,0,4,821200 ns
after_local_cswitch,0,5,1,0,10,821200 ns
after_local_cswitch,0,6,0,0,-22,821200 ns
after_local_cswitch,0,0,2,0,6,821200 ns
after_local_cswitch,0,1,1,0,5,821200 ns
after_local_cswitch,0,2,0,0,6,821200 ns
after_local_cswitch,0,4,2,0,4,821200 ns
after_local_cswitch,0,5,1,0,10,821200 ns
after_local_cswitch,0,6,0,0,-22,821200 ns
after_local_cswitch,0,0,3,0,0,821210 ns
after_local_cswitch,0,1,2,0,5,821210 ns
after_local_cswitch,0,2,1,0,-12,821210 ns
after_local_cswitch,0,3,0,0,-13,821210 ns
after_local_cswitch,0,4,3,0,-5,821210 ns
after_local_cswitch,0,5,2,0,6,821210 ns
after_local_cswitch,0,6,1,0,-5,821210 ns
after_local_cswitch,0,7,0,0,-9,821210 ns
after_local_cswitch,0,0,3,0,0,821210 ns
after_local_cswitch,0,1,2,0,5,821210 ns
after_local_cswitch,0,2,1,0,-12,821210 ns
after_local_cswitch,0,3,0,0,-13,821210 ns
after_local_cswitch,0,4,3,0,-5,821210 ns
after_local_cswitch,0,5,2,0,6,821210 ns
after_local_cswitch,0,6,1,0,-5,821210 ns
after_local_cswitch,0,7,0,0,-9,821210 ns
after_local_cswitch,0,0,3,0,0,821210 ns
after_local_cswitch,0,1,2,0,5,821210 ns
after_local_cswitch,0,2,1,0,-12,821210 ns
after_local_cswitch,0,3,0,0,-13,821210 ns
after_local_cswitch,0,4,3,0,-5,821210 ns
after_local_cswitch,0,5,2,0,6,821210 ns
after_local_cswitch,0,6,1,0,-5,821210 ns
after_local_cswitch,0,7,0,0,-9,821210 ns
after_local_cswitch,0,0,4,0,8,821220 ns
after_local_cswitch,0,1,3,0,-4,821220 ns
after_local_cswitch,0,2,2,0,1,821220 ns
after_local_cswitch,0,3,1,0,-3,821220 ns
after_local_cswitch,0,4,4,0,14,821220 ns
after_local_cswitch,0,5,3,0,0,821220 ns
after_local_cswitch,0,6,2,0,-3,821220 ns
after_local_cswitch,0,7,1,0,-11,821220 ns
after_local_cswitch,0,0,4,0,8,821220 ns
after_local_cswitch,0,1,3,0,-4,821220 ns
after_local_cswitch,0,2,2,0,1,821220 ns
after_local_cswitch,0,3,1,0,-3,821220 ns
after_local_cswitch,0,4,4,0,14,821220 ns
after_local_cswitch,0,5,3,0,0,821220 ns
after_local_cswitch,0,6,2,0,-3,821220 ns
after_local_cswitch,0,7,1,0,-11,821220 ns
after_local_cswitch,0,0,4,0,8,821220 ns
after_local_cswitch,0,1,3,0,-4,821220 ns
after_local_cswitch,0,2,2,0,1,821220 ns
after_local_cswitch,0,3,1,0,-3,821220 ns
after_local_cswitch,0,4,4,0,14,821220 ns
after_local_cswitch,0,5,3,0,0,821220 ns
after_local_cswitch,0,6,2,0,-3,821220 ns
after_local_cswitch,0,7,1,0,-11,821220 ns
after_local_cswitch,0,0,5,0,0,821230 ns
after_local_cswitch,0,1,4,0,20,821230 ns
after_local_cswitch,0,2,3,0,-5,821230 ns
after_local_cswitch,0,3,2,0,17,821230 ns
after_local_cswitch,0,4,5,0,-6,821230 ns
after_local_cswitch,0,5,4,0,6,821230 ns
after_local_cswitch,0,6,3,0,14,821230 ns
after_local_cswitch,0,7,2,0,-22,821230 ns
after_local_cswitch,0,0,5,0,0,821230 ns
after_local_cswitch,0,1,4,0,20,821230 ns
after_local_cswitch,0,2,3,0,-5,821230 ns
after_local_cswitch,0,3,2,0,17,821230 ns
after_local_cswitch,0,4,5,0,-6,821230 ns
after_local_cswitch,0,5,4,0,6,821230 ns
after_local_cswitch,0,6,3,0,14,821230 ns
after_local_cswitch,0,7,2,0,-22,821230 ns
after_local_cswitch,0,0,5,0,0,821230 ns
after_local_cswitch,0,1,4,0,20,821230 ns
after_local_cswitch,0,2,3,0,-5,821230 ns
after_local_cswitch,0,3,2,0,17,821230 ns
after_local_cswitch,0,4,5,0,-6,821230 ns
after_local_cswitch,0,5,4,0,6,821230 ns
after_local_cswitch,0,6,3,0,14,821230 ns
after_local_cswitch,0,7,2,0,-22,821230 ns
after_local_cswitch,0,0,6,0,8,821240 ns
after_local_cswitch,0,1,5,0,-6,821240 ns
after_local_cswitch,0,2,4,0,-2,821240 ns
after_local_cswitch,0,3,3,0,-6,821240 ns
after_local_cswitch,0,4,6,0,-9,821240 ns
after_local_cswitch,0,5,5,0,7,821240 ns
after_local_cswitch,0,6,4,0,0,821240 ns
after_local_cswitch,0,7,3,0,-4,821240 ns
after_local_cswitch,0,0,6,0,8,821240 ns
after_local_cswitch,0,1,5,0,-6,821240 ns
after_local_cswitch,0,2,4,0,-2,821240 ns
after_local_cswitch,0,3,3,0,-6,821240 ns
after_local_cswitch,0,4,6,0,-9,821240 ns
after_local_cswitch,0,5,5,0,7,821240 ns
after_local_cswitch,0,6,4,0,0,821240 ns
after_local_cswitch,0,7,3,0,-4,821240 ns
after_local_cswitch,0,0,6,0,8,821240 ns
after_local_cswitch,0,1,5,0,-6,821240 ns
after_local_cswitch,0,2,4,0,-2,821240 ns
after_local_cswitch,0,3,3,0,-6,821240 ns
after_local_cswitch,0,4,6,0,-9,821240 ns
after_local_cswitch,0,5,5,0,7,821240 ns
after_local_cswitch,0,6,4,0,0,821240 ns
after_local_cswitch,0,7,3,0,-4,821240 ns
after_local_cswitch,0,0,7,0,-10,821250 ns
after_local_cswitch,0,1,6,0,-1,821250 ns
after_local_cswitch,0,2,5,0,1,821250 ns
after_local_cswitch,0,3,4,0,16,821250 ns
after_local_cswitch,0,4,7,0,6,821250 ns
after_local_cswitch,0,5,6,0,-16,821250 ns
after_local_cswitch,0,6,5,0,13,821250 ns
after_local_cswitch,0,7,4,0,13,821250 ns
after_local_cswitch,0,0,7,0,-10,821250 ns
after_local_cswitch,0,1,6,0,-1,821250 ns
after_local_cswitch,0,2,5,0,1,821250 ns
after_local_cswitch,0,3,4,0,16,821250 ns
after_local_cswitch,0,4,7,0,6,821250 ns
after_local_cswitch,0,5,6,0,-16,821250 ns
after_local_cswitch,0,6,5,0,13,821250 ns
after_local_cswitch,0,7,4,0,13,821250 ns
after_local_cswitch,0,0,7,0,-10,821250 ns
after_local_cswitch,0,1,6,0,-1,821250 ns
after_local_cswitch,0,2,5,0,1,821250 ns
after_local_cswitch,0,3,4,0,16,821250 ns
after_local_cswitch,0,4,7,0,6,821250 ns
after_local_cswitch,0,5,6,0,-16,821250 ns
after_local_cswitch,0,6,5,0,13,821250 ns
after_local_cswitch,0,7,4,0,13,821250 ns
after_local_cswitch,0,0,8,0,-1,821260 ns
after_local_cswitch,0,1,7,0,-5,821260 ns
after_local_cswitch,0,2,6,0,-6,821260 ns
after_local_cswitch,0,3,5,0,-3,821260 ns
after_local_cswitch,0,4,8,0,-8,821260 ns
after_local_cswitch,0,5,7,0,0,821260 ns
after_local_cswitch,0,6,6,0,-1,821260 ns
after_local_cswitch,0,7,5,0,-12,821260 ns
after_local_cswitch,0,0,8,0,-1,821260 ns
after_local_cswitch,0,1,7,0,-5,821260 ns
after_local_cswitch,0,2,6,0,-6,821260 ns
after_local_cswitch,0,3,5,0,-3,821260 ns
after_local_cswitch,0,4,8,0,-8,821260 ns
after_local_cswitch,0,5,7,0,0,821260 ns
after_local_cswitch,0,6,6,0,-1,821260 ns
after_local_cswitch,0,7,5,0,-12,821260 ns
after_local_cswitch,0,0,8,0,-1,821260 ns
after_local_cswitch,0,1,7,0,-5,821260 ns
after_local_cswitch,0,2,6,0,-6,821260 ns
after_local_cswitch,0,3,5,0,-3,821260 ns
after_local_cswitch,0,4,8,0,-8,821260 ns
after_local_cswitch,0,5,7,0,0,821260 ns
after_local_cswitch,0,6,6,0,-1,821260 ns
after_local_cswitch,0,7,5,0,-12,821260 ns
after_local_cswitch,0,0,9,0,2,821270 ns
after_local_cswitch,0,1,8,0,-1,821270 ns
after_local_cswitch,0,2,7,0,0,821270 ns
after_local_cswitch,0,3,6,0,-1,821270 ns
after_local_cswitch,0,4,9,0,4,821270 ns
after_local_cswitch,0,5,8,0,-3,821270 ns
after_local_cswitch,0,6,7,0,0,821270 ns
after_local_cswitch,0,7,6,0,-13,821270 ns
after_local_cswitch,0,0,9,0,2,821270 ns
after_local_cswitch,0,1,8,0,-1,821270 ns
after_local_cswitch,0,2,7,0,0,821270 ns
after_local_cswitch,0,3,6,0,-1,821270 ns
after_local_cswitch,0,4,9,0,4,821270 ns
after_local_cswitch,0,5,8,0,-3,821270 ns
after_local_cswitch,0,6,7,0,0,821270 ns
after_local_cswitch,0,7,6,0,-13,821270 ns
after_local_cswitch,0,0,9,0,2,821270 ns
after_local_cswitch,0,1,8,0,-1,821270 ns
after_local_cswitch,0,2,7,0,0,821270 ns
after_local_cswitch,0,3,6,0,-1,821270 ns
after_local_cswitch,0,4,9,0,4,821270 ns
after_local_cswitch,0,5,8,0,-3,821270 ns
after_local_cswitch,0,6,7,0,0,821270 ns
after_local_cswitch,0,7,6,0,-13,821270 ns
after_local_cswitch,0,0,10,0,0,821280 ns
after_local_cswitch,0,1,9,0,-3,821280 ns
after_local_cswitch,0,2,8,0,-4,821280 ns
after_local_cswitch,0,3,7,0,-1,821280 ns
after_local_cswitch,0,4,10,0,-4,821280 ns
after_local_cswitch,0,5,9,0,-1,821280 ns
after_local_cswitch,0,6,8,0,-6,821280 ns
after_local_cswitch,0,7,7,0,10,821280 ns
after_local_cswitch,0,0,10,0,0,821280 ns
after_local_cswitch,0,1,9,0,-3,821280 ns
after_local_cswitch,0,2,8,0,-4,821280 ns
after_local_cswitch,0,3,7,0,-1,821280 ns
after_local_cswitch,0,4,10,0,-4,821280 ns
after_local_cswitch,0,5,9,0,-1,821280 ns
after_local_cswitch,0,6,8,0,-6,821280 ns
after_local_cswitch,0,7,7,0,10,821280 ns
after_local_cswitch,0,0,10,0,0,821280 ns
after_local_cswitch,0,1,9,0,-3,821280 ns
after_local_cswitch,0,2,8,0,-4,821280 ns
after_local_cswitch,0,3,7,0,-1,821280 ns
after_local_cswitch,0,4,10,0,-4,821280 ns
after_local_cswitch,0,5,9,0,-1,821280 ns
after_local_cswitch,0,6,8,0,-6,821280 ns
after_local_cswitch,0,7,7,0,10,821280 ns
after_local_cswitch,0,0,11,0,2,821290 ns
after_local_cswitch,0,1,10,0,-7,821290 ns
after_local_cswitch,0,2,9,0,2,821290 ns
after_local_cswitch,0,3,8,0,15,821290 ns
after_local_cswitch,0,4,11,0,-3,821290 ns
