context,out_tile,k,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15
0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,1,0,-2,-2,1,0,-2,0,0,-1,0,-1,0,0,0,0,-1
0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1
0,0,3,0,0,1,0,1,0,-1,0,0,0,2,0,0,0,0,0
0,0,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
0,0,5,0,0,0,1,0,0,0,-1,0,0,0,0,-1,1,-1,0
0,0,6,1,0,2,-1,0,-1,-1,0,-2,0,0,-1,-1,0,0,0
0,0,7,0,2,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0
0,0,8,-2,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0
0,0,9,0,0,0,-1,0,-1,1,0,-1,2,0,0,0,0,0,0
0,0,10,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,0
0,0,11,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,0,0,-1
0,0,12,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,-1,1,-1
0,0,13,-1,-1,0,0,0,0,0,0,0,1,0,-1,-1,1,0,0
0,0,14,1,0,1,0,-1,0,0,0,0,0,0,0,1,-1,-1,0
0,0,15,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
0,0,16,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1
0,0,17,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0
0,0,18,0,0,1,0,0,-1,0,0,1,0,0,1,1,-1,1,0
0,0,19,1,0,0,0,2,0,1,1,0,-1,1,1,1,0,1,-2
0,0,20,2,0,2,0,0,0,2,0,2,-1,0,-1,0,0,0,0
0,0,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,22,1,0,0,0,-2,0,1,0,0,-1,0,0,0,0,-1,1
0,0,23,0,0,0,0,-1,1,1,0,0,0,0,-1,-1,0,-1,0
0,0,24,0,0,0,-1,0,-1,1,-2,0,0,0,0,0,0,0,0
0,0,25,-1,-2,0,0,0,0,-1,2,0,-1,0,0,0,2,0,0
0,0,26,0,0,0,-1,2,-1,0,0,-1,0,0,-3,0,0,1,0
0,0,27,-1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
0,0,28,1,-2,0,0,0,-1,0,0,0,0,0,2,0,1,0,0
0,0,29,1,0,1,0,-1,-2,-1,0,-1,-1,0,-2,0,0,0,0
0,0,30,2,0,-1,-1,0,0,-1,-1,0,0,0,2,1,0,0,0
0,0,31,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,-1
0,0,32,0,2,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
0,0,33,1,0,1,0,0,0,0,1,0,-1,0,-1,0,-1,0,1
0,0,34,0,0,0,0,-2,0,0,0,0,0,0,1,1,1,0,0
0,0,35,0,-1,0,1,0,0,-1,0,-1,0,0,1,0,-1,-2,0
0,0,36,0,0,0,1,0,0,1,1,1,0,0,-1,-1,0,0,-2
0,0,37,0,1,0,1,-1,1,0,0,0,0,0,0,0,-1,-2,0
0,0,38,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,2
0,0,39,-1,0,0,1,-1,0,1,-2,0,0,0,0,0,0,1,0
0,0,40,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0
0,0,41,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0
0,0,42,0,-1,2,0,0,-1,0,1,0,0,0,0,0,0,0,0
0,0,43,-2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
0,0,44,1,1,0,0,0,-1,0,-2,0,0,0,0,0,1,0,-2
0,0,45,0,0,1,0,1,0,0,-1,0,0,1,0,1,-1,1,0
0,0,46,0,0,2,0,0,0,0,0,0,-1,-1,0,0,-1,0,0
0,0,47,1,0,0,0,0,0,1,-1,-1,0,0,0,0,1,-1,0
0,0,48,0,0,0,0,-1,0,1,1,1,0,1,0,0,0,0,0
0,0,49,0,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0
0,0,50,-2,0,0,0,0,0,0,0,2,-1,0,0,1,0,1,0
0,0,51,1,0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,-1
0,0,52,-1,0,0,0,1,-1,0,1,0,-2,0,0,0,-1,0,0
0,0,53,0,0,0,0,0,-1,0,1,-1,-1,0,0,0,0,0,0
0,0,54,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1
0,0,55,1,0,0,0,-2,2,0,0,-1,0,0,0,0,-1,0,0
0,0,56,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0
0,0,57,0,0,0,-1,1,0,1,1,1,0,0,0,-2,-1,0,0
0,0,58,-1,0,0,0,1,0,0,0,0,0,0,1,-1,0,1,0
0,0,59,0,0,-1,0,2,-1,0,-1,0,0,0,1,1,-1,0,1
0,0,60,0,0,2,1,0,2,-1,0,0,1,0,0,0,0,0,-2
0,0,61,0,1,0,-1,1,-1,0,0,0,0,0,1,0,-1,0,0
0,0,62,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,-1
0,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
