context,k,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31
0,0,12,-113,-85,-112,97,114,89,-67,-112,-120,45,-49,-46,-28,-50,-95,22,-19,41,-123,52,81,71,11,98,46,81,41,77,-7,22,80
0,1,-118,-117,-28,-67,22,-51,64,-34,-19,34,68,127,-111,29,-16,104,73,90,-121,63,-22,87,50,-67,-77,53,-92,-110,-7,118,-50,-81
0,2,35,-74,-114,92,77,-32,-98,-30,-118,68,102,-108,-94,-92,95,47,71,-6,-127,-102,86,126,60,-41,126,-30,27,-65,-2,51,116,-125
0,3,-20,-115,-120,80,75,118,-120,79,-95,117,65,18,-12,24,75,-116,106,-30,40,-105,-25,-53,99,108,70,110,-50,-122,-7,-32,-75,-92
0,4,65,-113,99,54,92,27,65,-23,-117,-39,-101,-6,126,80,38,-35,-126,4,-47,80,-122,-49,-18,91,9,-40,-22,68,-7,111,-92,67
0,5,78,81,-73,121,-31,-74,102,15,69,69,-33,-26,62,5,18,-70,27,80,-99,-78,5,-87,-40,28,29,-23,116,-126,-89,127,-15,72
0,6,96,92,-43,109,98,57,103,57,72,120,-100,-74,99,-63,92,77,108,73,27,20,-1,-21,72,4,-40,-54,126,-86,-105,-108,-52,63
0,7,-107,123,-9,24,10,49,-13,-91,117,70,115,-48,75,1,69,96,25,-106,119,-69,-102,-40,50,65,25,66,-4,36,-58,87,-68,-59
0,8,-17,-99,65,87,-52,69,17,33,97,108,89,-100,17,110,48,-43,-84,111,98,96,-29,-60,10,-51,96,83,-1,-34,-39,-30,-46,-8
0,9,-66,17,71,-109,-97,-66,114,-90,63,91,-118,-45,-8,-124,-26,30,-33,55,17,-26,44,73,42,126,-72,1,-127,115,116,96,-117,-41
0,10,-77,-86,29,69,73,50,-89,100,-65,1,-73,-7,-1,-15,-104,-93,15,-29,83,-27,-96,23,16,117,-49,-69,2,-32,-121,55,-71,-119
0,11,-36,-10,-7,48,115,-22,-105,-97,76,-26,-66,-94,-64,-18,-105,-6,-106,-29,-91,-86,105,-28,123,101,-39,-54,22,25,-2,-94,-29,-34
0,12,6,-40,-118,-23,-84,113,82,93,-100,93,81,-109,-51,-114,-110,-47,-29,-9,-70,6,100,-28,107,115,49,-18,8,-18,-25,-21,-126,69
0,13,-43,18,123,79,-41,85,-49,21,104,71,68,-60,109,-86,33,-59,2,-65,39,-113,62,-70,125,-67,52,-75,-72,6,-96,-95,-88,25
0,14,-117,4,43,31,-109,49,113,18,-84,1,-16,4,-27,-16,-127,121,-77,124,107,105,-105,43,-6,70,113,-58,-13,-122,-50,83,-85,-12
0,15,61,-60,108,-45,-46,86,27,106,5,47,104,-28,37,-95,-79,-11,93,9,-85,-100,93,-116,-31,-17,70,73,-53,99,10,107,7,-5
0,16,-75,111,-29,-126,79,58,-83,-69,69,-93,57,107,125,44,86,51,-46,-63,-107,46,110,-127,41,87,-52,-83,-14,111,23,64,-7,-76
0,17,-1,-88,-97,-94,-70,83,40,17,-115,34,69,-40,-46,94,-31,-73,-38,-92,41,110,39,-123,-113,-119,83,-122,13,9,5,-3,96,98
0,18,87,-127,16,28,-88,-41,14,-118,103,119,-95,-27,-33,15,-28,-102,30,8,-24,12,-80,-52,55,-66,-90,-64,120,86,3,40,102,48
0,19,-8,-83,109,-29,69,29,82,-55,-62,-120,-114,120,20,-108,46,-83,-122,55,56,52,115,126,-96,60,125,54,-86,12,-97,-2,-116,-65
0,20,114,104,104,-69,-49,-47,-100,120,-70,3,79,1,-47,-16,109,123,-101,-69,-86,36,119,-23,-28,69,-68,-19,49,-104,18,-73,-112,2
0,21,115,-35,87,28,-80,-78,-113,-16,-35,55,10,-110,-18,17,-88,-32,-7,-101,78,93,40,77,59,-14,-82,-116,123,69,-39,72,-36,-109
0,22,-106,124,123,-51,93,76,-81,33,-42,16,127,60,-66,10,-123,113,60,83,26,83,-125,76,-50,-65,-124,111,68,-23,36,18,111,-114
0,23,-87,40,-102,-1,-34,124,53,19,8,-78,89,-56,10,-1,-62,-108,-1,84,101,12,-108,19,112,6,-118,-77,59,49,113,123,32,-93
0,24,78,12,-21,-117,-74,-120,-104,-117,-110,-16,10,125,73,81,88,-34,-34,47,-99,65,-126,-75,-124,-94,-54,-66,4,79,-74,111,57,-63
0,25,113,125,-100,-73,-125,-118,47,71,-107,-110,-97,97,72,0,11,-106,-29,-82,-50,-74,-116,29,-117,102,-43,-83,81,112,29,114,-1,82
0,26,126,108,-105,-100,114,-95,77,7,83,91,-53,9,65,49,-38,71,-13,69,-33,-36,77,-14,106,-11,-23,11,-89,13,92,100,-12,127
0,27,-74,24,74,92,64,116,-101,-113,-71,-86,99,16,-89,64,-119,44,33,-86,17,-110,-105,89,-8,51,-89,-7,42,-123,-62,24,-89,75
0,28,87,-125,-32,-73,-93,45,26,-37,-59,65,-64,53,45,-104,-117,89,-104,-6,-74,118,121,114,-82,-121,-34,-105,113,-31,-68,-106,-53,7
0,29,-67,-34,110,-24,40,73,-56,62,28,60,-75,-79,125,43,74,-122,80,-117,-95,-30,-116,-100,-97,-56,118,122,14,-102,9,-81,-60,-24
0,30,-32,38,-78,-94,-19,-117,-25,-120,81,-41,-102,24,111,-120,-14,86,92,-16,-107,-69,28,13,17,-64,-30,-66,-117,41,39,-103,94,81
0,31,67,108,120,95,80,36,124,52,-34,50,-84,-54,-110,110,20,7,13,-35,-100,-23,-60,-107,95,22,-83,63,59,61,-16,27,-105,42
0,32,84,-84,-31,-20,-81,-91,-89,79,108,-53,-40,-23,-68,38,18,30,-119,-23,8,-30,87,-91,-38,-13,93,87,-101,-35,104,-77,-88,-98
0,33,119,-22,-79,-97,-10,-2,-77,-29,-120,97,-95,63,-113,-74,-16,-7,104,127,-79,-27,73,108,0,53,120,127,-47,65,40,109,-105,-43
0,34,122,-14,-84,-21,-116,-107,-50,116,95,-49,107,-19,-39,-61,-115,49,-27,8,-17,-55,26,-49,11,-106,-75,28,56,114,22,-108,41,86
0,35,-13,84,82,-87,5,125,123,-32,25,68,-41,118,52,76,96,-7,31,-8,-43,-69,-112,26,-37,87,82,58,66,-96,81,-73,9,67
0,36,-63,-27,-3,39,39,-39,-74,-13,37,5,-39,-106,-86,-29,52,115,19,56,118,-101,14,-61,39,-34,-65,-35,85,-40,-42,91,96,103
0,37,77,-51,-39,-24,8,-55,-82,-66,84,-5,90,-16,6,44,65,113,-4,113,-18,77,-55,-82,99,-71,-67,-31,-73,98,52,-43,-10,57
0,38,-112,0,125,31,-29,-4,-39,13,47,74,104,54,31,-39,-93,-83,-117,-73,0,-54,-104,84,120,-113,127,-9,-11,-36,-117,-84,-105,-27
0,39,-58,74,92,-35,-8,-50,113,-46,-1,-5,-86,120,67,-67,1,116,39,46,7,91,-98,10,111,106,-71,13,60,-32,-101,15,-97,68
0,40,-54,67,13,10,-121,78,116,22,26,122,126,-116,-47,59,-6,-29,38,-74,-48,-33,-76,-88,81,-51,114,121,111,107,3,-49,-49,101
0,41,-12,27,54,-61,81,-25,-102,118,102,-64,52,-105,-82,10,-103,4,4,-44,96,27,62,-11,114,-69,102,7,6,-19,-1,14,32,-1
0,42,-76,52,52,-39,76,126,-60,-123,32,-83,118,122,11,-18,111,108,-105,69,112,5,-100,62,127,-64,-27,83,-11,16,-48,-39,-33,-50
0,43,-107,104,40,-114,76,103,20,-115,32,-48,109,-98,-94,-9,55,-104,-38,86,-14,44,-61,127,-71,-17,-101,-98,104,78,88,52,17,13
0,44,-49,-51,-25,110,-121,-14,-55,-87,-75,-77,7,-101,-79,23,103,67,-103,121,-39,-107,-89,71,68,-17,10,20,-74,37,-35,-86,46,-31
0,45,98,6,-35,126,-113,59,45,79,28,-63,113,12,74,50,25,-43,-123,72,-17,-79,-108,-17,-77,28,-120,-98,-4,-90,-58,54,-118,82
0,46,94,-108,102,78,-86,30,58,5,-55,107,28,-102,35,-89,-29,-41,-121,56,-7,96,-90,27,-31,57,80,97,74,-33,-36,-24,112,36
0,47,-59,26,53,109,105,4,-35,90,-84,-81,-47,51,11,-12,-80,-43,56,93,-71,-82,55,-63,88,-28,44,124,49,-19,-6,6,-22,-74
0,48,-24,12,126,-119,-71,-71,-73,64,54,-4,120,28,-73,-25,100,95,104,-124,-35,65,-1,95,49,-44,-22,-106,73,8,90,-125,-90,-31
0,49,-53,-120,67,80,-14,-116,75,9,97,87,-7,105,10,-39,18,-86,-123,0,51,-44,-6,-36,98,29,-47,38,-120,36,-66,123,-113,27
0,50,-88,105,94,121,56,-28,113,45,76,-111,-3,110,-79,-47,17,-26,-51,69,-3,108,-9,-105,42,-83,50,50,111,-83,-69,-45,36,-48
0,51,-83,-72,-21,-12,48,19,-23,-10,-66,59,45,-64,-39,-31,-90,106,-31,-113,26,-17,77,76,73,74,-49,-85,30,-43,-99,-96,57,-6
0,52,127,-89,-68,19,-100,106,-6,10,-1,-13,-9,-105,-98,-15,24,-84,-106,108,41,-94,16,-29,-70,3,-14,-24,121,85,-124,87,-109,125
0,53,-77,-26,27,73,-29,-85,-28,-65,80,78,98,-29,29,13,113,88,-102,-41,-92,117,-54,-82,-83,28,-4,81,89,-64,52,-126,101,14
0,54,-53,-66,47,12,-43,-12,7,47,88,-64,-55,-123,-109,33,78,-121,112,-56,33,18,-6,-83,34,-26,-109,-109,-83,57,103,-104,33,-58
0,55,107,96,-108,-78,7,-36,-11,7,44,56,58,86,12,13,38,7,107,-15,32,97,-79,114,112,69,-57,97,94,-28,109,112,-70,-79
0,56,-113,-89,-33,74,50,63,-8,-76,-33,-9,69,85,-116,-66,11,-110,-6,-11,-87,122,-33,54,120,116,12,77,77,-114,-47,-59,124,-101
0,57,65,102,-71,-92,-81,-81,-111,-18,26,-61,107,-111,-118,89,29,-114,-29,77,108,72,-3,-26,-87,65,-52,-114,-46,-51,-18,93,-44,-31
0,58,-52,95,-116,-76,70,111,-67,87,-110,80,111,-75,-55,7,59,126,66,-63,65,-36,24,-87,83,50,27,10,-54,16,-37,1,-53,86
0,59,69,99,-106,72,-114,-103,-86,55,-59,80,45,-66,-71,-114,-114,-35,16,83,83,29,-91,66,-110,102,-48,73,-72,126,-61,15,-122,-38
0,60,89,125,27,104,22,-95,-7,-1,61,1,98,124,-25,-39,82,18,67,41,-79,-70,88,45,7,121,-75,119,94,72,-127,43,-42,-110
0,61,69,69,58,-59,-43,98,98,-40,-92,111,55,-11,-78,-127,-84,71,54,-50,115,-11,25,80,19,122,97,-7,55,-77,-70,-116,55,-54
0,62,-18,49,-33,24,59,-111,93,92,-108,-95,-123,20,-21,-114,95,18,85,-101,93,52,75,29,53,26,-120,-4,-93,15,108,6,110,-100
0,63,65,-48,-53,-94,43,-119,-88,-127,10,-8,-88,79,61,-31,71,127,68,88,-121,-21,-108,83,99,-127,91,117,15,-113,-54,-24,-9,-64
