write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19,lane20,lane21,lane22,lane23,lane24,lane25,lane26,lane27,lane28,lane29,lane30,lane31,lane32,lane33,lane34,lane35,lane36,lane37,lane38,lane39,lane40,lane41,lane42,lane43,lane44,lane45,lane46,lane47,lane48,lane49,lane50,lane51,lane52,lane53,lane54,lane55,lane56,lane57,lane58,lane59,lane60,lane61,lane62,lane63
0,0,0,0,-2378,-24449,-96053,-98483,-127880,51920,28094,68247,32363,-55795,-84870,6937,75269,64024,-77363,-69539,-52721,-133431,75712,-79144,-40886,40296,-68221,32572,30037,-146834,-9563,135192,105343,-162839,13857,16247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51232,57335,53550,49009,-110063,99820,-21761,-56721,-215,107433,-24749,-2679,24930,71395,-89086,44178,55930,18481,85927,-39090,-95104,58814,-38963,-54882,-23974,-31477,49995,-91131,-79483,3347,-66248,-16115
2,0,1,1,-7075,-75347,52554,1673,-74846,-4337,6429,73824,96383,62126,-49689,16802,105719,-49465,53379,-58811,83034,23117,-69716,4313,129958,-150318,92197,-177969,-42581,71344,31951,56293,-31318,70567,-40770,-82337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25196,16944,8191,-116842,22873,56728,-90561,-25176,-61638,41970,-77569,-42159,-165130,33723,109521,-10944,-28061,5166,30676,-32067,25357,-19408,133763,127116,101775,-37264,29044,-22986,-86097,-6753,-33285,-11479
4,0,2,2,-10148,-43538,-87344,-45464,37058,39111,-17171,-781,103471,-59200,-52486,12911,125525,-61816,-13371,27886,95983,6323,24656,-4067,23868,73853,98834,-32817,-67413,49419,108678,-3210,-60990,-48268,57947,-102961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95356,-10933,19374,59906,-16642,15181,-37124,108142,5147,-81712,-40241,-45647,133560,-81556,153227,-52520,-119250,26565,-30819,44234,24544,85445,39964,14201,91023,-128487,46965,-35804,-75501,31971,-15285,1247
6,0,3,3,111420,-96385,67333,-23135,-61092,26801,98286,-160527,-106660,-27066,-129312,-30820,136752,34187,3877,85877,-27381,-36799,-12216,9351,-52704,106325,29825,46277,-54428,-43766,91073,-77193,30572,21005,-26235,-97685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25174,18679,-49409,27890,-99683,67086,34381,-96175,-171338,-14288,-31853,60148,-62314,-37372,84607,20324,-9081,14053,-17985,65876,185368,43497,-2223,-114779,893,-13688,-24500,194928,-29554,-161510,73456,-7965
8,0,4,4,-57355,-98112,-103339,-107666,-101795,149749,84061,13766,-7669,-42761,-59168,-39307,-138274,-22713,-43519,54353,65025,-7916,-116246,149853,-73099,-15779,-116542,88570,43200,-103619,44339,186067,11629,113301,77460,-138187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65508,-154077,61517,-102571,-9947,-73226,210018,-80044,84387,94042,-16857,23414,-95269,260672,46305,-46488,129646,-30049,-118390,45597,-127542,55909,20018,-42667,-4254,-95246,-61753,80324,28968,67809,94459,67680
10,0,5,5,23634,-60618,41987,-35345,-30710,99881,36061,26296,63411,50503,23304,11822,-63003,-147533,55455,-183824,178927,159309,-16735,-40491,-53498,-33962,1368,-25272,-24220,-75850,-161600,49459,-101846,63028,-4002,30585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17582,-39540,-37733,107134,-22347,172556,162740,-74041,152309,174830,-185133,-42720,7421,130701,23912,133858,10317,-94988,-186387,-28777,8699,43667,67207,-37449,5922,-43618,8931,126349,8433,56340,-44208,57579
12,0,6,6,-54737,77785,-97124,55476,-62595,13738,1475,-90968,-12857,108654,-45561,13321,-43965,-61633,-61675,2675,-98511,54774,-13779,-22261,-34844,-112706,10709,-42009,86885,23568,28983,-91771,7890,10915,-115339,-15258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4727,52116,-12972,128198,3145,125598,25790,20922,-39334,-33754,177624,264258,-37854,33757,7812,-201902,-4260,-78742,29648,-92827,-41903,-26773,3035,27786,-86710,80223,-84818,29006,40731,47307,45787,12981
14,0,7,7,-27094,49484,105906,73558,-21970,-45425,25567,-31517,-57113,-42213,75502,-47219,-20494,33171,21415,-72709,28359,-106220,89106,105317,143466,-4917,-16838,-59005,88008,-111707,87966,-146769,101893,-230138,10526,-152281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12012,56652,-4314,-82647,-53191,70737,116914,15053,25756,56340,-27907,184891,89395,-30371,61696,-148275,26246,81914,105741,42490,-185311,70674,-42879,101822,45292,41335,-7905,-6843,115026,-156888,32000,-96091
16,0,8,8,-153192,-7385,34754,-47094,-41238,-85963,-78263,28343,61697,57835,62470,-111647,-29480,34304,8236,-34796,-63633,-215438,-77121,-2766,-15152,21464,13485,84211,106369,-5770,42424,79178,-48925,114298,56290,-73312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6059,45424,73097,-44063,76430,94802,1285,54418,-12211,14050,-109615,55985,-85619,90764,-121384,-17855,-44835,-233326,-43752,-29266,45014,73349,-64856,-4443,-109421,86139,-40123,76698,63680,-89148,98805,-70871
18,0,9,9,14602,39271,-17203,-22213,-68056,1200,-65069,5125,-5922,45492,35372,69887,51033,33872,37519,-19743,-8373,-6561,-61096,56079,9203,-26914,-33028,-10180,-22393,-71091,199071,78587,71499,19970,140837,-22695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,-65488,-13993,-39205,-25825,-53006,25665,-83541,-188909,-58848,165238,83300,2578,-53415,-66824,74209,-61095,-97954,102690,-3150,88756,53478,178508,-19537,-93141,-10266,49419,170755,33939,184647,8486,-61044
20,0,10,10,186462,-77013,139094,155715,38496,23176,157953,-45289,-120794,-33604,-176343,-66054,2448,54844,-76018,-99106,51862,-122527,108926,45442,-37455,90176,-120543,5297,110804,-105582,179557,16345,145175,24956,59386,36613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35602,-40784,-105806,5766,79787,-80781,48834,71657,26315,10453,-19122,9265,-887,-112252,-4444,87530,106224,143108,-68622,8987,205349,60231,36,46867,-26388,32666,54401,-113020,57352,105743,-26389,38910
22,0,11,11,-7519,-23262,-104370,172450,-12062,35523,-11343,92466,57420,-91045,-10067,124312,-108429,75506,328146,-58329,-87166,-134630,-136854,-147483,-278890,-63168,137763,27140,64558,48317,-44690,-163561,-7736,-1511,4096,-35884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39650,8637,-60885,97897,-8177,44748,-72289,134452,-91928,72875,210660,-60834,4158,41201,24976,-27568,14349,-104892,-135681,-77973,-50371,65859,-56860,65520,92600,129521,-51191,-3288,-13477,-93422,-12947,64240
24,0,12,12,-3743,-42010,-122374,-77327,40631,77824,40089,-71052,84278,64597,49587,-34116,6231,-101255,8976,-4765,-102344,-83437,-52023,-41657,-185647,-2846,-86439,-692,9849,4812,5734,51741,158325,-39879,-55028,13807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28477,-35889,-90676,13679,48729,74673,91432,-57976,-268467,105785,34407,99718,96741,11801,-248185,-20818,39693,-26240,64258,-83294,-119463,87891,72209,18955,21457,36799,-37531,112303,48426,-138797,-94829,-31608
26,0,13,13,89644,128412,130235,104759,55221,-136640,2922,-20920,-74883,-66067,85885,101272,-15394,101095,-8754,75931,-67240,-115852,-98476,-9698,-146809,76460,-19177,39826,68664,-23865,-84152,-1193,-159005,71587,-118278,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73546,-1117,-14299,-7956,214393,52228,-101637,31870,-54772,-24118,-25384,-51557,82369,-65754,46729,109716,-65230,44268,-86994,44693,45038,117925,-51247,11791,-76670,-23325,90571,-69810,-43609,-5456,-186826,178665
28,0,14,14,-100941,-156571,4787,128736,-118334,-3425,128152,-74730,-67157,-95141,-40642,212440,-27175,51794,-108669,58003,31760,19759,-34417,-48375,118362,-86327,195543,21841,-68913,39614,-154301,117162,21805,-96200,135425,-160463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91029,99167,-70064,-1205,-7559,-91231,50,-146700,-150532,33970,-56737,-11526,-50775,12162,12884,-133281,104814,-27942,-38762,-6097,161995,-93870,118222,182060,31793,-60199,-3817,-98160,-45809,180863,-17287,-93826
30,0,15,15,-100826,148598,-52213,-48293,73677,133529,118986,-29747,-22999,-74645,-38972,-23673,-146986,-100331,29751,-38374,2105,-7443,-25525,-71228,-31117,-172683,16731,-55961,-259904,52814,147,40875,57395,466,48609,-128152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16315,-139729,34699,-137396,146645,146882,-93661,-36275,37278,172333,52395,76795,31257,-113802,30153,25515,-35857,-46724,60333,-112101,38713,-71356,79769,38889,-8221,-13829,42168,14132,-36687,-133482,50607,-163361
32,0,16,16,141070,97983,44084,-38071,13055,-216237,-162206,-98850,-138112,12190,49675,-54765,-8209,77349,76820,81110,100920,-57918,-69560,-175017,-103726,61685,-85550,169590,75180,49050,-84263,3846,5651,49975,-104941,113855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-138634,35717,13697,55872,-10048,-84358,-18804,126375,-42233,129154,-27158,48576,-41005,-97488,21698,53821,79388,-15988,53169,-1710,-110457,-129937,6575,144773,-119609,16916,51970,47108,-18860,92450,-115385,60186
34,0,17,17,41396,91145,-11696,31596,-57378,270542,76581,-29019,-18717,-114339,47413,44075,99679,127850,36603,60802,111160,13435,-19289,22799,-19766,-17434,-105957,93369,51723,18746,-143306,-33826,73867,159844,-132267,64588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18983,80165,-5838,482,64147,-41139,87606,13029,-47528,-95777,31729,-37591,103664,-72159,-4851,-40841,7046,168740,25729,21146,128234,124878,124800,-211514,159633,-17747,100836,-67520,-52466,-58377,54338,120011
36,0,18,18,-70121,-154126,264425,-94082,-44965,35446,77405,13945,42782,11023,-83229,149127,-97925,-138214,-108625,129712,69076,-64572,-8638,-20717,117176,-79053,-50398,-168644,-39819,-28362,-126570,-18787,-49781,-70367,-122238,26216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52158,132914,19706,104981,73652,-3293,-50106,111835,28262,146858,13792,48135,-87779,-76039,150848,-78918,-30274,-132411,-2279,103126,-231622,-42315,-10664,-40888,-18889,28548,3927,28326,-92843,-86422,-32939,87818
38,0,19,19,53240,-142588,44940,-58971,-20565,3117,81052,72845,-92913,43707,-476,36685,-72888,84051,19725,51779,-64505,-45236,-13958,31547,16641,-84489,-234040,2176,76590,-37396,145128,157858,-56000,133605,94977,-19081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109660,-56485,-56811,-111447,-32894,-48398,79119,88050,-7638,258491,57497,196263,-16266,-87485,-8848,-54873,110303,-56864,-12486,-22170,-114624,-125775,-6058,-118381,-53862,-39171,-29201,261877,-145933,100777,52624,-66306
40,0,20,20,-39362,98709,90253,153211,19154,128576,-3689,-228774,-128138,15225,-146248,131902,-96213,-69180,89361,23202,-20789,29019,-14683,33190,188459,-58625,79943,-207687,-18855,86615,-40995,-42975,-43893,2200,93475,75893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47702,46543,-52174,-74064,49948,49177,29747,-32544,53395,47445,-75379,15250,41062,-77416,33406,-58391,-174561,-34216,25178,35764,-50415,107035,-29554,-92733,147619,18744,23266,12494,105945,-87970,70175,-74210
42,0,21,21,22823,-72705,-855,-35420,94539,-43504,-21571,95713,12264,31032,35621,30003,-54749,136781,125570,72151,15754,-123407,100481,40141,50531,158485,-125287,-127521,-1897,-40764,70775,-107281,12129,-90143,-120939,-46344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
