tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,-2378,6105380 ns
after_local_cswitch,0,32,0,0,-51232,6105380 ns
after_local_cswitch,0,0,0,0,-2378,6105380 ns
after_local_cswitch,0,32,0,0,-51232,6105380 ns
after_local_cswitch,0,0,0,0,-2378,6105380 ns
after_local_cswitch,0,32,0,0,-51232,6105380 ns
after_local_cswitch,0,0,1,0,-7075,6105390 ns
after_local_cswitch,0,1,0,0,-24449,6105390 ns
after_local_cswitch,0,32,1,0,25196,6105390 ns
after_local_cswitch,0,33,0,0,57335,6105390 ns
after_local_cswitch,0,0,1,0,-7075,6105390 ns
after_local_cswitch,0,1,0,0,-24449,6105390 ns
after_local_cswitch,0,32,1,0,25196,6105390 ns
after_local_cswitch,0,33,0,0,57335,6105390 ns
after_local_cswitch,0,0,1,0,-7075,6105390 ns
after_local_cswitch,0,1,0,0,-24449,6105390 ns
after_local_cswitch,0,32,1,0,25196,6105390 ns
after_local_cswitch,0,33,0,0,57335,6105390 ns
after_local_cswitch,0,0,2,0,-10148,6105400 ns
after_local_cswitch,0,1,1,0,-75347,6105400 ns
after_local_cswitch,0,2,0,0,-96053,6105400 ns
after_local_cswitch,0,32,2,0,95356,6105400 ns
after_local_cswitch,0,33,1,0,16944,6105400 ns
after_local_cswitch,0,34,0,0,53550,6105400 ns
after_local_cswitch,0,0,2,0,-10148,6105400 ns
after_local_cswitch,0,1,1,0,-75347,6105400 ns
after_local_cswitch,0,2,0,0,-96053,6105400 ns
after_local_cswitch,0,32,2,0,95356,6105400 ns
after_local_cswitch,0,33,1,0,16944,6105400 ns
after_local_cswitch,0,34,0,0,53550,6105400 ns
after_local_cswitch,0,0,2,0,-10148,6105400 ns
after_local_cswitch,0,1,1,0,-75347,6105400 ns
after_local_cswitch,0,2,0,0,-96053,6105400 ns
after_local_cswitch,0,32,2,0,95356,6105400 ns
after_local_cswitch,0,33,1,0,16944,6105400 ns
after_local_cswitch,0,34,0,0,53550,6105400 ns
after_local_cswitch,0,0,3,0,111420,6105410 ns
after_local_cswitch,0,1,2,0,-43538,6105410 ns
after_local_cswitch,0,2,1,0,52554,6105410 ns
after_local_cswitch,0,3,0,0,-98483,6105410 ns
after_local_cswitch,0,32,3,0,-25174,6105410 ns
after_local_cswitch,0,33,2,0,-10933,6105410 ns
after_local_cswitch,0,34,1,0,8191,6105410 ns
after_local_cswitch,0,35,0,0,49009,6105410 ns
after_local_cswitch,0,0,3,0,111420,6105410 ns
after_local_cswitch,0,1,2,0,-43538,6105410 ns
