idx,word_addr,lane,value
0,0,0,-16657
1,0,1,-16657
2,0,2,-16657
3,0,3,-16657
4,0,4,-16657
5,0,5,-16657
6,0,6,-16657
7,0,7,-16657
8,0,8,-16657
9,0,9,-16657
10,0,10,-16657
11,0,11,-16657
12,0,12,-16657
13,0,13,-16657
14,0,14,-16657
15,0,15,-16657
16,1,0,4131
17,1,1,-11025
18,1,2,-8307
19,1,3,-11087
20,1,4,7354
21,1,5,-24314
22,1,6,-22505
23,1,7,18194
24,1,8,11631
25,1,9,30375
26,1,10,3984
27,1,11,22154
28,1,12,26164
29,1,13,22894
30,1,14,-21086
31,1,15,-14118
32,2,0,24317
33,2,1,-24036
34,2,2,23408
35,2,3,24694
36,2,4,-25884
37,2,5,-26481
38,2,6,-14775
39,2,7,-4881
40,2,8,29127
41,2,9,27776
42,2,10,14291
43,2,11,25205
44,2,12,-320
45,2,13,30717
46,2,14,-12719
47,2,15,-16003
48,3,0,-5725
49,3,1,-15078
50,3,2,8142
51,3,3,5171
52,3,4,-21789
53,3,5,-11081
54,3,6,13723
55,3,7,7284
56,3,8,-18583
57,3,9,10024
58,3,10,824
59,3,11,12571
60,3,12,-585
61,3,13,-28188
62,3,14,443
63,3,15,4529
64,4,0,25952
65,4,1,13644
66,4,2,-12010
67,4,3,-24331
68,4,4,19952
69,4,5,12162
70,4,6,6713
71,4,7,14737
72,4,8,-27492
73,4,9,-15588
74,4,10,-14570
75,4,11,27423
76,4,12,-15107
77,4,13,-20240
78,4,14,-13041
79,4,15,-17209
80,5,0,23705
81,5,1,28567
82,5,2,27692
83,5,3,-23489
84,5,4,-14589
85,5,5,-27947
86,5,6,-9317
87,5,7,31430
88,5,8,-29763
89,5,9,31934
90,5,10,13738
91,5,11,-32288
92,5,12,31553
93,5,13,-8934
94,5,14,-29614
95,5,15,-27458
96,6,0,3494
97,6,1,-27796
98,6,2,-4796
99,6,3,-30251
100,6,4,-23018
101,6,5,20206
102,6,6,15289
103,6,7,-30635
104,6,8,-5168
105,6,9,-9657
106,6,10,-5551
107,6,11,-26961
108,6,12,-21922
109,6,13,-827
110,6,14,-22596
111,6,15,24979
112,7,0,-25183
113,7,1,21829
114,7,2,-14853
115,7,3,-6671
116,7,4,10748
117,7,5,-5418
118,7,6,22179
119,7,7,-25780
120,7,8,-18560
121,7,9,9911
122,7,10,-21407
123,7,11,-1955
124,7,12,26715
125,7,13,19781
126,7,14,28735
127,7,15,-31135
128,8,0,-23685
129,8,1,-9890
130,8,2,-15594
131,8,3,2058
132,8,4,5086
133,8,5,9346
134,8,6,-25964
135,8,7,-16060
136,8,8,30198
137,8,9,5264
138,8,10,-28138
139,8,11,20980
140,8,12,-27459
141,8,13,-31393
142,8,14,-21901
143,8,15,-27973
144,9,0,26473
145,9,1,317
146,9,2,15165
147,9,3,-12135
148,9,4,-13806
