tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,-23754,3515890 ns
after_local_cswitch,0,16,0,0,-23754,3515890 ns
after_local_cswitch,0,0,0,0,-23754,3515890 ns
after_local_cswitch,0,16,0,0,-23754,3515890 ns
after_local_cswitch,0,0,0,0,-23754,3515890 ns
after_local_cswitch,0,16,0,0,-23754,3515890 ns
after_local_cswitch,0,0,1,0,-11382,3515900 ns
after_local_cswitch,0,1,0,0,86130,3515900 ns
after_local_cswitch,0,16,1,0,-11382,3515900 ns
after_local_cswitch,0,17,0,0,-23754,3515900 ns
after_local_cswitch,0,0,1,0,-11382,3515900 ns
after_local_cswitch,0,1,0,0,86130,3515900 ns
after_local_cswitch,0,16,1,0,-11382,3515900 ns
after_local_cswitch,0,17,0,0,-23754,3515900 ns
after_local_cswitch,0,0,1,0,-11382,3515900 ns
after_local_cswitch,0,1,0,0,86130,3515900 ns
after_local_cswitch,0,16,1,0,-11382,3515900 ns
after_local_cswitch,0,17,0,0,-23754,3515900 ns
after_local_cswitch,0,0,2,0,-18042,3515910 ns
after_local_cswitch,0,1,1,0,22763,3515910 ns
after_local_cswitch,0,2,0,0,54511,3515910 ns
after_local_cswitch,0,16,2,0,-18042,3515910 ns
after_local_cswitch,0,17,1,0,-11382,3515910 ns
after_local_cswitch,0,18,0,0,-23754,3515910 ns
after_local_cswitch,0,0,2,0,-18042,3515910 ns
after_local_cswitch,0,1,1,0,22763,3515910 ns
after_local_cswitch,0,2,0,0,54511,3515910 ns
after_local_cswitch,0,16,2,0,-18042,3515910 ns
after_local_cswitch,0,17,1,0,-11382,3515910 ns
after_local_cswitch,0,18,0,0,-23754,3515910 ns
after_local_cswitch,0,0,2,0,-18042,3515910 ns
after_local_cswitch,0,1,1,0,22763,3515910 ns
after_local_cswitch,0,2,0,0,54511,3515910 ns
after_local_cswitch,0,16,2,0,-18042,3515910 ns
after_local_cswitch,0,17,1,0,-11382,3515910 ns
after_local_cswitch,0,18,0,0,-23754,3515910 ns
after_local_cswitch,0,0,3,0,72906,3515920 ns
after_local_cswitch,0,1,2,0,-74630,3515920 ns
after_local_cswitch,0,2,1,0,13164,3515920 ns
after_local_cswitch,0,3,0,0,-41718,3515920 ns
after_local_cswitch,0,16,3,0,72906,3515920 ns
after_local_cswitch,0,17,2,0,-18042,3515920 ns
after_local_cswitch,0,18,1,0,-11382,3515920 ns
after_local_cswitch,0,19,0,0,-23754,3515920 ns
after_local_cswitch,0,0,3,0,72906,3515920 ns
after_local_cswitch,0,1,2,0,-74630,3515920 ns
after_local_cswitch,0,2,1,0,13164,3515920 ns
after_local_cswitch,0,3,0,0,-41718,3515920 ns
after_local_cswitch,0,16,3,0,72906,3515920 ns
after_local_cswitch,0,17,2,0,-18042,3515920 ns
after_local_cswitch,0,18,1,0,-11382,3515920 ns
after_local_cswitch,0,19,0,0,-23754,3515920 ns
after_local_cswitch,0,0,3,0,72906,3515920 ns
after_local_cswitch,0,1,2,0,-74630,3515920 ns
after_local_cswitch,0,2,1,0,13164,3515920 ns
after_local_cswitch,0,3,0,0,-41718,3515920 ns
after_local_cswitch,0,16,3,0,72906,3515920 ns
after_local_cswitch,0,17,2,0,-18042,3515920 ns
after_local_cswitch,0,18,1,0,-11382,3515920 ns
after_local_cswitch,0,19,0,0,-23754,3515920 ns
after_local_cswitch,0,0,4,0,-64307,3515930 ns
after_local_cswitch,0,1,3,0,-84165,3515930 ns
after_local_cswitch,0,2,2,0,57128,3515930 ns
after_local_cswitch,0,3,1,0,33117,3515930 ns
after_local_cswitch,0,4,0,0,-177076,3515930 ns
