context,k,act0,act1,act2,act3,act4,act5,act6,act7
0,0,-91,45,-65,106,-29,21,38,-8
0,1,-20,-55,-110,-12,-12,97,-82,107
0,2,96,-44,-108,-115,32,-98,-68,-110
0,3,18,-32,113,16,36,-94,51,20
0,4,20,-86,125,60,65,3,88,85
0,5,60,105,-74,114,-11,78,121,-63
0,6,7,73,-36,-80,65,3,-119,-123
0,7,93,-32,77,1,76,43,-96,13
0,8,120,120,-39,10,123,-101,17,-87
0,9,22,-60,56,127,-110,-47,24,66
0,10,115,123,-5,-46,-61,33,-93,84
0,11,-119,-27,23,9,-46,84,-70,6
0,12,77,-51,-104,50,102,95,-68,-48
0,13,-99,96,80,16,-41,103,-64,-52
0,14,-21,-9,-8,-103,-61,-106,35,62
0,15,97,-103,7,-103,28,62,79,-37
0,16,115,-61,81,-2,98,-74,17,-53
0,17,41,111,-80,89,41,-41,-114,86
0,18,127,98,51,31,-11,-122,51,14
0,19,114,96,64,-84,105,-15,51,88
0,20,34,60,-127,-101,-46,18,-94,-93
0,21,-22,-26,-24,45,126,-2,-89,-47
0,22,42,1,121,-51,70,123,98,-76
0,23,108,43,39,31,80,80,18,18
0,24,-13,-13,-117,-31,-110,20,-71,41
0,25,33,13,109,47,49,127,48,-60
0,26,7,106,-37,39,81,116,61,108
0,27,36,-77,-99,-120,27,-96,58,120
0,28,93,-14,73,114,-44,-87,-119,-73
0,29,107,52,-13,-105,100,-107,18,-111
0,30,-38,-111,117,34,-64,-56,-34,-106
0,31,-105,107,-38,76,120,-116,58,37
0,32,-89,-112,53,97,12,-28,-103,8
0,33,-114,-61,65,29,-92,41,48,-107
0,34,115,72,-73,63,-96,48,52,-121
0,35,58,57,29,-2,-11,-81,-122,-53
0,36,-21,59,-71,94,-89,-112,18,-54
0,37,-91,1,81,69,-85,79,53,8
0,38,1,-6,-61,30,-60,-40,-93,-90
0,39,101,57,-100,-78,5,49,-44,-4
0,40,106,29,-46,-13,-67,-118,64,29
0,41,-94,97,-3,10,91,-37,35,-71
0,42,-63,-49,-118,-6,-77,-16,-109,18
0,43,-19,-99,107,19,-30,-37,-87,24
0,44,11,5,68,82,51,-97,-81,-6
0,45,-75,-51,-68,35,-95,24,-86,-121
0,46,-39,116,-77,70,-19,-122,83,-16
0,47,116,-101,120,-11,98,4,93,89
0,48,111,-17,-66,105,-18,-52,-11,80
0,49,77,-115,23,-45,-122,-96,74,-41
0,50,64,75,50,81,-53,-79,-76,-104
0,51,62,121,108,-92,35,-21,-52,-14
0,52,46,35,60,100,0,-44,-91,-61
0,53,106,59,-17,19,-120,46,44,-80
0,54,19,-112,-64,-122,-57,2,77,69
0,55,-63,-1,8,35,-77,29,-29,50
0,56,22,-15,73,-104,-2,8,-64,-79
0,57,-24,44,4,109,-89,-84,-107,-67
0,58,-93,-113,52,-102,40,73,-81,-113
0,59,-53,28,-20,78,32,-6,-18,-110
0,60,-55,-106,67,-20,-39,-51,-113,-32
0,61,-22,-49,88,85,19,120,-60,39
0,62,-69,45,29,-91,-68,79,-55,-87
0,63,39,-80,79,52,-100,108,34,-42
