write_count,context,addr,shift_cnt,lane0,lane1,lane2,lane3,lane4,lane5,lane6,lane7
0,0,0,0,-39410,-43236,14802,-5243,0,0,0,0
1,0,0,0,0,0,0,0,-21654,74045,-24174,26835
2,0,1,1,-9584,23528,-800,10557,0,0,0,0
3,0,1,1,0,0,0,0,-30852,12935,-103464,-59294
4,0,2,2,50705,33286,-19361,-40031,0,0,0,0
5,0,2,2,0,0,0,0,-41056,-28446,-64680,-55490
6,0,3,3,34747,33890,38095,11943,0,0,0,0
7,0,3,3,0,0,0,0,36484,68364,-79541,-14521
8,0,4,4,43987,27933,-9606,56617,0,0,0,0
9,0,4,4,0,0,0,0,11239,45816,-25558,-41145
10,0,5,5,29987,5433,18556,-18475,0,0,0,0
11,0,5,5,0,0,0,0,41411,-10964,40848,27423
12,0,6,6,51358,-19021,21396,-105315,0,0,0,0
13,0,6,6,0,0,0,0,104847,-36132,113259,71438
14,0,7,7,6746,-6596,-47869,3482,0,0,0,0
15,0,7,7,0,0,0,0,-14193,-35740,11544,38304
16,0,8,8,19776,35316,-25716,9263,0,0,0,0
17,0,8,8,0,0,0,0,-5051,-13993,6861,-79191
18,0,9,9,1224,-51505,-66069,-51237,0,0,0,0
19,0,9,9,0,0,0,0,-18991,64169,-40222,26137
20,0,10,10,55911,69312,-54634,-10864,0,0,0,0
21,0,10,10,0,0,0,0,4324,-1534,57455,2400
22,0,11,11,2858,-25553,-46537,-20624,0,0,0,0
23,0,11,11,0,0,0,0,27335,53233,-29331,34140
24,0,12,12,10200,-8871,-6133,-54968,0,0,0,0
25,0,12,12,0,0,0,0,-86595,-6593,-11570,-56103
26,0,13,13,41723,36155,-38994,-68803,0,0,0,0
27,0,13,13,0,0,0,0,-36027,-14798,81682,32002
28,0,14,14,2449,59224,27676,36693,0,0,0,0
29,0,14,14,0,0,0,0,44276,-18474,-26394,39040
30,0,15,15,-18124,29577,-41801,24906,0,0,0,0
31,0,15,15,0,0,0,0,-160,13169,62489,73052
