tag,context,y,x,mac_q,mac_sc_q,time
after_local_cswitch,0,0,0,0,-1532,4844650 ns
after_local_cswitch,0,16,0,0,-1532,4844650 ns
after_local_cswitch,0,0,0,0,-1532,4844650 ns
after_local_cswitch,0,16,0,0,-1532,4844650 ns
after_local_cswitch,0,0,0,0,-1532,4844650 ns
after_local_cswitch,0,16,0,0,-1532,4844650 ns
after_local_cswitch,0,0,1,0,-40735,4844660 ns
after_local_cswitch,0,1,0,0,58021,4844660 ns
after_local_cswitch,0,16,1,0,-40735,4844660 ns
after_local_cswitch,0,17,0,0,-1532,4844660 ns
after_local_cswitch,0,0,1,0,-40735,4844660 ns
after_local_cswitch,0,1,0,0,58021,4844660 ns
after_local_cswitch,0,16,1,0,-40735,4844660 ns
after_local_cswitch,0,17,0,0,-1532,4844660 ns
after_local_cswitch,0,0,1,0,-40735,4844660 ns
after_local_cswitch,0,1,0,0,58021,4844660 ns
after_local_cswitch,0,16,1,0,-40735,4844660 ns
after_local_cswitch,0,17,0,0,-1532,4844660 ns
after_local_cswitch,0,0,2,0,-13370,4844670 ns
after_local_cswitch,0,1,1,0,-20973,4844670 ns
after_local_cswitch,0,2,0,0,20506,4844670 ns
after_local_cswitch,0,16,2,0,-13370,4844670 ns
after_local_cswitch,0,17,1,0,-40735,4844670 ns
after_local_cswitch,0,18,0,0,-1532,4844670 ns
after_local_cswitch,0,0,2,0,-13370,4844670 ns
after_local_cswitch,0,1,1,0,-20973,4844670 ns
after_local_cswitch,0,2,0,0,20506,4844670 ns
after_local_cswitch,0,16,2,0,-13370,4844670 ns
after_local_cswitch,0,17,1,0,-40735,4844670 ns
after_local_cswitch,0,18,0,0,-1532,4844670 ns
after_local_cswitch,0,0,2,0,-13370,4844670 ns
after_local_cswitch,0,1,1,0,-20973,4844670 ns
after_local_cswitch,0,2,0,0,20506,4844670 ns
after_local_cswitch,0,16,2,0,-13370,4844670 ns
after_local_cswitch,0,17,1,0,-40735,4844670 ns
after_local_cswitch,0,18,0,0,-1532,4844670 ns
after_local_cswitch,0,0,3,0,-39825,4844680 ns
after_local_cswitch,0,1,2,0,-37757,4844680 ns
after_local_cswitch,0,2,1,0,-24083,4844680 ns
after_local_cswitch,0,3,0,0,32782,4844680 ns
after_local_cswitch,0,16,3,0,-39825,4844680 ns
after_local_cswitch,0,17,2,0,-13370,4844680 ns
after_local_cswitch,0,18,1,0,-40735,4844680 ns
after_local_cswitch,0,19,0,0,-1532,4844680 ns
after_local_cswitch,0,0,3,0,-39825,4844680 ns
after_local_cswitch,0,1,2,0,-37757,4844680 ns
after_local_cswitch,0,2,1,0,-24083,4844680 ns
after_local_cswitch,0,3,0,0,32782,4844680 ns
after_local_cswitch,0,16,3,0,-39825,4844680 ns
after_local_cswitch,0,17,2,0,-13370,4844680 ns
after_local_cswitch,0,18,1,0,-40735,4844680 ns
after_local_cswitch,0,19,0,0,-1532,4844680 ns
after_local_cswitch,0,0,3,0,-39825,4844680 ns
after_local_cswitch,0,1,2,0,-37757,4844680 ns
after_local_cswitch,0,2,1,0,-24083,4844680 ns
after_local_cswitch,0,3,0,0,32782,4844680 ns
after_local_cswitch,0,16,3,0,-39825,4844680 ns
after_local_cswitch,0,17,2,0,-13370,4844680 ns
after_local_cswitch,0,18,1,0,-40735,4844680 ns
after_local_cswitch,0,19,0,0,-1532,4844680 ns
after_local_cswitch,0,0,4,0,-4775,4844690 ns
after_local_cswitch,0,1,3,0,40002,4844690 ns
after_local_cswitch,0,2,2,0,3070,4844690 ns
after_local_cswitch,0,3,1,0,19247,4844690 ns
after_local_cswitch,0,4,0,0,38947,4844690 ns
after_local_cswitch,0,16,4,0,-4775,4844690 ns
after_local_cswitch,0,17,3,0,-39825,4844690 ns
after_local_cswitch,0,18,2,0,-13370,4844690 ns
after_local_cswitch,0,19,1,0,-40735,4844690 ns
after_local_cswitch,0,20,0,0,-1532,4844690 ns
after_local_cswitch,0,0,4,0,-4775,4844690 ns
after_local_cswitch,0,1,3,0,40002,4844690 ns
after_local_cswitch,0,2,2,0,3070,4844690 ns
after_local_cswitch,0,3,1,0,19247,4844690 ns
after_local_cswitch,0,4,0,0,38947,4844690 ns
after_local_cswitch,0,16,4,0,-4775,4844690 ns
after_local_cswitch,0,17,3,0,-39825,4844690 ns
after_local_cswitch,0,18,2,0,-13370,4844690 ns
after_local_cswitch,0,19,1,0,-40735,4844690 ns
after_local_cswitch,0,20,0,0,-1532,4844690 ns
after_local_cswitch,0,0,4,0,-4775,4844690 ns
after_local_cswitch,0,1,3,0,40002,4844690 ns
after_local_cswitch,0,2,2,0,3070,4844690 ns
after_local_cswitch,0,3,1,0,19247,4844690 ns
after_local_cswitch,0,4,0,0,38947,4844690 ns
after_local_cswitch,0,16,4,0,-4775,4844690 ns
after_local_cswitch,0,17,3,0,-39825,4844690 ns
after_local_cswitch,0,18,2,0,-13370,4844690 ns
after_local_cswitch,0,19,1,0,-40735,4844690 ns
after_local_cswitch,0,20,0,0,-1532,4844690 ns
after_local_cswitch,0,0,5,0,21037,4844700 ns
after_local_cswitch,0,1,4,0,-51917,4844700 ns
after_local_cswitch,0,2,3,0,-3614,4844700 ns
after_local_cswitch,0,3,2,0,40235,4844700 ns
after_local_cswitch,0,4,1,0,-41225,4844700 ns
after_local_cswitch,0,5,0,0,7354,4844700 ns
after_local_cswitch,0,16,5,0,21037,4844700 ns
after_local_cswitch,0,17,4,0,-4775,4844700 ns
after_local_cswitch,0,18,3,0,-39825,4844700 ns
after_local_cswitch,0,19,2,0,-13370,4844700 ns
after_local_cswitch,0,20,1,0,-40735,4844700 ns
after_local_cswitch,0,21,0,0,-1532,4844700 ns
after_local_cswitch,0,0,5,0,21037,4844700 ns
after_local_cswitch,0,1,4,0,-51917,4844700 ns
after_local_cswitch,0,2,3,0,-3614,4844700 ns
after_local_cswitch,0,3,2,0,40235,4844700 ns
after_local_cswitch,0,4,1,0,-41225,4844700 ns
after_local_cswitch,0,5,0,0,7354,4844700 ns
after_local_cswitch,0,16,5,0,21037,4844700 ns
after_local_cswitch,0,17,4,0,-4775,4844700 ns
after_local_cswitch,0,18,3,0,-39825,4844700 ns
after_local_cswitch,0,19,2,0,-13370,4844700 ns
after_local_cswitch,0,20,1,0,-40735,4844700 ns
after_local_cswitch,0,21,0,0,-1532,4844700 ns
after_local_cswitch,0,0,5,0,21037,4844700 ns
after_local_cswitch,0,1,4,0,-51917,4844700 ns
after_local_cswitch,0,2,3,0,-3614,4844700 ns
after_local_cswitch,0,3,2,0,40235,4844700 ns
