context,out_tile,k,wei0,wei1,wei2,wei3,wei4,wei5,wei6,wei7,wei8,wei9,wei10,wei11,wei12,wei13,wei14,wei15,wei16,wei17,wei18,wei19,wei20,wei21,wei22,wei23,wei24,wei25,wei26,wei27,wei28,wei29,wei30,wei31
0,0,0,-30,-16,-15,-19,83,97,45,-93,9,-2,-13,-54,93,-25,-60,-92,-87,-21,51,-111,-32,51,-114,-94,95,-74,-26,94,97,69,61,-75
0,0,1,-17,127,21,-12,-78,-84,-41,-19,-48,78,-86,78,82,75,26,-75,-47,90,-97,30,-50,-48,111,11,91,34,-63,91,49,18,-107,-64
0,0,2,107,42,26,24,-85,-32,21,-51,-97,-109,-67,-69,17,-88,-45,-11,125,-118,-37,51,20,99,-85,56,92,37,-90,-94,-23,61,104,-25
0,0,3,-41,63,55,-52,-110,80,122,-81,97,-75,-122,-84,62,73,91,-102,57,37,-114,-90,-61,-59,-45,66,-80,-90,74,49,-67,121,-63,61
0,0,4,-36,90,41,7,6,119,-121,-87,-8,6,-80,-78,-72,-52,58,-1,-10,-46,70,125,3,99,-25,-37,-48,102,-31,100,-2,97,117,55
0,0,5,-121,73,16,20,-116,101,-115,-37,122,91,-104,111,66,67,-70,-27,40,-109,-30,-76,40,-77,12,86,108,-106,73,63,118,-51,29,37
0,0,6,-18,-25,77,-97,-40,-9,10,-62,58,27,-124,104,-20,112,87,-28,1,-14,-69,-12,3,89,-44,35,-104,-54,-35,-102,18,8,-127,30
0,0,7,99,104,68,-87,-18,-82,-64,120,29,-82,38,-51,47,-18,-66,-48,-18,93,68,38,-2,-100,-109,-126,-121,-4,26,-77,91,-26,76,-43
0,0,8,-24,101,-94,123,-101,-94,-82,0,-34,21,80,53,9,-84,127,91,-32,-84,-31,-51,51,1,44,-24,51,-50,-42,-114,55,63,67,-94
0,0,9,-53,34,55,38,-112,114,-56,108,-50,126,77,-72,-48,37,-18,72,37,42,121,-93,73,34,-51,42,124,97,-17,-99,126,-37,-46,-83
0,0,10,127,29,-79,0,-103,40,44,-93,-44,-107,-36,119,-85,73,88,-110,21,-23,-73,-73,-8,-105,-113,15,26,-36,69,16,-52,69,-97,98
0,0,11,12,54,103,33,116,-15,-4,9,19,77,-111,-112,119,-47,49,61,4,-43,64,-78,38,64,40,106,114,54,121,-57,-72,-9,37,-5
0,0,12,-35,126,108,120,10,-11,-26,-53,119,106,126,-104,-70,109,-18,38,-115,-30,-51,-55,60,-58,53,-34,4,-33,25,105,-47,-93,-109,85
0,0,13,67,89,-39,98,116,2,-101,76,96,-88,-51,-4,-119,69,25,-35,68,8,-61,27,49,41,51,96,-111,18,59,-64,18,-31,-25,37
0,0,14,110,-20,-100,-69,-92,94,91,-99,77,100,-84,103,-41,81,-61,5,1,100,-53,-69,70,-111,26,-73,38,100,60,-24,-36,-76,-33,-112
0,0,15,-111,-113,-24,-58,78,23,-72,99,-55,19,74,-21,17,33,-107,23,3,42,-36,-123,98,-28,77,72,66,-89,77,50,-31,83,30,-63
0,0,16,50,6,-124,-9,5,29,-63,-73,107,44,-118,106,93,107,-125,37,107,-69,-10,-69,35,104,24,16,56,99,-22,-80,112,44,63,19
0,0,17,-113,35,-115,-55,97,56,-43,-77,-21,91,40,-95,-105,-76,-110,-38,122,87,118,88,60,-27,106,48,43,6,122,-127,56,-62,-43,6
0,0,18,-44,-77,-10,45,-111,-40,-50,-39,58,-57,126,-109,3,87,11,110,113,-10,65,-52,44,6,-103,88,-121,67,-88,-42,74,-58,-2,-116
0,0,19,42,5,27,-110,-86,-8,100,95,-67,-77,-30,6,-68,-28,-81,-83,-16,-75,73,-28,-58,83,-11,52,-6,30,-54,37,-17,110,-15,47
0,0,20,108,-97,61,-46,-17,20,107,-110,-42,93,-33,-50,101,93,-13,-67,-52,-28,95,44,98,93,69,86,113,-122,-63,-120,58,-90,125,-83
0,0,21,108,47,70,115,103,-22,45,81,90,-103,-93,-68,67,-18,124,-80,127,80,-17,89,-101,-105,-9,-126,42,87,-47,-23,-117,87,59,-48
0,0,22,83,6,-119,-96,113,-66,-10,107,-113,38,3,61,-91,51,46,64,-5,32,70,12,90,-41,14,-94,32,-89,54,-47,89,-109,-68,-57
0,0,23,-114,-61,-108,1,-124,-47,-82,32,-72,122,-19,11,65,32,94,-101,104,18,116,-65,-81,-93,78,-24,-56,-39,-27,-4,-70,103,-58,64
0,0,24,103,1,91,0,-6,11,-18,95,-39,-21,30,51,-49,48,-126,-16,51,81,-24,107,-8,-106,60,-99,70,102,98,71,88,53,-111,-105
0,0,25,-49,73,13,-67,48,88,107,79,-57,-70,-3,11,115,31,29,-85,-81,-103,57,-81,39,-119,-109,78,-77,28,0,24,-25,-101,22,-66
0,0,26,107,97,7,-47,-48,-53,114,-123,-55,-40,-11,119,-21,-15,-91,124,119,80,41,28,25,-117,-100,15,-31,117,-39,-66,109,-5,77,126
0,0,27,1,-19,105,-122,-104,104,-113,25,48,-104,50,62,112,-112,79,3,68,-83,-95,-107,-68,125,94,-51,-57,-34,-77,31,-106,-96,110,22
0,0,28,62,-103,-81,-119,-101,3,61,-66,115,27,-64,55,-120,62,45,-71,-121,119,23,66,-68,-33,51,-18,-85,-113,111,60,76,-3,-78,-95
0,0,29,44,50,123,-62,-110,72,-123,14,78,-20,19,126,32,-12,-99,99,-68,-37,-55,64,-12,-57,51,-23,36,72,-6,0,100,103,103,-5
0,0,30,-65,-123,25,68,14,-8,110,-67,123,-54,-15,-61,-21,41,85,42,126,42,4,5,113,34,-97,13,125,-3,4,36,79,53,-14,16
0,0,31,60,113,-7,88,-59,-38,55,50,-29,31,-114,42,-19,8,86,-74,-2,88,-80,65,-21,-3,-74,-57,57,97,-11,86,-8,-54,-9,15
0,0,32,-35,88,-112,119,-78,122,25,62,17,123,25,-100,-88,-42,82,-38,1,34,-126,-109,61,-92,117,121,-115,-53,84,18,70,-49,36,55
0,0,33,94,70,-76,-80,44,-16,86,-102,112,121,8,-17,38,-92,-31,18,-51,-74,52,56,-71,-49,55,-57,121,124,7,105,-93,123,-80,-109
0,0,34,21,105,109,55,-22,70,-14,-105,-86,-9,-97,-30,-115,-72,-92,-16,-9,64,105,-122,-120,78,-127,-87,-123,-103,-15,49,14,17,-57,-44
0,0,35,-5,30,-22,83,-109,22,-113,85,-65,-122,93,2,67,92,-59,-82,-4,-29,-68,-126,-114,43,-98,-69,52,-43,59,40,-88,-126,59,68
0,0,36,61,-86,-106,68,-81,35,-97,15,16,-24,31,33,100,-41,21,-92,66,-28,-82,114,-73,-91,112,-81,-109,73,-71,-123,-111,-125,97,19
0,0,37,-19,-90,-76,-30,91,-115,50,56,27,12,-32,-56,116,67,125,-63,29,-122,94,97,-5,89,-72,-50,89,101,-27,110,100,25,19,-8
0,0,38,-63,6,25,-4,39,-71,-42,96,-62,-68,-110,-69,-119,69,86,-71,-5,75,121,-124,122,-76,70,-100,-57,16,-18,-56,6,-123,67,-9
0,0,39,-47,-25,121,6,-113,112,20,-49,-33,-10,-32,88,-55,112,124,-89,-58,54,-104,94,-42,88,65,45,-66,22,55,8,6,63,-97,33
0,0,40,127,-91,-89,-16,-118,-113,-28,-62,56,3,70,-74,68,44,43,-7,49,74,7,-51,4,-125,-121,-118,-98,19,112,-27,43,18,21,-61
0,0,41,-125,-125,-91,-105,-2,2,-68,107,-14,-102,90,49,-12,-23,-70,-51,-12,72,55,111,25,64,-57,-28,66,-9,-13,-102,-119,122,29,-5
0,0,42,-17,14,-44,-65,8,-20,-47,38,49,-102,-114,95,101,58,7,-76,110,35,-34,73,-31,29,11,-29,37,-98,-39,60,-3,81,81,-7
0,0,43,-111,-54,-78,-14,97,-22,-92,64,62,-17,-31,10,-123,95,-6,3,-119,43,-67,24,122,21,-96,71,29,63,-125,44,12,-73,48,7
0,0,44,73,-16,-61,-82,-49,-84,87,68,77,97,8,-54,1,-97,87,-33,-29,7,-50,-8,99,-75,-12,27,73,63,-37,-28,-64,72,48,65
0,0,45,59,43,-60,90,-76,-99,-73,-101,-81,-74,48,49,46,118,-105,25,-108,-124,11,-64,-64,-93,-100,-105,116,41,-74,-44,39,41,90,-46
0,0,46,-2,-98,89,27,-45,-125,27,-55,-29,-119,-15,-84,-25,-49,-6,11,-43,5,108,29,-22,-117,-55,86,-39,-62,19,69,60,36,42,-4
0,0,47,106,-82,30,120,-78,-63,-71,-74,5,59,-46,-109,14,-69,113,116,-76,-29,45,118,113,25,14,-63,81,-91,73,72,-15,-6,-101,-59
