idx,word_addr,lane,value
0,0,0,-30
1,0,1,-16
2,0,2,-15
3,0,3,-19
4,0,4,83
5,0,5,97
6,0,6,45
7,0,7,-93
8,0,8,9
9,0,9,-2
10,0,10,-13
11,0,11,-54
12,0,12,93
13,0,13,-25
14,0,14,-60
15,0,15,-92
16,0,16,-87
17,0,17,-21
18,0,18,51
19,0,19,-111
20,0,20,-32
21,0,21,51
22,0,22,-114
23,0,23,-94
24,0,24,95
25,0,25,-74
26,0,26,-26
27,0,27,94
28,0,28,97
29,0,29,69
30,0,30,61
31,0,31,-75
32,1,0,-17
33,1,1,127
34,1,2,21
35,1,3,-12
36,1,4,-78
37,1,5,-84
38,1,6,-41
39,1,7,-19
40,1,8,-48
41,1,9,78
42,1,10,-86
43,1,11,78
44,1,12,82
45,1,13,75
46,1,14,26
47,1,15,-75
48,1,16,-47
49,1,17,90
50,1,18,-97
51,1,19,30
52,1,20,-50
53,1,21,-48
54,1,22,111
55,1,23,11
56,1,24,91
57,1,25,34
58,1,26,-63
59,1,27,91
60,1,28,49
61,1,29,18
62,1,30,-107
63,1,31,-64
64,2,0,107
65,2,1,42
66,2,2,26
67,2,3,24
68,2,4,-85
69,2,5,-32
70,2,6,21
71,2,7,-51
72,2,8,-97
73,2,9,-109
74,2,10,-67
75,2,11,-69
76,2,12,17
77,2,13,-88
78,2,14,-45
79,2,15,-11
80,2,16,125
81,2,17,-118
82,2,18,-37
83,2,19,51
84,2,20,20
85,2,21,99
86,2,22,-85
87,2,23,56
88,2,24,92
89,2,25,37
90,2,26,-90
91,2,27,-94
92,2,28,-23
93,2,29,61
94,2,30,104
95,2,31,-25
96,3,0,-41
97,3,1,63
98,3,2,55
99,3,3,-52
100,3,4,-110
101,3,5,80
102,3,6,122
103,3,7,-81
104,3,8,97
105,3,9,-75
106,3,10,-122
107,3,11,-84
108,3,12,62
109,3,13,73
110,3,14,91
111,3,15,-102
112,3,16,57
113,3,17,37
114,3,18,-114
115,3,19,-90
116,3,20,-61
117,3,21,-59
118,3,22,-45
119,3,23,66
120,3,24,-80
121,3,25,-90
122,3,26,74
123,3,27,49
124,3,28,-67
125,3,29,121
126,3,30,-63
127,3,31,61
128,4,0,-36
129,4,1,90
130,4,2,41
131,4,3,7
132,4,4,6
133,4,5,119
134,4,6,-121
135,4,7,-87
136,4,8,-8
137,4,9,6
138,4,10,-80
139,4,11,-78
140,4,12,-72
141,4,13,-52
142,4,14,58
143,4,15,-1
